0	Index      	 *	Score 	Summary	Detail	
1	62131 26361	 * 	322.68	DCR|DCR|2VULN|1TLV|1MLV|1DMG|1SELL	1RMIN|2BBNT|35VULN|4DMG|6SELL|78RCR|9TLV|aMLV
2	15235 52112	 * 	318.78	DCR|DCR|3VULN|1MLV|1ASPD	127VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|8RMIN|9LHND
3	15235 52212	   	318.78	DCR|DCR|3VULN|1MLV|1ASPD	127VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|8AME|9LHND
4	16235 52112	   	318.78	DCR|DCR|3VULN|1MLV|1ASPD	127VULN|3MLV|4ASPD|5AART|6aRCR|8RMIN|9LHND
5	16235 52212	   	318.78	DCR|DCR|3VULN|1MLV|1ASPD	127VULN|3MLV|4ASPD|5AART|6aRCR|8AME|9LHND
6	15235 51232	   	310.18	DCR|DCR|2VULN|1MLV|1ASPD|2DUR	12VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|78DUR|9CGEN
7	16235 51232	   	310.18	DCR|DCR|2VULN|1MLV|1ASPD|2DUR	12VULN|3MLV|4ASPD|5AART|6aRCR|78DUR|9CGEN
8	15542 13323	 * 	308.22	DCR|DCR|3VULN|1TLV	126VULN|2BPWR|3BEXP|4DUR|5RPLT|79RCR|8DUST|aTLV
9	16542 13323	   	308.22	DCR|DCR|3VULN|1TLV	126VULN|3BEXP|4DUR|5RPLT|79RCR|8DUST|aTLV
10	15311 51315	 * 	305.09	DCR|3VULN|2MLV|2DMG|2CDMG|1AAC	12aVULN|2aBPWR|34CDMG|5TBNT|6AAC|7RCR|8aMLV|9aDMG
11	16311 51315	   	305.09	DCR|3VULN|2MLV|2DMG|2CDMG|1AAC	12aVULN|34CDMG|5TBNT|6AAC|7RCR|8aMLV|9aDMG|aBPWR
12	62131 26343	   	304.78	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1RMIN|2BBNT|35VULN|4DMG|6SELL|78RCR|9DUR|aTLV
13	15235 51132	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|7DUR|8BEXP|9CGEN
14	15235 51322	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|7DUR|8ERES|9LHND
15	15235 51332	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|6aRCR|7DUR|8ERES|9LWND
16	16235 51132	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6aRCR|7DUR|8BEXP|9CGEN
17	16235 51322	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6aRCR|7DUR|8ERES|9LHND
18	16235 51332	   	303.53	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|6aRCR|7DUR|8ERES|9LWND
19	15255 11212	   	299.04	DCR|DCR|2VULN|1MLV|1DMG	12VULN|2BPWR|3MLV|4DMG|5AART|68FEWX|7ERES|9aRCR
20	16255 11212	   	299.04	DCR|DCR|2VULN|1MLV|1DMG	12VULN|3MLV|4DMG|5AART|68FEWX|7ERES|9aRCR
21	15255 31322	   	298.94	DCR|DCR|2VULN|1MLV|1DMG	12VULN|2BPWR|3MLV|4DMG|5AART|6LEGI|7ERES|8aRCR|9LHND
22	15255 31332	   	298.94	DCR|DCR|2VULN|1MLV|1DMG	12VULN|2BPWR|3MLV|4DMG|5AART|6LEGI|7ERES|8aRCR|9LWND
23	16255 31322	   	298.94	DCR|DCR|2VULN|1MLV|1DMG	12VULN|3MLV|4DMG|5AART|6LEGI|7ERES|8aRCR|9LHND
24	16255 31332	   	298.94	DCR|DCR|2VULN|1MLV|1DMG	12VULN|3MLV|4DMG|5AART|6LEGI|7ERES|8aRCR|9LWND
25	13532 13551	 * 	298.86	DCR|DCR|3VULN|2ASPD	136VULN|2LWND|4FEWX|5RPLT|79RCR|8aASPD
26	15132 13551	   	298.86	DCR|DCR|3VULN|2ASPD	126VULN|2BPWR|3LWND|4FEWX|5RPLT|79RCR|8aASPD
27	16132 13551	   	298.86	DCR|DCR|3VULN|2ASPD	126VULN|3LWND|4FEWX|5RPLT|79RCR|8aASPD
28	15224 23134	 * 	298.16	DCR|4VULN|3MLV|1AAC	1245VULN|24BPWR|346MLV|7BEXP|8DUR|9RCR|aAAC
29	16224 23134	   	298.16	DCR|4VULN|3MLV|1AAC	1245VULN|346MLV|4BPWR|7BEXP|8DUR|9RCR|aAAC
30	15224 23132	   	297.51	DCR|4VULN|3MLV|1ASPD	1245VULN|24BPWR|346MLV|7BEXP|8DUR|9RCR|aASPD
31	16224 23132	   	297.51	DCR|4VULN|3MLV|1ASPD	1245VULN|346MLV|4BPWR|7BEXP|8DUR|9RCR|aASPD
32	13212 54251	 * 	296.59	DCR|DCR|2DMG|1VULN|1MLV|1ASPD	1VULN|2LWND|3MLV|4RMIN|5RPLT|69RCR|78DMG|aASPD
33	62131 26313	   	296.47	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1RMIN|2BBNT|35VULN|4DMG|6SELL|78RCR|9FEWX|aTLV
34	62131 26362	   	296.47	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1RMIN|2BBNT|35VULN|4DMG|6SELL|78RCR|9TLV|aBELT
35	64131 26313	   	296.47	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1RMIN|2TBNT|35VULN|4DMG|6SELL|78RCR|9FEWX|aTLV
36	62131 26363	   	296.37	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1RMIN|2BBNT|35VULN|4DMG|6SELL|78RCR|9TLV|aBEXP
37	15235 15212	   	295.32	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|68FEWX|7CGEN|9aRCR
38	16235 15212	   	295.32	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|3MLV|4ASPD|5AART|68FEWX|7CGEN|9aRCR
39	15235 11212	   	295.22	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3MLV|4ASPD|5AART|68FEWX|7ERES|9aRCR
