0	Index      	 *	Score 	Summary	Detail	
1	63552 31133	 * 	298.04	DCR|DCR|1VULN|1TLV|1MLV|1AAC	1MDPS|2TLV|3RAT|4VULN|5MLV|6LHND|7CGEN|89RCR|aAAC
2	14132 36352	 * 	296.47	ACR|DCR|1VULN|1TLV|2ASPD|1MLV|1DMG	1CGEN|2TLV|3DMG|48RCR|5MLV|6DUR|79ASPD|aVULN
3	63551 22133	 * 	295.46	DCR|DCR|2VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|46VULN|5BEXP|7DUST|89RCR|aAAC
4	14132 36332	   	288.44	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD|2DUR	1CGEN|2TLV|3DMG|48RCR|5MLV|69DUR|7ASPD|aVULN
5	66153 22133	   	284.27	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1MDPS|23RAT|4DUR|5VULN|6TLV|7DUST|89RCR|aAAC
6	14132 36312	   	281.89	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	19CGEN|2TLV|3DMG|48RCR|5MLV|6DUR|7ASPD|aVULN
7	14132 36322	   	281.89	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6DUR|7ASPD|9LHND|aVULN
8	14132 36362	   	281.79	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6DUR|7ASPD|9DUST|aVULN
9	14132 46332	   	281.79	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6BEXP|7ASPD|9DUR|aVULN
10	14132 56332	   	281.79	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6LEGI|7ASPD|9DUR|aVULN
11	63552 31131	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2TLV|3RAT|4VULN|5MLV|6LHND|7CGEN|89RCR|aAEFRZ
12	63552 31132	   	281.05	DCR|DCR|1VULN|1TLV|1MLV	1MDPS|2TLV|3RAT|4VULN|5MLV|6LHND|7CGEN|89RCR|aERES
13	63362 31116	 * 	280.65	DCR|2VULN|2TLV|2DMG|1MLV|1ASPD	1MDPS|2aTLV|3ASPD|4aDMG|5TBNT|6RCR|7LWND|8MLV|9aVULN|aBPWR
14	63551 22131	   	278.46	DCR|DCR|2VULN|1TLV	1MDPS|2TLV|3RAT|46VULN|5BEXP|7DUST|89RCR|aAEFRZ
15	63551 22132	   	278.46	DCR|DCR|2VULN|1TLV	1MDPS|2TLV|3RAT|46VULN|5BEXP|7DUST|89RCR|aERES
16	66253 22133	   	277.66	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2RAT|3RCVC|4DUR|5VULN|6TLV|7DUST|89RCR|aAAC
17	63261 23133	   	277.56	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|34DUST|5DUR|6RAT|7VULN|89RCR|aAAC
18	63362 33116	 * 	277.55	DCR|2VULN|2TLV|2ASPD|1MLV|1DMG	1MDPS|2aTLV|3aASPD|4DMG|5TBNT|6RCR|7LEGI|8MLV|9aVULN|aBPWR
19	66113 22133	   	275.86	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1MDPS|23RAT|4LEGI|5VULN|6TLV|7DUST|89RCR|aAAC
20	66121 22133	   	275.86	DCR|DCR|1VULN|1TLV|1AAC|2RAT	1MDPS|23RAT|4VULN|5BEXP|6TLV|7DUST|89RCR|aAAC
21	63322 21623	   	275.52	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1MDPS|2TLV|3ASPD|4TBNT|5CDMG|6AME|7aRCR|8BELT|9VULN
22	63322 31623	   	275.52	DCR|DCR|1VULN|1TLV|1ASPD|1CDMG	1MDPS|2TLV|3ASPD|4TBNT|5CDMG|6RMIN|7aRCR|8BELT|9VULN
23	14132 46312	   	273.48	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	19CGEN|2TLV|3DMG|48RCR|5MLV|6BEXP|7ASPD|aVULN
24	14132 46322	   	273.48	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6BEXP|7ASPD|9LHND|aVULN
25	14132 56312	   	273.48	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	19CGEN|2TLV|3DMG|48RCR|5MLV|6LEGI|7ASPD|aVULN
26	14132 56322	   	273.48	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1ASPD	1CGEN|2TLV|3DMG|48RCR|5MLV|6LEGI|7ASPD|9LHND|aVULN
27	33342 15133	   	272.12	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1FEWX|2ASPD|3MLV|4TLV|5RCVC|6BELT|7LWND|8aRCR|9CDMG
28	33343 15133	   	272.02	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1FEWX|2ASPD|3MLV|4TLV|5AEPOI|6BELT|7LWND|8aRCR|9CDMG
29	33346 15133	   	272.02	DCR|DCR|1TLV|1MLV|1ASPD|1CDMG	1FEWX|2ASPD|3MLV|4TLV|5AEFBLL|6BELT|7LWND|8aRCR|9CDMG
30	31124 32533	   	271.87	DCR|DCR|2VULN|1AAC	1FEWX|2DUR|3CGEN|4RAT|58VULN|6MDPS|79RCR|aAAC
31	12233 61112	   	271.11	DCR|DCR|1TLV|1MLV|1CDMG	1CGEN|2FEWX|3MLV|4CDMG|5AART|6RAT|7TLV|8aRCR|9RMIN
32	13233 61112	   	271.01	DCR|DCR|1TLV|1MLV|1CDMG	1CGEN|2BEXP|3MLV|4CDMG|5AART|6RAT|7TLV|8aRCR|9RMIN
33	14132 36336	   	270.93	ACR|DCR|1TLV|2ASPD|1MLV|1DMG|2DUR	1CGEN|2TLV|3DMG|48RCR|5MLV|69DUR|7aASPD
34	41221 45412	 * 	270.84	DCR|2VULN|2MLV|2ASPD|1DMG|1CDMG	1RCVC|27ASPD|3LIT|47VULN|57MLV|6MBVNT|7BPWR|8CDMG|9DMG|aRCR
35	63513 31133	   	269.45	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4AME|5VULN|6LHND|7CGEN|89RCR|aAAC
36	63523 32133	   	269.45	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4CGEN|5VULN|6LHND|7RMIN|89RCR|aAAC
37	63513 61133	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4AME|5VULN|6DUST|7CGEN|89RCR|aAAC
38	63516 13133	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4AME|5RMIN|6BEXP|7VULN|89RCR|aAAC
39	63523 62133	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4CGEN|5VULN|6DUST|7RMIN|89RCR|aAAC
40	63526 13133	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4CGEN|5RMIN|6BEXP|7VULN|89RCR|aAAC
41	63551 32133	   	269.35	DCR|DCR|1VULN|1TLV|1AAC	1MDPS|2TLV|3RAT|4VULN|5BEXP|6CGEN|7RMIN|89RCR|aAAC
