0	Index      	 *	Score 	Summary	Detail	
1	13266 26321	 * 	302.56	DCR|DCR|2VULN|1TLV|1MLV	1BEXP|28VULN|3AEWIND|4TLV|5LIT|6AEFRZ|7aRCR|9MLV
2	31251 32162	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2TBNT|3LHND|4CDMG|5VULN|69RCR|7DUR|8TLV|aMLV
3	31351 32162	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2TBNT|3LWND|4CDMG|5VULN|69RCR|7DUR|8TLV|aMLV
4	35251 32162	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2BBNT|3LHND|4CDMG|5VULN|69RCR|7DUR|8TLV|aMLV
5	35351 32162	   	296.74	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1CGEN|2BBNT|3LWND|4CDMG|5VULN|69RCR|7DUR|8TLV|aMLV
6	33146 26321	 * 	294.03	DCR|DCR|3VULN|1MLV	1CGEN|238VULN|4DUST|5LIT|6AEFRZ|7aRCR|9MLV
7	33316 26321	   	294.03	DCR|DCR|3VULN|1MLV	1CGEN|248VULN|3BEXP|5LIT|6AEFRZ|7aRCR|9MLV
8	63136 26321	   	293.93	DCR|DCR|3VULN|1MLV	1ERES|238VULN|4BEXP|5LIT|6AEFRZ|7aRCR|9MLV
9	63316 26321	   	293.93	DCR|DCR|3VULN|1MLV	1ERES|248VULN|3BEXP|5LIT|6AEFRZ|7aRCR|9MLV
10	11115 23366	   	290.83	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BEXP|2MLV|3VULN|4ERES|5TLV|6ASPD|7RMIN|8BBNT|9aRCR
11	31121 62156	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|5DUST|6aRCR|7LWND|89VULN
12	31123 61156	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|5LWND|6aRCR|7DUST|89VULN
13	31123 63126	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|5LWND|6aRCR|78VULN|9BEXP
14	31123 63356	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|5LWND|6aRCR|79VULN|8LEGI
15	31125 62126	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|58VULN|6aRCR|7LWND|9BEXP
16	35123 63126	   	290.73	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2BBNT|3MLV|4DMG|5LWND|6aRCR|78VULN|9BEXP
17	31125 61126	   	290.63	DCR|DCR|2VULN|1MLV|1DMG	1CGEN|2TBNT|3MLV|4DMG|58VULN|6aRCR|7DUST|9BEXP
18	61123 63126	   	290.63	DCR|DCR|2VULN|1MLV|1DMG	1ERES|2TBNT|3MLV|4DMG|5LWND|6aRCR|78VULN|9BEXP
19	31114 31366	 * 	289.20	DCR|DCR|3MLV|1VULN	1CGEN|2TBNT|358MLV|4AEBURN|6ZMB|7VULN|9aRCR
20	15224 12162	 * 	287.58	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1BEXP|29RCR|3MLV|4CDMG|5TLV|6DUST|7DUR|8aVULN
21	11311 13141	   	284.04	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|39CGEN|4ASPD|5DUR|6AAC|7aRCR|8VULN
22	11311 13131	   	283.94	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3CGEN|4ASPD|5DUR|6AAC|7aRCR|8VULN|9AEFRZ
23	11411 13131	   	283.94	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3AME|4ASPD|5DUR|6AAC|7aRCR|8VULN|9AEFRZ
24	21323 65226	   	281.22	DCR|DCR|2VULN|1DMG|1AAC	1MDPS|2DUST|3BEXP|4DMG|5aVULN|69RCR|7CGEN|8AAC
25	31251 33361	   	279.97	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
26	31351 33361	   	279.97	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
27	35251 33361	   	279.97	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
28	35351 33361	   	279.97	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
29	61251 33361	   	279.77	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
30	61351 33361	   	279.77	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRAT
31	15224 11162	   	279.27	ACR|DCR|2VULN|1TLV|1MLV|1CDMG	1BEXP|29RCR|3MLV|4CDMG|5TLV|6DUST|7LHND|8aVULN
32	66141 13111	 * 	279.24	DCR|DCR|2DMG|1VULN|1AAC	1ERES|29DMG|3FEWX|4CGEN|5DUR|6AAC|7aRCR|8VULN
33	42131 21222	 * 	277.80	DCR|2VULN|2MLV|1TLV|1AAC|2DUR	1RMIN|27DUR|37VULN|4RAT|5AEFRZ|67MLV|7BPWR|8AAC|9TLV|aRCR
34	13463 21622	 * 	277.75	DCR|3MLV|1VULN|1TLV|2ASPD|1CDMG	1BEXP|2VULN|3TLV|479MLV|56ASPD|8CDMG|aRCR
35	21133 65226	   	277.50	DCR|DCR|2VULN|1AAC|1ASPD	1MDPS|2DUST|3ASPD|4LWND|5aVULN|69RCR|7CGEN|8AAC
36	46163 31131	   	276.56	DCR|DCR|2VULN|1TLV	1RMIN|23VULN|4AEBURN|5RCVC|69RCR|7TLV|8LHND|aFEWX
37	46163 31132	   	276.46	DCR|DCR|2VULN|1TLV	1RMIN|23VULN|4AEBURN|5RCVC|69RCR|7TLV|8LHND|aAETHUN
38	46163 31133	   	276.46	DCR|DCR|2VULN|1TLV|1SELL	1RMIN|23VULN|4AEBURN|5RCVC|69RCR|7TLV|8LHND|aSELL
39	11323 13141	   	275.73	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|39CGEN|4LHND|5ASPD|6AAC|7aRCR|8VULN
40	11663 13161	   	275.73	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|39FEWX|4AME|5ASPD|6AAC|7aRCR|8VULN
41	11323 13131	   	275.63	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3CGEN|4LHND|5ASPD|6AAC|7aRCR|8VULN|9AEFRZ
42	11423 13131	   	275.63	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3AME|4LHND|5ASPD|6AAC|7aRCR|8VULN|9AEFRZ
43	11613 13161	   	275.63	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|39FEWX|4ERES|5ASPD|6AAC|7aRCR|8VULN
44	11663 13131	   	275.63	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3FEWX|4AME|5ASPD|6AAC|7aRCR|8VULN|9AEFRZ
45	22363 23131	   	275.63	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1MDPS|2AME|3MLV|4RCVC|5AAC|6ASPD|7aRCR|8VULN|9AEFRZ
46	11613 13131	   	275.53	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3FEWX|4ERES|5ASPD|6AAC|7aRCR|8VULN|9AEFRZ
47	11613 13151	   	275.53	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2MLV|3FEWX|4ERES|5ASPD|6AAC|7aRCR|8VULN|9AEWIND
48	12513 13131	   	275.53	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2LHND|3MLV|4ERES|5ASPD|6AAC|7aRCR|8VULN|9AEFRZ
49	12513 13151	   	275.53	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1BEXP|2LHND|3MLV|4ERES|5ASPD|6AAC|7aRCR|8VULN|9AEWIND
50	23513 23151	   	275.43	DCR|DCR|1VULN|1MLV|1AAC|1ASPD	1MDPS|2AEFRZ|3MLV|4ERES|5AAC|6ASPD|7aRCR|8VULN|9AEWIND
51	11115 13366	   	274.58	DCR|DCR|1VULN|1TLV|1MLV	1BEXP|2MLV|3VULN|4ERES|5TLV|6ZMB|7RMIN|8BBNT|9aRCR
52	15213 33224	   	274.03	ACR|DCR|2VULN|1TLV|1MLV	1BEXP|27RCR|3MLV|4AART|5RMIN|6LWND|8aVULN|9TLV
53	15224 12161	 * 	273.67	ACR|DCR|2TLV|1VULN|1MLV|1CDMG	1BEXP|29RCR|3MLV|4CDMG|5aTLV|6DUST|7DUR|8VULN
54	31251 26361	   	273.46	DCR|DCR|2VULN|1CDMG	1CGEN|2TBNT|3LHND|4CDMG|56VULN|79RCR|8DUR|aRAT
55	31351 26361	   	273.46	DCR|DCR|2VULN|1CDMG	1CGEN|2TBNT|3LWND|4CDMG|56VULN|79RCR|8DUR|aRAT
56	31251 33362	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
57	31251 33363	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
58	31251 33364	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aLWND
59	31251 33365	   	273.03	DCR|DCR|2VULN|2CDMG	17aCGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR
60	31251 33366	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRMIN
61	31351 33362	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
62	31351 33363	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
63	31351 33364	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3aLWND|47CDMG|57VULN|69RCR|7BPWR|8DUR
64	31351 33365	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aFEWX
65	35251 33362	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
66	35251 33363	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
67	35351 33362	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
68	35351 33363	   	273.03	DCR|DCR|2VULN|2CDMG	17CGEN|2BBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
69	31351 33366	   	272.93	DCR|DCR|2VULN|2CDMG	17CGEN|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aDUST
70	61251 33362	   	272.83	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
71	61251 33363	   	272.83	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LHND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
72	61351 33362	   	272.83	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aZMB
73	61351 33363	   	272.83	DCR|DCR|2VULN|2CDMG	17ERES|2TBNT|3LWND|47CDMG|57VULN|69RCR|7BPWR|8DUR|aRPLT
74	11152 31316	   	272.56	ACR|DCR|1VULN|1TLV|1MLV|1DMG|2DUR	1BEXP|2MLV|3VULN|46DUR|5aRCR|7TLV|8TBNT|9DMG
