0	Index      	 *	Score 	Summary	Detail	
1	12232 15652	 * 	269.54	DCR|2VULN|2TLV|2DMG|1CDMG	1CDMG|29VULN|3LHND|4RMIN|5DUR|69DMG|7RAT|89TLV|9BPWR|aRCR
2	12442 16322	 * 	264.51	DCR|2MLV|1VULN|2AAC|1DMG|2CDMG|2RAT	17CDMG|2VULN|3AETHUN|47RAT|59AAC|67MLV|7BPWR|8DMG|aRCR
3	12111 22225	 * 	264.27	DCR|2VULN|2TLV|2ASPD|1AAC|1CDMG	1CDMG|2aVULN|3DUST|4ZMB|5aTLV|6AME|7RCR|8aASPD|9AAC|aBPWR
4	12111 62225	   	264.27	DCR|2VULN|2TLV|2ASPD|1AAC|1CDMG	1CDMG|2aVULN|3DUST|4ZMB|5aTLV|6CGEN|7RCR|8aASPD|9AAC|aBPWR
5	12221 33352	   	263.24	DCR|2VULN|2TLV|1AAC|1ASPD|1CDMG|2RAT	1CDMG|29VULN|3LHND|4ASPD|59TLV|6AAC|7DUST|89RAT|9BPWR|aRCR
6	13335 62342	 * 	262.03	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2BEXP|3LHND|4RMIN|5DLOT|6TLV|7BELT|8VULN|9aRCR
7	12442 16222	   	260.70	DCR|2MLV|1VULN|2AAC|2CDMG|1ASPD|2RAT	17CDMG|2VULN|3AETHUN|47RAT|59AAC|67MLV|7BPWR|8ASPD|aRCR
8	15313 12611	 * 	259.10	DCR|DCR|1VULN|3CDMG	145CDMG|2RPLT|3RCVC|4BPWR|68RCR|7DUR|9AART|aVULN
9	12222 15652	 * 	258.12	DCR|2DMG|1VULN|1TLV|2ASPD|1CDMG	1CDMG|2VULN|39LHND|49ASPD|5DUR|69DMG|7RAT|8TLV|9BPWR|aRCR
10	11352 14261	 * 	257.50	DCR|2VULN|2TLV|1MLV|2DUR|1CDMG	1CDMG|2TBNT|35TLV|45DUR|5BPWR|67VULN|8RCR|9BEXP|aMLV
11	12621 22132	   	257.23	DCR|1VULN|1TLV|2ASPD|1DMG|1AAC|1CDMG	1CDMG|2VULN|3DUR|46ASPD|5TLV|7RCR|8AAC|9RAT|aDMG
