0	Index      	 *	Score 	Summary	Detail	
1	15116 12742	 * 	283.69	DCR|DCR|2VULN|1TLV	19LWND|2MBVNT|3FEWX|49LIT|5RAT|6TLV|79VULN|8aRCR|9BPWR
2	15124 42752	 * 	277.60	DCR|DCR|2VULN|1MLV	1LWND|2MBVNT|3FEWX|4MLV|5RAT|6LIT|79VULN|8aRCR
3	15422 86444	 * 	275.38	DCR|DCR|1VULN|1TLV|1DMG	1LWND|2MBVNT|3RMIN|4AEFBLL|5RAT|6DMG|79RCR|8VULN|aTLV
4	15424 46644	   	272.21	DCR|DCR|1VULN|1TLV|1AAC	1LWND|2MBVNT|3RMIN|4AEFBLL|5AAC|6RAT|79RCR|8VULN|aTLV
5	15116 12732	 * 	269.59	DCR|DCR|2TLV|1VULN	1LWND|2MBVNT|3FEWX|4LIT|5RAT|69TLV|7VULN|8aRCR
6	42324 12712	   	263.62	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4DUR|5RAT|6aRCR|7TLV|8VULN|9LWND
7	42324 12772	   	263.62	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4DUR|5RAT|6aRCR|7TLV|8VULN|9FEWX
8	42334 12752	   	263.62	DCR|DCR|1VULN|1TLV	1AEPOI|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9DUR
9	45234 42452	   	263.62	DCR|DCR|1VULN|1TLV	1AEPOI|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9DUR
10	62324 12712	   	263.62	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4DUR|5RAT|6aRCR|7TLV|8VULN|9LWND
11	62324 12772	   	263.62	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4DUR|5RAT|6aRCR|7TLV|8VULN|9FEWX
12	62334 12752	   	263.62	DCR|DCR|1VULN|1TLV	1AEBURN|2LIT|3MBVNT|4FEWX|5RAT|6aRCR|7TLV|8VULN|9DUR
13	65234 42452	   	263.62	DCR|DCR|1VULN|1TLV	1AEBURN|2TLV|3RAT|4MBVNT|5LIT|6VULN|7aRCR|8FEWX|9DUR
14	11121 24347	 * 	263.36	DCR|DCR|1TLV|1MLV|1AAC	1LWND|2RAT|3AAC|4MBVNT|5AETHUN|6BEXP|79RCR|8MLV|aTLV
15	15116 12722	   	262.03	DCR|DCR|1VULN|1TLV|2RAT	1LWND|2MBVNT|3FEWX|4LIT|59RAT|6TLV|7VULN|8aRCR
16	15224 42752	   	259.71	DCR|DCR|2VULN	1LWND|2MBVNT|3CGEN|4DUR|5RAT|6LIT|79VULN|8aRCR
17	15324 42752	   	259.61	DCR|DCR|2VULN	1LWND|2MBVNT|3ERES|4DUR|5RAT|6LIT|79VULN|8aRCR
18	22141 11563	 * 	258.87	DCR|2VULN|2MLV|1TLV|1DMG	1ERES|24MLV|3BBNT|5SNIFST|67VULN|8TLV|9DMG|aRCR
19	22622 32316	 * 	258.72	DCR|2MLV|2TLV|1VULN|1DMG|2RAT	1ERES|29MLV|3DMG|4LWND|59RAT|6VULN|79TLV|8AETHUN|9BPWR|aRCR
20	11252 43252	   	258.31	DCR|DCR|2VULN|2RAT	17aLWND|27RAT|3RPLT|45RMIN|67VULN|7BPWR|89RCR
21	11252 43253	   	258.31	DCR|DCR|2VULN|2RAT	17LWND|27RAT|3RPLT|45RMIN|67VULN|7BPWR|89RCR|aTBNT
22	11253 43252	   	258.31	DCR|DCR|2VULN|2RAT	17aLWND|27RAT|3RPLT|4RMIN|5RCVC|67VULN|7BPWR|89RCR
23	11253 43253	   	258.31	DCR|DCR|2VULN|2RAT	17LWND|27RAT|3RPLT|4RMIN|5RCVC|67VULN|7BPWR|89RCR|aTBNT
