0	Index      	 *	Score 	Summary	Detail	
1	21321 66126	 * 	319.84	DCR|DCR|3VULN|1TLV|1DMG|1SELL	1LHND|249VULN|3SELL|5DMG|67RCR|8ERES|aTLV
2	41522 31421	 * 	311.32	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	1DMG|2LIT|3CDMG|4AEFRZ|56VULN|79RCR|8RAT|aMLV
3	41522 34321	   	311.32	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	1DMG|2LIT|3CDMG|4AEFRZ|56VULN|7RAT|89RCR|aMLV
4	44321 13321	   	311.32	DCR|DCR|2VULN|1MLV|1DMG|1CDMG	1DMG|2RAT|35VULN|4LIT|6CDMG|7AEFBLL|89RCR|aMLV
5	21321 66241	   	307.38	DCR|DCR|2VULN|1MLV|1DMG|1AAC|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BEXP|9MLV|aAAC
6	21321 66125	 * 	305.33	DCR|DCR|3VULN|2DMG|1SELL	1LHND|249VULN|3SELL|5aDMG|67RCR|8ERES
7	21321 66612	 * 	304.68	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8DUR|9MDPS|aTLV
8	21321 66122	 * 	301.39	DCR|DCR|3VULN|1DMG|1CDMG|1SELL	1LHND|249VULN|3SELL|5DMG|67RCR|8ERES|aCDMG
9	21321 66242	   	298.79	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BEXP|9MLV|aDUR
10	43134 23336	 * 	297.66	DCR|3VULN|2DMG|1TLV|2ASPD|1AAC	17DMG|279VULN|3LWND|4AAC|5TLV|67ASPD|7BPWR|8TBNT|aRCR
11	43234 23336	   	297.66	DCR|3VULN|2DMG|1TLV|2ASPD|1AAC	17DMG|279VULN|3FEWX|4AAC|5TLV|67ASPD|7BPWR|8TBNT|aRCR
12	21321 66212	 * 	296.27	DCR|DCR|2VULN|1TLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BEXP|9MDPS|aTLV
13	21321 66121	 * 	296.05	DCR|DCR|3VULN|1DMG|1SELL	1LHND|249VULN|3SELL|5DMG|67RCR|8ERES|aAART
14	31311 34115	 * 	291.29	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2MLV|3VULN|4FEWX|5DUR|6TLV|7aRCR|8AART|9MDPS
15	33311 14115	   	291.29	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2TLV|3VULN|4FEWX|5DUR|6MLV|7aRCR|8AART|9MDPS
16	11522 34321	   	291.26	DCR|DCR|2VULN|1MLV|1CDMG	1ZMB|2LIT|3CDMG|4AEFRZ|56VULN|7RAT|89RCR|aMLV
17	11522 31421	   	291.26	DCR|DCR|2VULN|1MLV|1CDMG	1ZMB|2LIT|3CDMG|4AEFRZ|56VULN|79RCR|8RAT|aMLV
18	14321 13321	   	291.26	DCR|DCR|2VULN|1MLV|1CDMG	1ZMB|2RAT|35VULN|4LIT|6CDMG|7AEFBLL|89RCR|aMLV
19	31341 34115	   	291.19	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2MLV|3VULN|4BEXP|5DUR|6TLV|7aRCR|8AART|9MDPS
20	33341 14115	   	291.19	DCR|DCR|1VULN|1TLV|1MLV	1TBNT|2TLV|3VULN|4BEXP|5DUR|6MLV|7aRCR|8AART|9MDPS
21	21321 66532	   	290.58	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BBNT|9RPLT|aMLV
22	21321 66252	   	290.48	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BEXP|9TBNT|aMLV
23	21321 66336	   	290.48	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8MULHEA|9RCVC|aMLV
24	21321 66512	   	290.48	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BBNT|9DUST|aMLV
25	21321 66243	   	290.38	DCR|DCR|2VULN|1MLV|1DMG|1SELL	1LHND|24VULN|3SELL|5DMG|67RCR|8BEXP|9MLV|aDUST
26	21321 66631	 * 	290.28	DCR|DCR|2VULN|2DMG|1SELL	1LHND|24VULN|3SELL|59DMG|67RCR|8DUR|aFEWX
27	21321 66632	 * 	290.28	DCR|DCR|2VULN|2DMG|1SELL	1LHND|24VULN|3SELL|59DMG|67RCR|8DUR|aLWND
28	21321 66633	 * 	290.28	DCR|DCR|2VULN|2DMG|1SELL	1LHND|24VULN|3SELL|59DMG|67RCR|8DUR|aRMIN
