0	Index      	 *	Score 	Summary	Detail	
1	55234 36411	 * 	313.10	DCR|DCR|2VULN|2TLV|1DMG	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6DMG|79RCR|8RAT|aRMIN
2	55234 36412	   	313.10	DCR|DCR|2VULN|2TLV|1DMG	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6DMG|79RCR|8RAT|aFEWX
3	55234 36413	   	313.10	DCR|DCR|2VULN|2TLV|1DMG	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6DMG|79RCR|8RAT|aBELT
4	55234 36414	   	313.00	DCR|DCR|2VULN|2TLV|1DMG|1MSE	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6DMG|79RCR|8RAT|aMSE
5	32116 26151	 * 	299.77	DCR|2VULN|2MLV|2DMG|1TLV|1AAC	18DUST|28MLV|3TLV|46VULN|58DMG|7RCR|8BPWR|9RAT|aAAC
6	32116 26153	 * 	298.53	DCR|2VULN|2MLV|3DMG|1TLV	18DUST|28MLV|3TLV|46VULN|58aDMG|7RCR|8BPWR|9RAT
7	32116 26134	 * 	298.08	DCR|3VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46aVULN|58DMG|7RCR|8BPWR|9RPLT
8	32116 26163	   	298.08	DCR|3VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46aVULN|58DMG|7RCR|8BPWR|9FEWX
9	32116 26123	   	297.98	DCR|3VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46aVULN|58DMG|7RCR|8BPWR|9BEXP
10	55234 16411	   	293.04	DCR|DCR|2VULN|2TLV	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6ZMB|79RCR|8RAT|aRMIN
11	55234 16412	   	293.04	DCR|DCR|2VULN|2TLV	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6ZMB|79RCR|8RAT|aFEWX
12	55234 16413	   	293.04	DCR|DCR|2VULN|2TLV	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6ZMB|79RCR|8RAT|aBELT
13	55234 16414	   	292.94	DCR|DCR|2VULN|2TLV|1MSE	15TLV|2MBVNT|35VULN|4BBNT|5BPWR|6ZMB|79RCR|8RAT|aMSE
14	32116 26133	   	292.83	DCR|2VULN|2MLV|2DMG|1TLV|1AAC	18DUST|28MLV|3TLV|46VULN|58DMG|7RCR|8BPWR|9RPLT|aAAC
15	32116 26136	   	291.59	DCR|2VULN|2MLV|3DMG|1TLV	18DUST|28MLV|3TLV|46VULN|58aDMG|7RCR|8BPWR|9RPLT
16	32115 26151	 * 	287.72	DCR|3VULN|2TLV|2AAC|1MLV	18DUST|2MLV|38TLV|468VULN|5aAAC|7RCR|8BPWR|9RAT
17	55231 36411	   	286.80	DCR|DCR|2TLV|1VULN|1DMG	15TLV|2MBVNT|3VULN|4BBNT|6DMG|79RCR|8RAT|aRMIN
18	55231 36412	   	286.80	DCR|DCR|2TLV|1VULN|1DMG	15TLV|2MBVNT|3VULN|4BBNT|6DMG|79RCR|8RAT|aFEWX
19	55231 36413	   	286.80	DCR|DCR|2TLV|1VULN|1DMG	15TLV|2MBVNT|3VULN|4BBNT|6DMG|79RCR|8RAT|aBELT
20	55231 36414	   	286.70	DCR|DCR|2TLV|1VULN|1DMG|1MSE	15TLV|2MBVNT|3VULN|4BBNT|6DMG|79RCR|8RAT|aMSE
21	32115 26136	   	285.75	DCR|3VULN|2TLV|1MLV|1DMG|1AAC	18DUST|2MLV|38TLV|468VULN|5AAC|7RCR|8BPWR|9RPLT|aDMG
22	32115 26134	 * 	284.85	DCR|4VULN|2TLV|1MLV|1AAC	18DUST|2MLV|38TLV|468aVULN|5AAC|7RCR|8BPWR|9RPLT
23	32115 26163	   	284.85	DCR|4VULN|2TLV|1MLV|1AAC	18DUST|2MLV|38TLV|468aVULN|5AAC|7RCR|8BPWR|9FEWX
24	32115 26123	   	284.75	DCR|4VULN|2TLV|1MLV|1AAC	18DUST|2MLV|38TLV|468aVULN|5AAC|7RCR|8BPWR|9BEXP
25	32116 26132	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46VULN|58DMG|7RCR|8BPWR|9RPLT|aDUR
26	32116 26142	   	284.24	DCR|2VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46VULN|58DMG|7RCR|8BPWR|9LIT|aAART
27	32116 26114	   	284.14	DCR|2VULN|2MLV|2DMG|1TLV	18DUST|28MLV|3TLV|46VULN|58DMG|7RCR|8BPWR|9LSRICY|aDUR
