0	Index      	 *	Score 	Summary	Detail	
1	22234 11434	 * 	318.09	DCR|4VULN|3MLV|1TLV|2DUR	1479VULN|29aMLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR
2	15314 31342	 * 	313.96	DCR|DCR|2VULN|1TLV|1MLV|1CDMG	1FEWX|2MBVNT|3DUST|4aVULN|5TLV|68RCR|7CDMG|9MLV
3	25533 31342	   	313.74	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1aVULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|9DMG
4	25533 31382	   	309.93	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1aVULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|9ASPD
5	25452 21254	 * 	308.24	DCR|DCR|3VULN|2TLV	15aVULN|2MBVNT|3BBNT|4aCGEN|6AETHUN|7aTLV|89RCR|aBPWR
6	25536 31342	   	305.44	DCR|DCR|2VULN|1TLV|1DMG|1CDMG	1aVULN|2MBVNT|3DUST|4TLV|5LWND|68RCR|7CDMG|9DMG
7	15314 31348	   	304.01	DCR|DCR|1VULN|1TLV|1MLV|1ASPD|1CDMG	1FEWX|2MBVNT|3DUST|4VULN|5TLV|68RCR|7CDMG|9MLV|aASPD
8	25533 31348	   	303.79	DCR|DCR|1VULN|1TLV|1DMG|1ASPD|1CDMG	1VULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|9DMG|aASPD
9	22234 21434	   	303.23	DCR|4VULN|3MLV|1TLV	1479VULN|29aMLV|3AEWIND|5TLV|69FEWX|8RCR|9BPWR
10	15314 31382	   	301.62	DCR|DCR|2VULN|1TLV|1ASPD|1CDMG	1FEWX|2MBVNT|3DUST|4aVULN|5TLV|68RCR|7CDMG|9ASPD
11	25533 31373	   	300.62	DCR|DCR|2VULN|1TLV|1CDMG	19VULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|aRAT
12	22116 23112	 * 	294.57	ACR|DCR|3VULN|2MLV	159VULN|25MLV|3RMIN|48RCR|5BPWR|6DUR|7BLASTR|aRAT
13	22234 11424	   	294.55	DCR|4VULN|2MLV|1TLV|2DUR	147aVULN|2aMLV|3AEWIND|5TLV|6aDUR|8RCR|9RMIN|aBPWR
14	22234 11431	   	294.55	DCR|4VULN|2MLV|1TLV|2DUR	1479VULN|29MLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR|aLWND
15	22234 11433	   	294.55	DCR|4VULN|2MLV|1TLV|2DUR	1479VULN|29MLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR|aRPLT
16	22234 11334	   	294.45	DCR|4VULN|2MLV|1TLV|2DUR	1478VULN|28MLV|3AEWIND|5TLV|68DUR|8BPWR|9NUKE|aRCR
17	22234 11432	   	294.45	DCR|4VULN|2MLV|1TLV|2DUR	1479VULN|29MLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR|aMDPS
18	22234 11435	   	294.45	DCR|4VULN|2MLV|1TLV|2DUR	1479VULN|29MLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR|aDUST
19	22234 11436	   	294.45	DCR|4VULN|2MLV|1TLV|2DUR	1479VULN|29MLV|3AEWIND|5TLV|69DUR|8RCR|9BPWR|aMBVNT
20	15314 31312	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	1FEWX|2MBVNT|3DUST|4aVULN|5TLV|68RCR|7CDMG|9DUR
21	15333 31342	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	1FEWX|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|9aVULN
22	25533 31322	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	1aVULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|9BBNT
23	25533 31371	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	19VULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|aTBNT
24	25533 31372	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	19VULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|aLHND
25	25533 31374	   	293.68	DCR|DCR|2VULN|1TLV|1CDMG	19VULN|2MBVNT|3DUST|4TLV|5DUR|68RCR|7CDMG|aLIT
26	22116 52136	 * 	292.40	ACR|3VULN|2MLV|2TLV|2DMG|1AAC	15aVULN|25MLV|3RMIN|4RCR|5aBPWR|6aTLV|7AAC|8TBNT|9aDMG
27	15314 31373	   	292.31	DCR|DCR|2VULN|1TLV|1CDMG	1FEWX|2MBVNT|3DUST|49VULN|5TLV|68RCR|7CDMG|aRAT
28	25135 41722	 * 	291.59	DCR|3VULN|2MLV|2TLV|1AAC	16aVULN|2MBVNT|3AAC|4aMLV|5CGEN|7RCR|8LIT|9aTLV|aBPWR
29	15314 31388	 * 	290.01	DCR|DCR|1VULN|1TLV|2ASPD|1CDMG	1FEWX|2MBVNT|3DUST|4VULN|5TLV|68RCR|7CDMG|9aASPD
30	21266 11243	   	289.42	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1VULN|2ERES|3AETHUN|4BBNT|5AAC|6DMG|7TLV|89RCR|aRAT
31	22116 13136	 * 	289.28	ACR|DCR|2VULN|2MLV|1TLV	15VULN|25MLV|3RMIN|48RCR|5BPWR|6LHND|7BLASTR|9LWND|aTLV
