0	Index      	 *	Score 	Summary	Detail	
1	26311 32643	 * 	298.12	DCR|DCR|2VULN|1MLV|1ASPD|1CDMG	1MLV|2CDMG|3AEFBLL|4LHND|5ASPD|69VULN|7CANSTR|8aRCR
2	26122 66233	 * 	298.03	DCR|3MLV|2VULN|2DMG|1AAC|1CDMG	158MLV|2CDMG|3MDPS|48VULN|68DMG|7AAC|8BPWR|9RMIN|aRCR
3	35212 11353	 * 	293.01	DCR|2VULN|2TLV|2DMG|1MLV|2DUR|1CDMG	19DUR|29DMG|38VULN|4CDMG|59TLV|6BBNT|7RCR|9BPWR|aMLV
4	15322 64323	 * 	291.49	DCR|3VULN|2MLV|2TLV|1AAC	12MDPS|34aVULN|5aMLV|6AAC|7TBNT|8RCR|9aTLV|aBPWR
5	21212 63155	 * 	289.04	DCR|2VULN|2MLV|1TLV|2ASPD|1DMG|1SELL	1aMLV|2DUST|3aVULN|4SELL|5TLV|6DMG|7RCR|8aASPD|9RPLT|aBPWR
6	21256 25121	 * 	287.53	ACR|DCR|3VULN|2MLV	18MLV|28DUST|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aDUR
7	23256 25121	   	287.53	ACR|DCR|3VULN|2MLV	18MLV|28BEXP|368VULN|4AETHUN|57RCR|8BPWR|9LHND|aDUR
8	22511 61362	 * 	287.48	DCR|2VULN|2MLV|2TLV|1DMG|2AART	18MLV|2AEFBLL|39AART|4RCVC|58TLV|68VULN|7RCR|8BPWR|aDMG
9	21256 15223	   	286.89	ACR|DCR|2VULN|2MLV|1ASPD|1CDMG	16MLV|2DUST|39VULN|4AETHUN|57RCR|8ASPD|aCDMG
10	23256 15223	   	286.89	ACR|DCR|2VULN|2MLV|1ASPD|1CDMG	16MLV|2BEXP|39VULN|4AETHUN|57RCR|8ASPD|aCDMG
11	23454 12242	 * 	286.84	DCR|2VULN|2MLV|3AAC|2DMG	1aMLV|2BEXP|346AAC|5aVULN|7MBVNT|8aDMG|9RCR|aBPWR
12	24232 33146	 * 	286.35	DCR|4VULN|2MLV|1AAC|1CDMG	16MLV|2LEGI|3569VULN|4AART|6BPWR|7AAC|8RCR|aCDMG
13	24232 33126	 * 	284.01	DCR|3VULN|3MLV|1AAC	169MLV|2LEGI|356VULN|4AART|6BPWR|7AAC|8RCR|aRAT
14	21256 25223	   	283.22	ACR|DCR|3VULN|1MLV|1ASPD|1CDMG	1MLV|2DUST|369VULN|4AETHUN|57RCR|8ASPD|aCDMG
15	23256 25223	   	283.22	ACR|DCR|3VULN|1MLV|1ASPD|1CDMG	1MLV|2BEXP|369VULN|4AETHUN|57RCR|8ASPD|aCDMG
16	21422 11253	 * 	281.79	DCR|3MLV|2VULN|2AAC|2CDMG	19aMLV|2DUST|38AAC|49CDMG|59VULN|6BBNT|7RCR|9BPWR
17	23422 11253	   	281.79	DCR|3MLV|2VULN|2AAC|2CDMG	19aMLV|2BEXP|38AAC|49CDMG|59VULN|6BBNT|7RCR|9BPWR
18	24422 11253	   	281.79	DCR|3MLV|2VULN|2AAC|2CDMG	19aMLV|2LEGI|38AAC|49CDMG|59VULN|6BBNT|7RCR|9BPWR
19	21256 15222	   	281.54	ACR|DCR|2VULN|2MLV|1ASPD	16MLV|2DUST|39VULN|4AETHUN|57RCR|8ASPD|aAART
20	21256 25213	   	281.54	ACR|DCR|2VULN|2MLV|1ASPD	1aMLV|2DUST|36VULN|4AETHUN|57RCR|8ASPD|9AART
21	23256 15222	   	281.54	ACR|DCR|2VULN|2MLV|1ASPD	16MLV|2BEXP|39VULN|4AETHUN|57RCR|8ASPD|aAART
22	23256 25213	   	281.54	ACR|DCR|2VULN|2MLV|1ASPD	1aMLV|2BEXP|36VULN|4AETHUN|57RCR|8ASPD|9AART
23	21422 11156	 * 	281.28	DCR|2VULN|2MLV|1TLV|3CDMG|1AAC	19MLV|2DUST|3AAC|489CDMG|59VULN|6BBNT|7RCR|9BPWR|aTLV
24	23422 11156	   	281.28	DCR|2VULN|2MLV|1TLV|3CDMG|1AAC	19MLV|2BEXP|3AAC|489CDMG|59VULN|6BBNT|7RCR|9BPWR|aTLV
25	21256 15121	 * 	280.63	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aLWND
26	21256 15123	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aZMB
27	21256 15131	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9LWND|aFEWX
28	21256 15133	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9aLWND
29	23256 15121	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aLWND
30	23256 15123	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aZMB
31	23256 15131	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9LWND|aFEWX
32	23256 15133	   	280.63	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9LWND|aZMB
33	21256 15111	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9ERES|aRMIN
34	21256 15112	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9ERES|aLWND
35	21256 15122	   	280.53	ACR|DCR|3MLV|2VULN|1MSE	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9DMSP|aMSE
36	21256 15132	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28DUST|38VULN|4AETHUN|57RCR|8BPWR|9LWND|aBEXP
37	23256 15111	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9ERES|aRMIN
38	23256 15112	   	280.53	ACR|DCR|3MLV|2VULN	168MLV|28BEXP|38VULN|4AETHUN|57RCR|8BPWR|9ERES|aLWND
