0	Index      	 *	Score 	Summary	Detail	
1	51362 52311	 * 	281.52	DCR|4VULN|1TLV|1MLV|1ASPD	1234VULN|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
2	51212 24251	 * 	273.71	DCR|4VULN|3DMG|3DUR	127aVULN|3TBNT|47aDMG|5BBNT|67aDUR|7aBPWR|8RCR|9RMIN
3	14231 53336	 * 	272.13	DCR|DCR|1VULN|1TLV	1CGEN|2VULN|3TLV|4DUR|5AART|6FRZARM|7RAT|8BBNT|9aRCR
4	53231 53336	   	272.13	DCR|DCR|1VULN|1TLV	1VULN|2CGEN|3TLV|4DUR|5AART|6FRZARM|7RAT|8BBNT|9aRCR
5	14231 23336	   	272.03	DCR|DCR|1VULN|1TLV	1CGEN|2VULN|3TLV|4DUR|5AART|6BLAICY|7RAT|8BBNT|9aRCR
6	53231 23336	   	272.03	DCR|DCR|1VULN|1TLV	1VULN|2CGEN|3TLV|4DUR|5AART|6BLAICY|7RAT|8BBNT|9aRCR
7	51232 24251	 * 	264.46	DCR|4VULN|3ASPD|3DUR	127aVULN|3TBNT|47aASPD|5BBNT|67aDUR|7aBPWR|8RCR|9RMIN
8	14215 23252	 * 	262.37	DCR|3VULN|2MLV|1TLV	1CGEN|25aVULN|3TLV|4ERES|6RPLT|7RCR|89MLV
9	53215 23252	   	262.37	DCR|3VULN|2MLV|1TLV	15aVULN|2CGEN|3TLV|4ERES|6RPLT|7RCR|89MLV
10	51332 52311	   	261.37	DCR|3VULN|1TLV|1MLV|1ASPD	123VULN|4RCVC|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
11	55332 52311	   	261.37	DCR|3VULN|1TLV|1MLV|1ASPD	123VULN|2BPWR|4RCVC|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
12	51322 52311	   	261.27	DCR|3VULN|1TLV|1MLV|1ASPD	123VULN|4AEBURN|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
13	52362 52311	   	261.27	DCR|3VULN|1TLV|1MLV|1ASPD	134VULN|2AEWIND|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
14	55322 52311	   	261.27	DCR|3VULN|1TLV|1MLV|1ASPD	123VULN|2BPWR|4AEBURN|5MLV|6TLV|7MSLREG|8RAT|9ASPD|aRCR
15	54122 32361	 * 	260.13	DCR|3VULN|2AAC|1TLV|1ASPD	159VULN|2ASPD|38BEXP|46AAC|7TLV|aRCR
16	14315 32621	 * 	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3DUR|4DMG|5MLV|6FEWX|8TLV|9AAC|aRCR
17	14612 12621	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3FEWX|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
18	53315 32621	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3DUR|4DMG|5MLV|6FEWX|8TLV|9AAC|aRCR
19	53612 12621	   	260.09	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3FEWX|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
20	13315 52621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|2AETHUN|3DUR|4DMG|5MLV|67VULN|8TLV|9AAC|aRCR
21	14112 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3BEXP|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
22	14314 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3DUR|4DMG|5BEXP|6MLV|8TLV|9AAC|aRCR
23	14412 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3DUST|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
24	53112 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3BEXP|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
25	53314 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3DUR|4DMG|5BEXP|6MLV|8TLV|9AAC|aRCR
26	53412 12621	   	259.99	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3DUST|4DMG|5DUR|6MLV|8TLV|9AAC|aRCR
27	51212 24223	 * 	258.90	DCR|3VULN|2DMG|1MLV|2DUR	127VULN|3TBNT|47DMG|5BBNT|67DUR|7BPWR|8RCR|9RCVC|aMLV
28	55212 24223	   	258.90	DCR|3VULN|2DMG|1MLV|2DUR	127VULN|27BPWR|3TBNT|47DMG|5BBNT|67DUR|8RCR|9RCVC|aMLV
29	52213 31134	 * 	258.82	DCR|2VULN|3DMG|1TLV|1AAC	18VULN|28AEWIND|3TBNT|478DMG|5BELT|6AAC|8BPWR|9RCR|aTLV
30	51212 24263	   	258.80	DCR|3VULN|2DMG|1MLV|2DUR	127VULN|3TBNT|47DMG|5BBNT|67DUR|7BPWR|8RCR|9AEFRZ|aMLV
31	14215 23232	   	258.34	DCR|4VULN|1TLV|1MLV	1CGEN|259aVULN|3TLV|4ERES|6RPLT|7RCR|8MLV
32	14216 43232	   	258.34	DCR|4VULN|1TLV|1MLV	1CGEN|269aVULN|3TLV|4ERES|5RPLT|7RCR|8MLV
33	53215 23232	   	258.34	DCR|4VULN|1TLV|1MLV	159aVULN|2CGEN|3TLV|4ERES|6RPLT|7RCR|8MLV
34	53216 43232	   	258.34	DCR|4VULN|1TLV|1MLV	169aVULN|2CGEN|3TLV|4ERES|5RPLT|7RCR|8MLV
35	56243 33122	 * 	257.86	DCR|3VULN|2TLV|1AAC|2DUR|1SELL	17aVULN|2ERES|37TLV|4RMIN|5SELL|67DUR|7BPWR|8RCR|9AAC
36	51236 22321	 * 	257.46	DCR|3VULN|2TLV|1ASPD|2DUR	12aVULN|3TBNT|4ASPD|5aTLV|6aDUR|7LEGI|8RMIN|9RCR|aBPWR
37	55236 22321	   	257.46	DCR|3VULN|2TLV|1ASPD|2DUR	12aVULN|2aBPWR|3TBNT|4ASPD|5aTLV|6aDUR|7LEGI|8RMIN|9RCR
38	51213 31121	   	257.23	DCR|3VULN|3DMG|1AAC	128VULN|3TBNT|478DMG|5BELT|6AAC|8BPWR|9RAT|aRCR
39	55213 31121	   	257.23	DCR|3VULN|3DMG|1AAC	128VULN|28BPWR|3TBNT|478DMG|5BELT|6AAC|9RAT|aRCR
40	54331 61323	 * 	255.23	DCR|2VULN|3ASPD|2DMG|1AAC	19VULN|29aASPD|3MDPS|4RMIN|5BBNT|6AAC|79DMG|8RCR|9BPWR
41	52212 24251	   	253.46	DCR|3VULN|3DMG|3DUR	17aVULN|2AEWIND|3TBNT|47aDMG|5BBNT|67aDUR|7aBPWR|8RCR|9RMIN
42	53213 24225	 * 	253.28	DCR|2VULN|2MLV|2TLV	1aVULN|2CGEN|3aTLV|4ERES|5FEWX|69RPLT|7RCR|8aMLV|aBPWR
43	63231 35521	   	252.18	DCR|2MLV|1VULN|1TLV|1AAC|1ASPD	1ERES|2AETHUN|3TLV|4ASPD|57MLV|6AAC|8DUR|9VULN|aRCR
44	51232 24223	 * 	252.08	DCR|3VULN|2ASPD|1MLV|2DUR	127VULN|3TBNT|47ASPD|5BBNT|67DUR|7BPWR|8RCR|9RCVC|aMLV
45	55232 24223	   	252.08	DCR|3VULN|2ASPD|1MLV|2DUR	127VULN|27BPWR|3TBNT|47ASPD|5BBNT|67DUR|8RCR|9RCVC|aMLV
46	51232 24263	   	251.98	DCR|3VULN|2ASPD|1MLV|2DUR	127VULN|3TBNT|47ASPD|5BBNT|67DUR|7BPWR|8RCR|9AEFRZ|aMLV
47	14114 12621	   	251.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3BEXP|4DMG|5FEWX|6MLV|8TLV|9AAC|aRCR
48	14115 32621	   	251.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|27VULN|3BEXP|4DMG|5MLV|6FEWX|8TLV|9AAC|aRCR
49	53114 12621	   	251.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3BEXP|4DMG|5FEWX|6MLV|8TLV|9AAC|aRCR
50	53115 32621	   	251.68	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	17VULN|2CGEN|3BEXP|4DMG|5MLV|6FEWX|8TLV|9AAC|aRCR
51	51151 22621	   	251.58	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	12VULN|3AETHUN|4CGEN|5MLV|6DMG|7BEXP|8TLV|9AAC|aRCR
52	13115 52621	   	251.58	DCR|2VULN|1TLV|1MLV|1DMG|1AAC	1CGEN|2AETHUN|3BEXP|4DMG|5MLV|67VULN|8TLV|9AAC|aRCR
