0	Index      	 *	Score 	Summary	Detail	
1	64222 32432	 * 	317.57	DCR|DCR|3MLV|1VULN|1DMG	124MLV|2BPWR|3DMG|5AART|6TBNT|7aRCR|8LEGI|9VULN
2	64221 11531	 * 	315.19	DCR|DCR|3MLV|2DMG|1ASPD	124MLV|2BPWR|38DMG|5ASPD|6aRCR|7RMIN|9RAT
3	64221 12531	   	315.19	DCR|DCR|3MLV|2DMG|1ASPD	124MLV|2BPWR|38DMG|5ASPD|6aRCR|7AME|9RAT
4	61336 12531	   	310.67	DCR|DCR|2MLV|1VULN|1DMG|1AAC	17MLV|2DMG|3DUST|4AAC|5VULN|6aRCR|8AME|9RAT
5	61336 12231	   	310.57	DCR|DCR|2MLV|1VULN|1DMG|1AAC	17MLV|2DMG|3DUST|4AAC|5VULN|6aRCR|8ERES|9RAT
6	63616 12231	   	310.03	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	17MLV|2ASPD|3DMG|4LHND|5VULN|6aRCR|8ERES|9RAT
7	63626 12231	   	310.03	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	17MLV|2ASPD|3DMG|4FEWX|5VULN|6aRCR|8ERES|9RAT
8	63661 12231	   	310.03	DCR|DCR|2MLV|1VULN|1DMG|1ASPD	17MLV|2ASPD|3DMG|4VULN|5FEWX|6aRCR|8ERES|9RAT
9	63336 12531	   	306.86	DCR|DCR|2MLV|1VULN|1AAC|1ASPD	17MLV|2ASPD|3DUST|4AAC|5VULN|6aRCR|8AME|9RAT
10	63336 12231	   	306.76	DCR|DCR|2MLV|1VULN|1AAC|1ASPD	17MLV|2ASPD|3DUST|4AAC|5VULN|6aRCR|8ERES|9RAT
11	61336 11531	 * 	304.07	DCR|DCR|2DMG|1VULN|1MLV|1AAC	1MLV|28DMG|3DUST|4AAC|5VULN|6aRCR|7RMIN|9RAT
12	61336 13531	   	303.97	DCR|DCR|2DMG|1VULN|1MLV|1AAC	1MLV|28DMG|3DUST|4AAC|5VULN|6aRCR|7ERES|9RAT
13	32233 61246	 * 	297.52	ACR|DCR|3VULN|2TLV|3RAT	168RAT|28aLHND|3TBNT|47RCR|58aVULN|8aBPWR|9aTLV
14	63211 42112	 * 	295.14	DCR|2VULN|2MLV|1TLV|2ASPD|1AAC	17MLV|27ASPD|3TBNT|4AAC|57VULN|6MDPS|7BPWR|8RCR|9DUR|aTLV
15	66336 12231	   	290.51	DCR|DCR|2MLV|1VULN|1AAC	17MLV|2AAC|3DUST|4ZMB|5VULN|6aRCR|8ERES|9RAT
16	43124 12531	   	290.06	DCR|DCR|2MLV|1VULN|1ASPD	1LHND|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8AME|9RAT
17	53124 12531	   	290.06	DCR|DCR|2MLV|1VULN|1ASPD	1LWND|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8AME|9RAT
18	13124 12531	   	289.96	DCR|DCR|2MLV|1VULN|1ASPD	1BEXP|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8AME|9RAT
19	43124 12231	   	289.96	DCR|DCR|2MLV|1VULN|1ASPD	1LHND|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8ERES|9RAT
20	53124 12231	   	289.96	DCR|DCR|2MLV|1VULN|1ASPD	1LWND|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8ERES|9RAT
21	13124 12231	   	289.86	DCR|DCR|2MLV|1VULN|1ASPD	1BEXP|2VULN|3ASPD|47MLV|5ZMB|6aRCR|8ERES|9RAT
