0	Index      	 *	Score 	Summary	Detail	
1	31133 34552	 * 	313.41	DCR|DCR|2VULN|1TLV|1DMG|1AAC	1AAC|23VULN|3BPWR|4TLV|5DMSP|6DMG|7aRCR|8AEBURN|9AEFBLL
2	41312 62343	 * 	310.38	DCR|DCR|3VULN|1MLV|1ASPD	158VULN|2LHND|3MLV|4MSLFST|6ASPD|7CGEN|9aRCR
3	42312 62343	   	310.28	DCR|DCR|3VULN|1MLV|1ASPD	158VULN|2BEXP|3MLV|4MSLFST|6ASPD|7CGEN|9aRCR
4	31131 26236	   	309.70	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5ASPD|6NUKE|7LIT|8RMIN|9aRCR
5	31131 34552	   	309.50	DCR|DCR|2VULN|1TLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5ASPD|68AEBURN|7aRCR|9AEFBLL
6	31132 24422	 * 	309.08	DCR|3VULN|2DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|239VULN|3BPWR|4TLV|5MLV|6aDMG|7ASPD|8RCR
7	31132 24332	 * 	301.27	DCR|2VULN|3DMG|1TLV|1MLV|1AAC|1ASPD	1AAC|23VULN|3BPWR|4TLV|5MLV|68aDMG|7ASPD|9RCR
8	34132 34332	 * 	300.97	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|25MLV|3CGEN|4TLV|6DMG|7aRCR|8LWND|9BBNT
9	34132 34532	   	300.87	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|25MLV|39CGEN|4TLV|6DMG|7aRCR|8AEBURN
10	34132 34512	   	300.77	DCR|DCR|2MLV|1TLV|1DMG|1AAC	1AAC|25MLV|3CGEN|4TLV|6DMG|7aRCR|89AEBURN
11	33533 52223	 * 	300.43	DCR|DCR|1VULN|2AAC|1TLV|1DMG	15AAC|2FEWX|3MDPS|4VULN|69RCR|7TLV|8BEXP|aDMG
12	31114 31451	   	300.39	DCR|DCR|2VULN|1TLV|1AAC	1AAC|23VULN|3BPWR|4RCVC|5RAT|68RCR|7MDPS|9TLV|aBBNT
13	31114 31452	   	300.39	DCR|DCR|2VULN|1TLV|1AAC	1AAC|23VULN|3BPWR|4RCVC|5RAT|68RCR|7MDPS|9TLV|aCGEN
14	31114 31453	   	300.29	DCR|DCR|2VULN|1TLV|1AAC	1AAC|23VULN|3BPWR|4RCVC|5RAT|68RCR|7MDPS|9TLV|aERES
15	24332 13643	 * 	300.02	DCR|DCR|3VULN|1TLV	1AME|245VULN|3FRZFST|6LHND|7ZMB|8TLV|9aRCR
16	24332 33643	   	300.02	DCR|DCR|3VULN|1TLV	1AME|245VULN|3FRZFST|6LWND|7ZMB|8TLV|9aRCR
17	24332 23643	   	299.92	DCR|DCR|3VULN|1TLV	1AME|245VULN|3FRZFST|6DUST|7ZMB|8TLV|9aRCR
18	31132 24423	   	299.80	DCR|3VULN|1TLV|1MLV|1DMG|1AAC|1ASPD	1AAC|239VULN|3BPWR|4TLV|5MLV|6DMG|7ASPD|8RCR|aDUR
19	33532 51512	 * 	299.61	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1AAC|2FEWX|3MDPS|4VULN|5LHND|69TLV|7DMG|8aRCR
20	31114 31421	   	298.57	DCR|DCR|3VULN|1AAC|2RAT	1AAC|23aVULN|3aBPWR|4RCVC|5aRAT|68RCR|7MDPS|9aLWND
21	31114 31441	   	298.37	DCR|DCR|3VULN|1AAC|2RAT	1AAC|23aVULN|3aBPWR|4RCVC|5aRAT|68RCR|7MDPS|9aBEXP
