0	Index      	 *	Score 	Summary	Detail	
1	42312 32333	 * 	294.07	DCR|DCR|1VULN|1TLV|1MLV|1DMG	1LWND|29AEFBLL|3BASARM|4MLV|5VULN|6DMG|78RCR|aTLV
2	41312 32322	 * 	288.28	DCR|DCR|2VULN|1MLV|1DMG	1LWND|2AEPOI|3BASARM|4MLV|5aVULN|6DMG|78RCR|9BBNT
3	42312 32322	   	288.28	DCR|DCR|2VULN|1MLV|1DMG	1LWND|2AEFBLL|3BASARM|4MLV|5aVULN|6DMG|78RCR|9BBNT
4	41312 32342	 * 	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEPOI|3BASARM|4aMLV|5VULN|6DMG|78RCR|9ZMB
5	41312 32352	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEPOI|3BASARM|4aMLV|5VULN|6DMG|78RCR|9CGEN
6	41312 42362	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEPOI|3BASARM|4aMLV|5VULN|6ZMB|78RCR|9DMG
7	42312 32342	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEFBLL|3BASARM|4aMLV|5VULN|6DMG|78RCR|9ZMB
8	42312 32352	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEFBLL|3BASARM|4aMLV|5VULN|6DMG|78RCR|9CGEN
9	42312 42362	   	287.89	DCR|DCR|2MLV|1VULN|1DMG	1LWND|2AEFBLL|3BASARM|4aMLV|5VULN|6ZMB|78RCR|9DMG
10	41312 32362	   	287.79	DCR|DCR|2MLV|1VULN|1DMG|1NUKE	1LWND|2AEPOI|3BASARM|4aMLV|5VULN|6DMG|78RCR|9NUKE
11	42312 32332	   	287.79	DCR|DCR|2MLV|1VULN|1DMG	1LWND|29AEFBLL|3BASARM|4aMLV|5VULN|6DMG|78RCR
12	42312 32362	   	287.79	DCR|DCR|2MLV|1VULN|1DMG|1NUKE	1LWND|2AEFBLL|3BASARM|4aMLV|5VULN|6DMG|78RCR|9NUKE
13	41312 32316	 * 	279.67	DCR|DCR|2DMG|1VULN|1MLV	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6aDMG|78RCR|9BELT
14	42312 32316	   	279.67	DCR|DCR|2DMG|1VULN|1MLV	1LWND|2AEFBLL|3BASARM|4MLV|5VULN|6aDMG|78RCR|9BELT
15	41312 32344	   	278.97	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9ZMB|aAAC
16	41312 32354	   	278.97	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9CGEN|aAAC
17	42312 32344	   	278.97	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LWND|2AEFBLL|3BASARM|4MLV|5VULN|6DMG|78RCR|9ZMB|aAAC
18	42312 32354	   	278.97	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1LWND|2AEFBLL|3BASARM|4MLV|5VULN|6DMG|78RCR|9CGEN|aAAC
19	41312 32364	   	278.87	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1NUKE	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aAAC
20	42312 32364	   	278.87	DCR|DCR|1VULN|1MLV|1DMG|1AAC|1NUKE	1LWND|2AEFBLL|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aAAC
21	41312 32331	   	278.23	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9AEFBLL|aASPD
22	13136 53326	   	277.53	DCR|DCR|1VULN|1MLV|1DMG	1FEWX|2DUR|3RAT|4DMG|5LIT|6aRCR|7VULN|8MLV|9RPLT
23	42312 42333	   	274.01	DCR|DCR|1VULN|1TLV|1MLV	1LWND|29AEFBLL|3BASARM|4MLV|5VULN|6ZMB|78RCR|aTLV
24	41312 32361	   	271.64	DCR|DCR|1VULN|1MLV|1DMG|1NUKE	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aBEXP
25	41312 32363	   	271.64	DCR|DCR|1VULN|1MLV|1DMG|1NUKE	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aERES
26	41312 32365	   	271.64	DCR|DCR|1VULN|1MLV|1DMG|1NUKE	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aCGEN
27	41312 32366	   	271.64	DCR|DCR|1VULN|1MLV|1DMG|1NUKE	1LWND|2AEPOI|3BASARM|4MLV|5VULN|6DMG|78RCR|9NUKE|aDUR
