0	Index      	 *	Score 	Summary	Detail	
1	23535 22353	 * 	296.52	DCR|DCR|1VULN|1TLV|2ASPD|1DMG	17ASPD|2DMG|3BBNT|4RCVC|5TLV|6VULN|8CANARM|9aRCR
2	43113 51432	 * 	293.52	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1LIT|2LHND|3MLV|47DMG|5LWND|69RCR|8CDMG|aVULN
3	41113 51432	   	293.42	DCR|DCR|2DMG|1VULN|1MLV|1CDMG	1LIT|2DUST|3MLV|47DMG|5LWND|69RCR|8CDMG|aVULN
4	23442 26333	 * 	293.01	DCR|DCR|1VULN|2ASPD|1MLV|1DMG	17ASPD|2DMG|3FEWX|4LWND|5BASHEA|6VULN|8MLV|9aRCR
5	23432 26333	   	292.91	DCR|DCR|1VULN|2ASPD|1MLV|1DMG	17ASPD|2DMG|3FEWX|4DUST|5BASHEA|6VULN|8MLV|9aRCR
6	21141 61211	 * 	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1ASPD|2DUST|3AETHUN|4FEWX|5VULN|6TLV|79RCR|8CGEN|aMLV
7	23461 23321	 * 	289.80	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3FEWX|4AME|5TBNT|68VULN|79RCR|aCDMG
8	23545 23321	   	289.70	DCR|DCR|2VULN|1DMG|1ASPD|1CDMG	1ASPD|2DMG|3BBNT|4BEXP|5AME|68VULN|79RCR|aCDMG
9	43112 54221	   	288.17	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2LHND|3MLV|4aDMG|5FEWX|67RCR|8DUR|9VULN
10	43142 53221	   	286.84	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1LIT|2LHND|3MLV|4ASPD|5FEWX|67RCR|8DUR|9VULN|aDMG
11	22615 21214	 * 	284.35	DCR|DCR|2TLV|1VULN|1ASPD	1ASPD|2MDPS|3VULN|45TLV|6FEWX|79RCR|8CGEN|aDUR
12	23515 22353	 * 	281.91	DCR|DCR|2DMG|1VULN|2ASPD	17ASPD|25DMG|3BBNT|45ERES|5BPWR|6VULN|8CANARM|9aRCR
13	23632 35613	 * 	281.60	DCR|DCR|2TLV|2DMG|1ASPD	1ASPD|29DMG|3LWND|4DUST|59BASHEA|6FEWX|7aRCR|89TLV|9BPWR
14	12324 64133	 * 	278.43	DCR|DCR|1TLV|1MLV|1DMG|1ASPD	1LWND|2CGEN|3MLV|4ASPD|5LSRREG|6TLV|7FEWX|8DMG|9aRCR
15	23442 21333	   	278.43	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4LWND|5BASHEA|6VULN|7RCVC|8MLV|9aRCR
16	21131 61514	   	276.63	DCR|DCR|1VULN|1TLV|1ASPD|2DUR	1ASPD|2DUST|3AETHUN|4aDUR|5VULN|6TLV|79RCR|8RMIN
17	23461 23322	   	276.15	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4AME|5TBNT|68VULN|79RCR|aLIT
18	23461 23326	   	276.15	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4AME|5TBNT|68VULN|79RCR|aRCVC
19	21411 14121	 * 	276.13	ACR|DCR|2DMG|1VULN|1TLV|1ASPD|1CDMG	1ASPD|2DUST|39RCR|4TLV|5VULN|67DMG|8BBNT|aCDMG
20	25411 14121	   	276.13	ACR|DCR|2DMG|1VULN|1TLV|1ASPD|1CDMG	1ASPD|2BEXP|39RCR|4TLV|5VULN|67DMG|8BBNT|aCDMG
21	23545 23322	   	276.05	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2DMG|3BBNT|4BEXP|5AME|68VULN|79RCR|aLIT
22	23461 23323	   	276.05	DCR|DCR|2VULN|1DMG|1ASPD|1MSE	1ASPD|2DMG|3FEWX|4AME|5TBNT|68VULN|79RCR|aMSE
23	23461 23324	   	276.05	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2DMG|3FEWX|4AME|5TBNT|68VULN|79RCR|aAEWIND
24	24114 11533	   	276.05	DCR|DCR|2VULN|1DMG|1ASPD	1ASPD|2CGEN|3DMG|4LHND|5MULARM|6FEWX|78VULN|9aRCR
25	22615 21211	   	276.05	DCR|DCR|2TLV|1VULN|1ASPD	1ASPD|2MDPS|3VULN|45TLV|6FEWX|79RCR|8CGEN|aAME
26	22615 21212	   	276.05	DCR|DCR|2TLV|1VULN|1ASPD	1ASPD|2MDPS|3VULN|45TLV|6FEWX|79RCR|8CGEN|aRCVC
27	22615 21213	   	276.05	DCR|DCR|2TLV|1VULN|1ASPD	1ASPD|2MDPS|3VULN|45TLV|6FEWX|79RCR|8CGEN|aLHND
28	23545 23323	   	275.95	DCR|DCR|2VULN|1DMG|1ASPD|1MSE	1ASPD|2DMG|3BBNT|4BEXP|5AME|68VULN|79RCR|aMSE
29	22615 21215	   	275.95	DCR|DCR|2TLV|1VULN|1ASPD|1MSE	1ASPD|2MDPS|3VULN|45TLV|6FEWX|79RCR|8CGEN|aMSE
