0	Index      	 *	Score 	Summary	Detail	
1	31322 44432	 * 	298.37	DCR|DCR|2MLV|1TLV|1AAC|2RAT	1BEXP|29MLV|3FEWX|4AAC|5aRAT|6TLV|78RCR
2	33542 21522	 * 	296.82	DCR|DCR|2MLV|1VULN|1CDMG	1BEXP|2CDMG|39MLV|4LHND|5VULN|6RAT|7DUR|8aRCR
3	23243 12552	   	296.72	DCR|DCR|2MLV|1TLV|1CDMG	1ERES|2CDMG|3RAT|4DUR|5MDPS|6TLV|79MLV|8aRCR
4	33562 22522	   	296.72	DCR|DCR|2MLV|1VULN|1CDMG	1BEXP|2CDMG|39MLV|4DUST|5VULN|6RAT|7DUR|8aRCR
5	63512 22522	   	296.72	DCR|DCR|2MLV|1VULN|1CDMG	1DUST|2CDMG|39MLV|4BEXP|5VULN|6RAT|7DUR|8aRCR
6	31322 44431	   	291.66	DCR|DCR|2MLV|1TLV|1AAC	1BEXP|29MLV|3FEWX|4AAC|5RAT|6TLV|78RCR|aERES
7	31322 44433	   	291.66	DCR|DCR|2MLV|1TLV|1AAC|1MSE	1BEXP|29MLV|3FEWX|4AAC|5RAT|6TLV|78RCR|aMSE
8	51235 11513	 * 	289.75	DCR|3MLV|2VULN|2TLV|2RAT	1LWND|24aMLV|34RAT|4aBPWR|5AEBURN|6aVULN|7LIT|8aTLV|9RCR
9	32316 52522	   	288.51	DCR|DCR|2MLV|1VULN|1CDMG	1BEXP|2FEWX|3CDMG|4VULN|5LWND|6RAT|79MLV|8aRCR
10	33115 52522	   	288.51	DCR|DCR|2MLV|1VULN|1CDMG	1BEXP|2CDMG|3LWND|4VULN|5FEWX|6RAT|79MLV|8aRCR
11	14335 24123	 * 	287.53	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2ASPD|3DUST|49MLV|57RCR|6FEWX|8VULN|aDUR
12	31122 44412	 * 	286.73	DCR|DCR|2TLV|1MLV|1AAC|2RAT	1BEXP|2MLV|3LHND|4AAC|5aRAT|69TLV|78RCR
13	31322 44412	   	286.73	DCR|DCR|2TLV|1MLV|1AAC|2RAT	1BEXP|2MLV|3FEWX|4AAC|5aRAT|69TLV|78RCR
14	51613 52232	 * 	283.97	DCR|3VULN|3MLV|1TLV	1LWND|279MLV|3CGEN|48aVULN|5TLV|6RCR
15	31613 52232	   	283.87	DCR|3VULN|3MLV|1TLV	1BEXP|279MLV|3CGEN|48aVULN|5TLV|6RCR
16	61613 52232	   	283.87	DCR|3VULN|3MLV|1TLV	1DUST|279MLV|3CGEN|48aVULN|5TLV|6RCR
17	31122 44411	   	280.02	DCR|DCR|2TLV|1MLV|1AAC	1BEXP|2MLV|3LHND|4AAC|5RAT|69TLV|78RCR|aERES
18	31122 44413	   	280.02	DCR|DCR|2TLV|1MLV|1AAC|1MSE	1BEXP|2MLV|3LHND|4AAC|5RAT|69TLV|78RCR|aMSE
19	31322 44411	   	280.02	DCR|DCR|2TLV|1MLV|1AAC	1BEXP|2MLV|3FEWX|4AAC|5RAT|69TLV|78RCR|aERES
20	31322 44413	   	280.02	DCR|DCR|2TLV|1MLV|1AAC|1MSE	1BEXP|2MLV|3FEWX|4AAC|5RAT|69TLV|78RCR|aMSE
21	14335 24121	   	279.23	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2ASPD|3DUST|49MLV|57RCR|6FEWX|8VULN|aBELT
22	14335 24122	   	279.23	ACR|DCR|2MLV|1VULN|1TLV|1ASPD	1TLV|2ASPD|3DUST|49MLV|57RCR|6FEWX|8VULN|aLHND
23	11365 11322	 * 	277.82	ACR|DCR|1VULN|1TLV|1MLV|1DMG|1CDMG	1TLV|2RAT|3BBNT|4CDMG|58RCR|6DMG|7ERES|9VULN|aMLV
24	23133 51335	 * 	275.73	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1ERES|2CDMG|3BASICY|4LHND|5LIT|6aRCR|7MLV|8DMG|9VULN
25	23433 51335	   	275.73	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1ERES|2CDMG|3BASARM|4LHND|5LIT|6aRCR|7MLV|8DMG|9VULN
26	31613 52225	 * 	274.50	DCR|2VULN|2MLV|1TLV|1DMG|1ASPD	1BEXP|27MLV|3CGEN|48VULN|5TLV|6RCR|9ASPD|aDMG
27	51122 34411	   	274.35	DCR|DCR|1TLV|1MLV|1AAC	1LWND|2MLV|3LHND|4AAC|5RAT|6RMIN|78RCR|9TLV|aAART
28	51322 34411	   	274.35	DCR|DCR|1TLV|1MLV|1AAC	1LWND|2MLV|3FEWX|4AAC|5RAT|6RMIN|78RCR|9TLV|aAART
29	13262 24432	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1TLV|2FEWX|3RAT|4AAC|5AME|6BEXP|78RCR|9MLV|aDUR
30	13262 34432	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1TLV|2FEWX|3RAT|4AAC|5AME|6DUST|78RCR|9MLV|aDUR
31	31122 44431	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1BEXP|2MLV|3LHND|4AAC|5RAT|6TLV|78RCR|9CGEN|aAART
32	51222 24411	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1LWND|2MLV|3RAT|4AAC|5AME|6BEXP|78RCR|9TLV|aAART
33	51222 34411	   	274.25	DCR|DCR|1TLV|1MLV|1AAC	1LWND|2MLV|3RAT|4AAC|5AME|6DUST|78RCR|9TLV|aAART
34	51211 34411	   	273.71	DCR|DCR|1TLV|1MLV|1ASPD	1LWND|2MLV|3RAT|4FEWX|5ASPD|6RMIN|78RCR|9TLV|aAART
35	31122 44422	   	272.56	DCR|DCR|1TLV|1MLV|1AAC|2RAT	1BEXP|2MLV|39LHND|4AAC|5aRAT|6TLV|78RCR
36	31322 44422	   	272.56	DCR|DCR|1TLV|1MLV|1AAC|2RAT	1BEXP|2MLV|3FEWX|4AAC|5aRAT|6TLV|78RCR|9LHND
37	23243 12512	   	270.81	DCR|DCR|1TLV|1MLV|1CDMG	19ERES|2CDMG|3RAT|4DUR|5MDPS|6TLV|7MLV|8aRCR
38	32222 44423	 * 	269.45	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2FEWX|3CGEN|4AAC|5RAT|6TLV|78RCR|9RPLT|aVULN
39	21214 24423	   	269.25	DCR|DCR|1VULN|1TLV|1AAC	1ERES|2RAT|3TLV|4DUST|5AAC|6BEXP|78RCR|9RPLT|aVULN
