0	Index      	 *	Score 	Summary	Detail	
1	13312 25162	 * 	319.73	ACR|DCR|3VULN|2MLV|1TLV	16MLV|2DUR|3DUST|49RCR|56aVULN|6BPWR|7TLV|8LHND
2	12215 46331	 * 	318.83	DCR|3VULN|3MLV|2TLV|1CDMG	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aCDMG
3	12215 46333	 * 	314.20	DCR|3VULN|3MLV|3TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78aTLV|9RCR
4	12215 46335	   	311.79	DCR|3VULN|3MLV|2TLV|2RAT	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6aRAT|78TLV|9RCR
5	12215 46336	   	305.18	DCR|3VULN|3MLV|2TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aRCVC
6	12215 46337	   	305.18	DCR|3VULN|3MLV|2TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aFEWX
7	12215 46338	   	305.18	DCR|3VULN|3MLV|2TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aLHND
8	12215 46332	   	305.08	DCR|3VULN|3MLV|2TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aERES
9	12215 46334	   	305.08	DCR|3VULN|3MLV|2TLV	138MLV|238VULN|38BPWR|4AEFBLL|5MBVNT|6RAT|78TLV|9RCR|aAEBURN
10	13312 25161	   	297.59	ACR|DCR|2VULN|2MLV|1TLV	16MLV|2DUR|3DUST|49RCR|56VULN|6BPWR|7TLV|8LHND|aSPLARM
11	13312 25163	   	297.59	ACR|DCR|2VULN|2MLV|1TLV	16MLV|2DUR|3DUST|49RCR|56VULN|6BPWR|7TLV|8LHND|aCGEN
12	13312 25164	   	297.59	ACR|DCR|2VULN|2MLV|1TLV	16MLV|2DUR|3DUST|49RCR|56VULN|6BPWR|7TLV|8LHND|aAME
13	13312 25165	   	297.49	ACR|DCR|2VULN|2MLV|1TLV	16MLV|2DUR|3DUST|49RCR|56VULN|6BPWR|7TLV|8LHND|aAEPOI
14	13312 25166	   	297.49	ACR|DCR|2VULN|2MLV|1TLV	16MLV|2DUR|3aDUST|49RCR|56VULN|6BPWR|7TLV|8LHND
15	12262 14135	   	296.70	DCR|3VULN|3MLV|2CDMG|1ASPD	137MLV|237VULN|37BPWR|4AART|5DMSP|67CDMG|8ZMB|9ASPD|aRCR
16	12222 66326	 * 	296.63	DCR|2VULN|2MLV|2DMG|1TLV|1CDMG	13MLV|23VULN|3BPWR|4LIT|58DMG|6RAT|7CDMG|9TLV|aRCR
17	11364 31623	   	295.16	DCR|3MLV|2TLV|1VULN|3DUR|1AAC	157MLV|2RCVC|357DUR|4AART|57BPWR|67TLV|8VULN|9AAC|aRCR
18	12265 11325	   	294.10	DCR|3VULN|3MLV|1DMG|1CDMG	136MLV|236VULN|36BPWR|4AART|5RPLT|7ZMB|8RCR|9CDMG|aDMG
19	12265 15321	   	294.10	DCR|3VULN|3MLV|1DMG|1CDMG	136MLV|236VULN|36BPWR|4AART|5RPLT|7DMG|8RCR|9CDMG|aFEWX
20	12265 15322	   	294.10	DCR|3VULN|3MLV|1DMG|1CDMG	136MLV|236VULN|36BPWR|4AART|5RPLT|7DMG|8RCR|9CDMG|aRMIN
21	12265 15323	   	294.10	DCR|3VULN|3MLV|1DMG|1CDMG	136MLV|236VULN|36BPWR|4AART|5RPLT|7DMG|8RCR|9CDMG|aTBNT
22	12312 25462	   	293.72	ACR|DCR|3VULN|1TLV|1MLV	1MLV|25aVULN|3DUST|49RCR|6LEGI|7TLV|8DUR
23	12312 35462	   	293.72	ACR|DCR|3VULN|1TLV|1MLV	1MLV|25aVULN|3DUST|49RCR|6BEXP|7TLV|8DUR
24	32312 12462	   	293.72	ACR|DCR|3VULN|1TLV|1MLV	1TLV|25aVULN|3DUST|49RCR|6MLV|7BEXP|8DUR
25	12263 31234	   	292.38	DCR|3VULN|3MLV|1TLV	136MLV|239VULN|3BPWR|4AART|5LIT|7RCR|8LWND|aTLV
26	12265 11336	   	292.38	DCR|3VULN|3MLV|1TLV	136MLV|236VULN|36BPWR|4AART|5RPLT|7ZMB|8RCR|9MDPS|aTLV
27	32615 63132	   	290.99	DCR|2VULN|2MLV|2DMG|1TLV|2DUR	1TLV|28VULN|3aMLV|4FEWX|58DUR|6SPLARM|78DMG|8BPWR|9RCR
28	32635 63132	   	290.89	DCR|2VULN|2MLV|2DMG|1TLV|2DUR	1TLV|28VULN|3aMLV|4DUST|58DUR|6SPLARM|78DMG|8BPWR|9RCR
29	13421 23621	 * 	290.82	DCR|DCR|1VULN|1TLV|1MLV	1MLV|2DUR|3LIT|4LWND|5AART|67RCR|8LEGI|9TLV|aVULN
30	12245 13623	   	290.30	DCR|3MLV|2VULN|1TLV|1DMG	137MLV|23VULN|3BPWR|4BBNT|5AART|6TLV|8RMIN|9RCR|aDMG
31	12266 13623	   	290.30	DCR|3MLV|2VULN|1TLV|1DMG	137MLV|23VULN|3BPWR|4AART|5TBNT|6TLV|8RMIN|9RCR|aDMG
