0	Index      	 *	Score 	Summary	Detail	
1	21315 25611	 * 	335.59	DCR|3TLV|3VULN|3DMG	179TLV|2ZMB|379VULN|4RAT|58LHND|679DMG|79BPWR|aRCR
2	23523 24224	 * 	335.26	DCR|DCR|2TLV|2VULN|1AEFBLL|1ASPD	13TLV|2MLV|4ASPD|5aVULN|67RCR|8FEWX|9AEFBLL
3	23523 24134	   	335.16	DCR|DCR|2TLV|2VULN|1DMG|1ASPD	13TLV|2MLV|4ASPD|5aVULN|67RCR|8DMG|9ERES
4	21241 34224	 * 	328.55	ACR|DCR|2TLV|2VULN|1AEFBLL	13TLV|2ZMB|4aVULN|57RCR|6MLV|8FEWX|9AEFBLL
5	21241 34134	   	328.45	ACR|DCR|2TLV|2VULN|1DMG	13TLV|2ZMB|4aVULN|57RCR|6MLV|8DMG|9ERES
6	12551 24131	   	325.47	ACR|DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD	1LWND|2AEBURN|3aTLV|4ASPD|57RCR|6CGEN|8DMG|9VULN
7	12552 24131	   	325.37	DCR|DCR|2TLV|1VULN|1DMG|1AEBURN|1ASPD	1LWND|2AEBURN|3aTLV|4ASPD|5ERES|67RCR|8DMG|9VULN
8	21223 26134	 * 	321.68	DCR|DCR|3TLV|1VULN|2ASPD	13aTLV|2aZMB|47ASPD|5VULN|69RCR|8aAIRHEA|aBPWR
9	21223 26334	   	321.68	DCR|DCR|3TLV|1VULN|2ASPD	13aTLV|2aZMB|47ASPD|5VULN|69RCR|8aAIRHEL|aBPWR
10	25242 33134	 * 	320.42	ACR|4VULN|3TLV|1AEFBLL|1AART	14aTLV|248aVULN|3AART|4aBPWR|5RCR|6LIT|7AEFBLL|9aMLV
11	23523 24126	   	319.06	DCR|DCR|2TLV|1VULN|1DMG|1ASPD|1CDMG	13TLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9DMSP|aCDMG
12	23523 24513	   	319.06	DCR|DCR|2TLV|1VULN|1AEFBLL|1ASPD|1CDMG	13TLV|28MLV|4ASPD|5VULN|67RCR|9AEFBLL|aCDMG
13	23523 24111	   	319.06	DCR|DCR|3TLV|1VULN|1DMG|1ASPD	13aTLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9FEWX
14	23523 24141	   	318.96	DCR|DCR|3TLV|1VULN|1DMG|1ASPD	13aTLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9MBVNT
15	23523 24623	   	317.86	DCR|DCR|2TLV|1VULN|2ASPD|1AEFBLL	13TLV|2MLV|4aASPD|5VULN|67RCR|8BEXP|9AEFBLL
16	23123 24244	   	315.20	DCR|DCR|2TLV|2VULN|1ASPD	19TLV|2MLV|3RCVC|4ASPD|5aVULN|67RCR|8FEWX
17	23523 24222	   	315.07	DCR|DCR|2TLV|1VULN|1AEFBLL|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8FEWX|9AEFBLL|aDUR
18	23523 24512	   	315.07	DCR|DCR|2TLV|1VULN|1AEFBLL|1ASPD	13TLV|28MLV|4ASPD|5VULN|67RCR|9AEFBLL|aDUR
19	23523 24311	   	315.00	DCR|DCR|2TLV|2VULN|1ASPD	13TLV|2MLV|4ASPD|5aVULN|67RCR|8MSLFST|9MULARM
20	23523 24351	   	315.00	DCR|DCR|2TLV|2VULN|1ASPD	13TLV|2MLV|4ASPD|5aVULN|67RCR|8MSLFST|9SNIHEL
21	23523 24132	   	314.97	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9ERES|aDUR
22	23523 24151	   	314.97	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9NUKE|aBEXP
23	23523 24152	   	314.97	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9NUKE|aDUR
24	23523 24153	   	314.97	DCR|DCR|2TLV|1VULN|1DMG|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8DMG|9NUKE|aCGEN
25	23523 24422	   	314.97	DCR|DCR|2TLV|1VULN|1AEFBLL|1ASPD	13TLV|2MLV|4ASPD|5VULN|67RCR|8MBVNT|9AEFBLL|aDUR
26	21223 26135	   	314.30	DCR|DCR|2TLV|1VULN|2ASPD	13TLV|2ZMB|47ASPD|5VULN|69RCR|8AIRHEA|aDUR
27	21223 26335	   	314.30	DCR|DCR|2TLV|1VULN|2ASPD	13TLV|2ZMB|47ASPD|5VULN|69RCR|8AIRHEL|aDUR
