0	Index      	 *	Score 	Summary	Detail	
1	31141 26124	 * 	325.66	DCR|DCR|2VULN|1TLV|1AEBURN|1ASPD	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aASPD
2	31141 26121	   	312.01	DCR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aLIT
3	31141 26126	   	312.01	DCR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aBEXP
4	31141 26122	   	311.91	DCR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aMDPS
5	31141 26123	   	311.91	DCR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aDUST
6	31141 26125	   	311.91	DCR|DCR|2VULN|1TLV|1AEBURN|1MSE	1DUR|27VULN|3AAC|4TLV|5FLTARM|69RCR|8AEBURN|aMSE
7	31146 22633	 * 	307.70	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	1aDUR|29VULN|3AAC|4TLV|58RCR|6RPLT|7CDMG
8	34511 26433	 * 	305.62	DCR|2TLV|2VULN|2DMG|3DUR|1AART	158DUR|29DMG|39TLV|4AART|69VULN|7MBVNT|9BPWR|aRCR
9	31146 36121	   	304.97	ACR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|59RCR|6CANHEL|8AEBURN|aLIT
10	31146 36122	   	304.87	ACR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|59RCR|6CANHEL|8AEBURN|aMDPS
11	31146 36123	   	304.87	ACR|DCR|2VULN|1TLV|1AEBURN	1DUR|27VULN|3AAC|4TLV|59RCR|6CANHEL|8AEBURN|aDUST
12	31146 22631	   	298.66	ACR|DCR|2VULN|1TLV|1CDMG	1DUR|29VULN|3AAC|4TLV|58RCR|6RPLT|7CDMG|aFEWX
13	31146 22632	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	1DUR|29VULN|3AAC|4TLV|58RCR|6RPLT|7CDMG|aMDPS
