0	Index      	 *	Score 	Summary	Detail	
1	23242 31216	 * 	313.77	DCR|DCR|2VULN|1TLV|1AEFBLL|2DUR|1SELL	1AEFBLL|27VULN|35DUR|4DUST|69RCR|8SELL|aTLV
2	21431 26236	 * 	313.77	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1DMG	1AEFBLL|2TLV|3DMG|4aRCR|5CGEN|67AART|8VULN|9RAT
3	21431 26116	   	313.77	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1DMG	1AEFBLL|2TLV|3DMG|4aRCR|5CGEN|67AART|8RAT|9VULN
4	21434 32136	   	313.77	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1DMG	1AEFBLL|2TLV|3DMG|4aRCR|5RAT|6RMIN|79AART|8VULN
5	35321 24253	 * 	312.07	ACR|3VULN|2TLV|2DMG|1AEPOI	19SNITOX|2RCR|35aVULN|49DMG|6AEPOI|7LIT|89TLV|9BPWR
6	21432 14143	   	311.28	ACR|3VULN|2TLV|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69aVULN|7DUR|89BEXP|9BPWR
7	21531 26236	   	307.36	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1ASPD	1AEFBLL|2TLV|3ASPD|4aRCR|5CGEN|67AART|8VULN|9RAT
8	21531 26116	   	307.36	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1ASPD	1AEFBLL|2TLV|3ASPD|4aRCR|5CGEN|67AART|8RAT|9VULN
9	21534 32136	   	307.36	ACR|DCR|1TLV|1VULN|2AART|1AEFBLL|1ASPD	1AEFBLL|2TLV|3ASPD|4aRCR|5RAT|6RMIN|79AART|8VULN
10	21533 15333	   	304.87	ACR|DCR|1TLV|1AEFBLL|1DMG|2DUR|1ASPD|1CDMG|1AART	1AEFBLL|2TLV|3ASPD|49RCR|5AART|67DUR|8DMG|aCDMG
11	21532 14143	   	304.87	ACR|3VULN|2TLV|1AEFBLL|1ASPD	1AEFBLL|29TLV|3ASPD|4RCR|5FLTARM|69aVULN|7DUR|89BEXP|9BPWR
12	23246 31216	 * 	304.73	DCR|DCR|2VULN|1TLV|1AEFBLL|1SELL	1AEFBLL|27VULN|3DUR|4DUST|5RCVC|69RCR|8SELL|aTLV
13	21435 34321	   	304.20	ACR|2TLV|2VULN|2AEFBLL|1DMG|1ASPD|1AART	18AEFBLL|28TLV|3DMG|4RCR|5DMSP|6ASPD|78VULN|8BPWR|9DUR|aAART
14	21431 23236	   	303.56	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|57CGEN|6AART|8VULN|9RAT
15	21431 23116	   	303.56	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|57CGEN|6AART|8RAT|9VULN
16	21433 26116	   	303.56	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|5AART|6RMIN|7DMSP|8RAT|9VULN
17	21431 25236	   	303.46	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|5CGEN|6AART|7AEFRZ|8VULN|9RAT
18	21431 25116	   	303.46	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|5CGEN|6AART|7AEFRZ|8RAT|9VULN
19	21433 25116	   	303.46	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|5AART|6RMIN|7AEFRZ|8RAT|9VULN
20	21434 12316	   	303.36	ACR|DCR|1TLV|1VULN|1AEFBLL|1DMG|1AART	1AEFBLL|2TLV|3DMG|4aRCR|5RAT|6ERES|7AART|8AEFRZ|9VULN
21	21432 11143	   	301.62	ACR|3VULN|2TLV|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69aVULN|7LWND|89BEXP|9BPWR
22	21432 11643	   	301.62	ACR|3VULN|2TLV|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4RCR|5FLTARM|69aVULN|7LWND|89FEWX|9BPWR
23	21432 14362	   	300.04	ACR|2TLV|2VULN|1AEFBLL|1DMG|1CDMG	1AEFBLL|28TLV|3DMG|4RCR|5FLTARM|6aVULN|7DUR|9CDMG
24	21432 14332	 * 	300.04	ACR|3TLV|2VULN|1AEFBLL|1DMG	1AEFBLL|28aTLV|3DMG|4RCR|5FLTARM|6aVULN|7DUR|9aVENFST|aBPWR
25	21533 23332	 * 	298.72	ACR|DCR|2TLV|1AEFBLL|1DMG|1ASPD|1AART	1AEFBLL|2aTLV|3ASPD|49RCR|5AART|6RMIN|7CGEN|8DMG
26	21433 21643	   	298.38	ACR|2TLV|2VULN|2DMG|2AEFBLL|1AART	1aAEFBLL|28TLV|3aDMG|4RCR|5AART|6RMIN|7MDPS|9aVULN|aBPWR
27	21533 15336	   	298.16	ACR|DCR|1TLV|1AEFBLL|1DMG|2DUR|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|49RCR|5AART|67DUR|8DMG|aZMB
28	21531 23236	   	297.15	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|57CGEN|6AART|8VULN|9RAT
29	21531 23116	   	297.15	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|57CGEN|6AART|8RAT|9VULN
30	21533 26116	   	297.15	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|5AART|6RMIN|7DMSP|8RAT|9VULN
31	21531 25236	   	297.05	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|5CGEN|6AART|7AEFRZ|8VULN|9RAT
32	21531 25116	   	297.05	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|5CGEN|6AART|7AEFRZ|8RAT|9VULN
33	21533 25116	   	297.05	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|5AART|6RMIN|7AEFRZ|8RAT|9VULN
34	21534 12316	   	296.95	ACR|DCR|1TLV|1VULN|1AEFBLL|1ASPD|1AART	1AEFBLL|2TLV|3ASPD|4aRCR|5RAT|6ERES|7AART|8AEFRZ|9VULN
35	35315 33613	 * 	296.92	ACR|DCR|1TLV|1VULN|2DMG	1SNITOX|2aRCR|3VULN|4RCVC|5RAT|69DMG|7ZMB|8TLV
36	21251 63642	 * 	295.60	DCR|DCR|1TLV|1VULN|1AEFBLL|1CDMG	1AEFBLL|2TLV|3RAT|4MDPS|5CDMG|6aRCR|7MBVNT|8DUR|9VULN
37	21532 11143	   	295.21	ACR|3VULN|2TLV|1AEFBLL|1ASPD	1AEFBLL|29TLV|3ASPD|4RCR|5FLTARM|69aVULN|7LWND|89BEXP|9BPWR
38	21532 11643	   	295.21	ACR|3VULN|2TLV|1AEFBLL|1ASPD	1AEFBLL|29TLV|3ASPD|4RCR|5FLTARM|69aVULN|7LWND|89FEWX|9BPWR
39	23346 31216	 * 	295.07	DCR|DCR|2VULN|1TLV|1AEFBLL|1SELL	1AEFBLL|27VULN|3BEXP|4DUST|5RCVC|69RCR|8SELL|aTLV
40	23235 31563	 * 	295.01	DCR|4VULN|1TLV|1AEFBLL|2DUR	1AEFBLL|2479VULN|34DUR|4BPWR|5LWND|6RCR|8ZMB|aTLV
41	21453 12143	 * 	294.58	DCR|3VULN|2TLV|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4MSLTOX|59aVULN|6FEWX|7RCR|89BEXP|9BPWR
42	21453 32143	   	294.58	DCR|3VULN|2TLV|1AEFBLL|1DMG	1AEFBLL|29TLV|3DMG|4MSLTOX|59aVULN|6LHND|7RCR|89BEXP|9BPWR
43	21431 21643	   	294.44	ACR|3TLV|2VULN|2AEFBLL|1DMG|1AART	1aAEFBLL|28aTLV|3DMG|4RCR|5CGEN|6AART|7MDPS|9aVULN|aBPWR
44	23235 31112	 * 	294.16	DCR|DCR|3VULN|1AEFBLL|2DUR|1CDMG	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aCGEN
45	23235 31113	   	294.16	DCR|DCR|3VULN|1AEFBLL|1AEPOI|2DUR|1CDMG	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aAEPOI
46	23235 31115	   	294.16	DCR|DCR|3VULN|1AEFBLL|2DUR|1CDMG	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aFEWX
47	23235 31116	   	294.16	DCR|DCR|3VULN|1AEFBLL|2DUR|1CDMG	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aLHND
48	62235 31113	   	294.16	DCR|DCR|3VULN|1AEPOI|2DUR|1CDMG	147VULN|2DMSP|34DUR|4BPWR|5LWND|69RCR|8CDMG|aAEPOI
49	23235 31111	   	294.06	DCR|DCR|3VULN|1AEFBLL|2DUR|1CDMG|1MSE	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aMSE
50	23235 31114	   	294.06	DCR|DCR|3VULN|1AEFBLL|2DUR|1CDMG|1SELL	1AEFBLL|247VULN|34DUR|4BPWR|5LWND|69RCR|8CDMG|aSELL
51	61452 31113	   	294.06	DCR|DCR|3VULN|1AEPOI|2DUR|1CDMG	147VULN|2BEXP|35DUR|69RCR|8CDMG|aAEPOI
52	62242 31216	 * 	293.71	DCR|DCR|2VULN|1TLV|2DUR|1SELL	17VULN|2DMSP|35DUR|4DUST|69RCR|8SELL|aTLV
53	21532 14362	   	293.62	ACR|2TLV|2VULN|1AEFBLL|1ASPD|1CDMG	1AEFBLL|28TLV|3ASPD|4RCR|5FLTARM|6aVULN|7DUR|9CDMG
