0	Index      	 *	Score 	Summary	Detail	
1	21151 63325	 * 	326.10	ACR|ACR|2TLV|2VULN|2RAT|1AART	1aTLV|2AART|35RCR|4LHND|6aVULN|7DUST|8ERES|9aRAT|aBPWR
2	21111 11661	   	322.72	ACR|ACR|2TLV|1VULN|1AEFBLL|1DMG|1AART	1aTLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN
3	21151 11661	   	322.72	ACR|ACR|2TLV|1VULN|1AEFBLL|1DMG|1AART	1aTLV|2AART|35RCR|4LHND|6MDPS|7AEFBLL|8DMG|9VULN
4	21111 33565	 * 	320.25	ACR|ACR|2TLV|1VULN|2DMG|1AART	16TLV|2AART|35RCR|4FEWX|7aDMG|8MDPS|9VULN
5	21151 31613	   	319.49	ACR|ACR|2TLV|2VULN|1AART	16TLV|2AART|35RCR|4LHND|7RAT|8LIT|9aVULN
6	21161 31265	 * 	317.84	ACR|ACR|3TLV|2VULN|1AART|1MSE	16aTLV|2AART|35RCR|4MSE|7RAT|89VULN
7	21151 65321	   	316.41	ACR|ACR|2TLV|1VULN|1AEBURN|1ASPD|1AART	1aTLV|2AART|35RCR|4LHND|6VULN|7RCVC|8AEBURN|9ASPD
8	21111 33566	   	316.31	ACR|ACR|2TLV|1VULN|1DMG|1ASPD|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8MDPS|9VULN|aASPD
9	21111 33561	 * 	316.31	ACR|ACR|3TLV|1VULN|1DMG|1AART	16aTLV|2AART|35RCR|4FEWX|7DMG|8MDPS|9VULN
10	21151 33451	   	316.31	ACR|ACR|3TLV|1VULN|1DMG|1AART	16aTLV|2AART|35RCR|4LHND|7DMG|8LSRREG|9VULN
11	21151 33561	   	316.31	ACR|ACR|3TLV|1VULN|1DMG|1AART	16aTLV|2AART|35RCR|4LHND|7DMG|8MDPS|9VULN
12	21123 53443	 * 	314.83	ACR|2TLV|2VULN|2DMG|2ASPD|2AART	1aTLV|27AART|3RCR|49ASPD|5RCVC|6aDMG|8aVULN|aBPWR
13	21111 11665	   	314.11	ACR|ACR|1TLV|1VULN|2DMG|1AEFBLL|1AART	1TLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8aDMG|9VULN
14	21151 33211	   	312.97	ACR|ACR|2TLV|1VULN|2AART|1DMG	16TLV|28AART|35RCR|49LHND|7DMG|aVULN
15	21151 33563	   	312.87	ACR|ACR|2TLV|1VULN|2AART|1DMG	16TLV|2aAART|35RCR|4LHND|7DMG|8MDPS|9VULN
16	21151 61232	   	312.45	ACR|ACR|2TLV|2VULN|1AART	1aTLV|2AART|35RCR|4LHND|69VULN|7LIT|8VENFST
17	21111 25661	   	312.42	ACR|ACR|2TLV|1VULN|1DMG|1AART	1aTLV|2AART|35RCR|4FEWX|6BEXP|7DUR|8DMG|9VULN
18	21151 35262	   	312.32	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4LHND|7ERES|8DUR|9VULN|aDMG
19	21151 61313	 * 	310.94	ACR|ACR|3VULN|1TLV|1AART	1TLV|2AART|35RCR|4LHND|69aVULN|7LIT|8AETHUN
20	21161 63325	   	310.80	ACR|ACR|2TLV|2VULN|2RAT|1AART|1MSE	1aTLV|2AART|35RCR|4MSE|6aVULN|7DUST|8ERES|9aRAT|aBPWR
21	21111 11666	   	310.17	ACR|ACR|1TLV|1VULN|1AEFBLL|1DMG|1ASPD|1AART	1TLV|2AART|35RCR|4FEWX|6MDPS|7AEFBLL|8DMG|9VULN|aASPD
22	21111 33212	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8ZMB|9BEXP|aVULN
23	21111 31616	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4FEWX|7RAT|8LIT|9VULN|aDMG
24	21151 31616	   	309.70	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4LHND|7RAT|8LIT|9VULN|aDMG
25	21161 31245	   	308.05	ACR|ACR|3TLV|1VULN|1AEPOI|1AART|1MSE	16aTLV|2AART|35RCR|4MSE|7RAT|8VULN|9AEPOI
26	21161 11661	   	307.42	ACR|ACR|2TLV|1VULN|1AEFBLL|1DMG|1AART|1MSE	1aTLV|2AART|35RCR|4MSE|6MDPS|7AEFBLL|8DMG|9VULN
27	41151 31336	   	306.78	ACR|ACR|2TLV|1VULN|1CDMG|1AART	1aCGEN|2AART|35RCR|4LHND|6aTLV|7CDMG|8VULN|9aZMB|aBPWR
28	21151 11663	   	306.73	ACR|ACR|1TLV|1VULN|2AART|1AEFBLL|1DMG	1TLV|2aAART|35RCR|4LHND|6MDPS|7AEFBLL|8DMG|9VULN
29	21151 65312	   	306.41	ACR|ACR|2VULN|1TLV|1AEBURN|1AART	1TLV|2AART|35RCR|4LHND|6aVULN|7RCVC|8AEBURN|9BEXP
30	21151 61233	   	306.31	ACR|ACR|2VULN|1TLV|1DMG|1AART	1TLV|2AART|35RCR|4LHND|69VULN|7LIT|8VENFST|aDMG
31	21111 33221	   	305.66	ACR|ACR|2TLV|1DMG|1AEBURN|1ASPD|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8ZMB|9ASPD|aAEBURN
32	21161 31221	   	304.19	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|8aVULN|9AAC
33	21161 31253	   	304.19	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|8aVULN|9LIT
34	21161 31261	   	304.19	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|89VULN|aFEWX
35	21161 31266	   	304.19	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|89VULN|aLWND
36	21161 31262	   	304.09	ACR|ACR|2TLV|2VULN|1AART|2MSE	16TLV|2AART|35RCR|4aMSE|7RAT|89VULN
37	21161 31263	   	304.09	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|89VULN|aDLOT
38	21161 31264	   	304.09	ACR|ACR|2TLV|2VULN|1AART|1MSE	16TLV|2AART|35RCR|4MSE|7RAT|89VULN|aAETHUN
39	21111 31612	   	303.29	ACR|ACR|2TLV|1VULN|1ASPD|1AART	16TLV|2AART|35RCR|4FEWX|7RAT|8LIT|9VULN|aASPD
40	21111 32321	   	303.29	ACR|ACR|2TLV|1VULN|1CDMG|1AART	16TLV|2AART|35RCR|49FEWX|7ZMB|8CDMG|aVULN
41	21111 32351	   	303.29	ACR|ACR|2TLV|1VULN|1CDMG|1AART	16TLV|2AART|35RCR|4FEWX|7ZMB|8CDMG|9DMSP|aVULN
42	21111 32363	   	303.19	ACR|ACR|2TLV|1VULN|1CDMG|1AART	16TLV|2AART|35RCR|4FEWX|7ZMB|8CDMG|9BLASTR|aVULN
43	21151 32451	   	303.19	ACR|ACR|3TLV|1VULN|1AART	16aTLV|2AART|35RCR|4LHND|7ZMB|8LSRREG|9VULN
44	21111 23622	   	302.76	ACR|ACR|2TLV|1VULN|1DMG|1AART	17TLV|2AART|35RCR|4FEWX|6BEXP|8DMG|9AME|aVULN
45	21111 26161	   	302.76	ACR|ACR|2TLV|1VULN|1DMG|1AART	1aTLV|2AART|35RCR|4FEWX|6BEXP|7DMG|8LWND|9VULN
46	21151 22661	   	302.76	ACR|ACR|2TLV|1VULN|1DMG|1AART	1aTLV|2AART|35RCR|4LHND|6BEXP|7FEWX|8DMG|9VULN
47	21151 33111	   	302.76	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|49LHND|7DMG|8RCVC|aVULN
48	21111 23322	   	302.66	ACR|ACR|2TLV|1VULN|1AEPOI|1AART	17TLV|2AART|35RCR|4FEWX|6BEXP|8AEPOI|9LEGI|aVULN
49	21111 33562	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8MDPS|9VULN|aLHND
50	21111 33563	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8MDPS|9VULN|aBEXP
51	21111 43561	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	1aTLV|2AART|35RCR|46FEWX|7DMG|8MDPS|9VULN
52	21151 33312	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4LHND|7DMG|8ERES|9BEXP|aVULN
53	21151 33452	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4LHND|7DMG|8LSRREG|9VULN|aAAC
54	21151 33562	   	302.66	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4aLHND|7DMG|8MDPS|9VULN
55	21151 61212	   	302.66	ACR|ACR|2TLV|1VULN|1AEBURN|1AART	1aTLV|2AART|35RCR|4LHND|6VULN|7LIT|8VENFST|9AEBURN
56	21111 14661	   	302.56	ACR|ACR|2TLV|1VULN|1DMG|1AART	1aTLV|2AART|35RCR|4FEWX|6MDPS|7AEWIND|8DMG|9VULN
57	21111 33564	   	302.56	ACR|ACR|2TLV|1VULN|1DMG|1AART	16TLV|2AART|35RCR|4FEWX|7DMG|8MDPS|9VULN|aDUST
