0	Index      	 *	Score 	Summary	Detail	
1	43121 53153	 * 	330.24	ACR|DCR|3VULN|1TLV|2CDMG	159VULN|29ZMB|3MULARM|46RCR|7AEFRZ|89CDMG|9BPWR|aTLV
2	36433 56224	 * 	322.77	ACR|4VULN|3TLV|1AEPOI|1CDMG	1MBVNT|2389VULN|4AEPOI|5RCR|689DUST|789TLV|89BPWR|aCDMG
3	43121 51233	   	320.53	ACR|DCR|3VULN|1TLV|1CDMG	15aVULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9CDMG
4	36433 61271	   	315.63	ACR|4VULN|2TLV|1DMG|1AEPOI	1MBVNT|2389VULN|4AEPOI|5RCR|68TLV|78BEXP|8BPWR|aDMG
5	43121 55232	   	314.54	ACR|DCR|2VULN|1TLV|2DUR|1CDMG	15VULN|2ZMB|3MULARM|46RCR|7aDUR|8TLV|9CDMG
6	43121 55211	   	311.81	ACR|DCR|2VULN|1TLV|1AEFBLL	15VULN|2ZMB|3MULARM|46RCR|7DUR|8TLV|9MBVNT|aAEFBLL
7	43121 14623	 * 	311.02	ACR|5VULN|2TLV	1568aVULN|2aZMB|3MULARM|4RCR|7FLTHEA|9aTLV|aBPWR
8	43121 14123	   	309.34	ACR|4VULN|2TLV|1AEPOI	156aVULN|2ZMB|3aMULARM|4RCR|7FLTHEA|8AEPOI|9aTLV|aBPWR
9	36433 56221	   	309.12	ACR|4VULN|3TLV|1AEPOI	1MBVNT|2389VULN|4AEPOI|5RCR|689DUST|789TLV|89BPWR|aBEXP
10	36433 56223	   	309.12	ACR|4VULN|3TLV|1AEPOI	1MBVNT|2389VULN|4AEPOI|5RCR|689DUST|789TLV|89BPWR|aLHND
11	36433 56222	   	309.02	ACR|4VULN|3TLV|1AEPOI	1MBVNT|2389VULN|4AEPOI|5RCR|689DUST|789TLV|89BPWR|aMSLFST
12	43121 51252	 * 	308.39	ACR|DCR|2TLV|2VULN	15VULN|2ZMB|3MULARM|46RCR|7FEWX|8aTLV|9RPLT
13	43121 52121	   	306.88	ACR|DCR|3VULN|1TLV	158VULN|2ZMB|3MULARM|46RCR|79AAC|aTLV
14	43121 51253	   	306.88	ACR|DCR|3VULN|1TLV	15aVULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9RPLT
15	43121 52131	   	306.78	ACR|DCR|3VULN|1TLV	158VULN|2ZMB|3MULARM|46RCR|7AAC|9AEWIND|aTLV
16	43121 51232	   	305.50	ACR|DCR|2VULN|1TLV|1CDMG	15VULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9CDMG|aDUR
17	43121 55233	   	305.50	ACR|DCR|2VULN|1TLV|1CDMG	15VULN|2ZMB|3MULARM|46RCR|7DUR|8TLV|9CDMG|aBEXP
18	43121 55231	   	305.40	ACR|DCR|2VULN|1TLV|1CDMG	15VULN|2ZMB|3MULARM|46RCR|7DUR|8TLV|9CDMG|aMBVNT
19	36433 61238	   	305.23	ACR|4VULN|2TLV|1AEPOI	1MBVNT|238aVULN|4AEPOI|5RCR|68TLV|78BEXP|8BPWR|9DUR
20	43121 13623	   	303.98	ACR|5VULN|2TLV	1568aVULN|2aZMB|3MULARM|4RCR|7MSLTOX|9aTLV|aBPWR
21	36433 61272	   	302.51	ACR|4VULN|2TLV|1AEPOI	1MBVNT|2389VULN|4AEPOI|5RCR|68TLV|78BEXP|8BPWR|aRAT
22	34456 54324	 * 	302.35	DCR|DCR|2VULN|1TLV|3DUR	1MBVNT|247DUR|3MDPS|58VULN|69RCR|8BPWR|aTLV
23	43121 13123	   	302.31	ACR|4VULN|2TLV|1AEPOI	156aVULN|2ZMB|3aMULARM|4RCR|7MSLTOX|8AEPOI|9aTLV|aBPWR
24	43121 51226	   	302.25	ACR|DCR|2VULN|1TLV|1AEFBLL	15VULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9TSLARM|aAEFBLL
25	43121 51241	   	302.25	ACR|DCR|2VULN|1TLV|1AEFBLL	15VULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9BEXP|aAEFBLL
26	43121 51211	   	302.15	ACR|DCR|2VULN|1TLV|1AEFBLL	15VULN|2ZMB|3MULARM|46RCR|7FEWX|8TLV|9MBVNT|aAEFBLL
