0	Index      	 *	Score 	Summary	Detail	
1	12236 41523	 * 	295.57	ACR|4VULN|2TLV|1DMG	1aTSLFST|2RCR|3AEFRZ|4aTLV|5DMG|6LWND|789aVULN|aBPWR
2	12236 11423	 * 	286.22	ACR|2TLV|2VULN|2DMG|2DUR	16aTSLFST|2RCR|3AEFRZ|4aTLV|56DMG|6aBPWR|79VULN|8aDUR
3	62236 11423	   	285.92	ACR|2TLV|2VULN|2DMG|2DUR	16aBASICY|2RCR|3AEFRZ|4aTLV|56DMG|6aBPWR|79VULN|8aDUR
4	11124 63522	 * 	285.62	DCR|3VULN|2TLV|1DMG|1AART	17TSLFST|278VULN|3AART|4DMG|5CGEN|67TLV|7BPWR|9LIT|aRCR
5	11124 16124	   	285.52	DCR|3VULN|2TLV|1DMG|1AART	18TSLFST|28aVULN|3AART|4DMG|5CGEN|6MDPS|78TLV|8BPWR|9RCR
6	11121 16124	   	285.42	DCR|3VULN|2TLV|1DMG|1AART	18TSLFST|28aVULN|3AART|4DMG|5ERES|6MDPS|78TLV|8BPWR|9RCR
7	61121 16124	   	285.22	DCR|3VULN|2TLV|1DMG|1AART	18BASICY|28aVULN|3AART|4DMG|5ERES|6MDPS|78TLV|8BPWR|9RCR
8	11563 44413	 * 	284.16	DCR|DCR|1TLV|1VULN|1DMG|2DUR	1TSLFST|2VULN|3TLV|4LHND|57DUR|6MBVNT|8aRCR|9DMG
9	11462 32428	 * 	283.44	DCR|2TLV|2VULN|1AEFBLL|1DMG|2RAT	1TSLFST|2aVULN|3LIT|4MBVNT|5AEFBLL|6aTLV|7RCR|8DMG|9aRAT|aBPWR
10	13633 23535	 * 	282.97	DCR|2TLV|2VULN|3DMG	1TSLFST|24aDMG|3MSLTOX|5LHND|6RCR|7aTLV|8SPLREG|9aVULN|aBPWR
11	13633 24115	   	282.97	DCR|2TLV|2VULN|3DMG	1TSLFST|24aDMG|3MSLTOX|5LHND|6RCR|7aVULN|8SPLARM|9aTLV|aBPWR
12	13632 23535	   	282.87	DCR|2TLV|2VULN|3DMG	1TSLFST|24aDMG|3MSLTOX|5DUST|6RCR|7aTLV|8SPLREG|9aVULN|aBPWR
13	13632 24115	   	282.87	DCR|2TLV|2VULN|3DMG	1TSLFST|24aDMG|3MSLTOX|5DUST|6RCR|7aVULN|8SPLARM|9aTLV|aBPWR
14	11214 33513	   	282.15	DCR|DCR|1TLV|1VULN|1DMG|1DUR	1TSLFST|2VULN|3LWND|4AAC|5ZMB|6DUR|7aRCR|8TLV|9DMG
15	61214 33513	   	282.05	DCR|DCR|1TLV|1VULN|1DMG|1DUR	1BASICY|2VULN|3LWND|4AAC|5ZMB|6DUR|7aRCR|8TLV|9DMG
16	11124 16126	 * 	280.89	DCR|2TLV|2VULN|1DMG|1AEPOI|1AART	18TSLFST|28VULN|3AART|4DMG|5CGEN|6MDPS|78TLV|8BPWR|9RCR|aAEPOI
17	11121 16126	   	280.79	DCR|2TLV|2VULN|1DMG|1AEPOI|1AART	18TSLFST|28VULN|3AART|4DMG|5ERES|6MDPS|78TLV|8BPWR|9RCR|aAEPOI
18	61121 16126	   	280.59	DCR|2TLV|2VULN|1DMG|1AEPOI|1AART	18BASICY|28VULN|3AART|4DMG|5ERES|6MDPS|78TLV|8BPWR|9RCR|aAEPOI
19	52631 13225	 * 	280.56	DCR|3VULN|2TLV|2ASPD|1NUKE	1DMSP|2NUKE|37TLV|467VULN|57BEXP|7BPWR|89ASPD|aRCR
20	12236 61523	   	280.27	ACR|4VULN|2TLV|1DMG|1MSE	1aTSLFST|2RCR|3AEFRZ|4aTLV|5DMG|6MSE|789aVULN|aBPWR
21	11332 33513	   	279.20	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1TSLFST|2VULN|3LHND|4FEWX|5ASPD|6TLV|7AAC|8aRCR|9DMG
22	61332 33513	   	279.10	DCR|DCR|1TLV|1VULN|1DMG|1ASPD	1BASICY|2VULN|3LHND|4FEWX|5ASPD|6TLV|7AAC|8aRCR|9DMG
23	12136 44323	 * 	276.03	ACR|2TLV|2VULN|2ASPD|1AEBURN	1aTSLFST|2RCR|34FEWX|5aTLV|6AEBURN|79VULN|8aASPD|aBPWR
24	12136 31523	   	275.60	ACR|4VULN|2TLV	1aTSLFST|2RCR|34FEWX|5aTLV|6RMIN|789aVULN|aBPWR
25	62136 31523	   	275.40	ACR|4VULN|2TLV	1aBASICY|2RCR|34FEWX|5aTLV|6RMIN|789aVULN|aBPWR
26	12236 41223	   	274.52	ACR|3VULN|2TLV|1DMG	1aTSLFST|2RCR|3AEFRZ|4aTLV|5DMG|68LWND|79aVULN|aBPWR
27	62236 41223	   	274.32	ACR|3VULN|2TLV|1DMG	1aBASICY|2RCR|3AEFRZ|4aTLV|5DMG|68LWND|79aVULN|aBPWR
28	12236 24631	   	274.28	ACR|2TLV|2VULN|1DMG|1ASPD|1AART	1TSLFST|2RCR|3AEFRZ|4aTLV|5DMG|6ASPD|79VULN|8AART
29	11214 23513	   	272.49	DCR|DCR|1TLV|1VULN|1DMG	1TSLFST|2VULN|3LWND|4AAC|5ZMB|6LHND|7aRCR|8TLV|9DMG
30	11314 23513	   	272.49	DCR|DCR|1TLV|1VULN|1DMG	1TSLFST|2VULN|3LHND|4AAC|5ZMB|6LWND|7aRCR|8TLV|9DMG
31	61214 23513	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1BASICY|2VULN|3LWND|4AAC|5ZMB|6LHND|7aRCR|8TLV|9DMG
32	61314 23513	   	272.39	DCR|DCR|1TLV|1VULN|1DMG	1BASICY|2VULN|3LHND|4AAC|5ZMB|6LWND|7aRCR|8TLV|9DMG
33	12623 52241	 * 	268.53	ACR|2TLV|2VULN|2AEPOI|2DUR	1TSLFST|2RCR|39DUR|4LHND|5CGEN|69TLV|7aVULN|89AEPOI|9BPWR
34	12633 52241	   	268.53	ACR|2TLV|2VULN|2AEPOI|2DUR	1TSLFST|2RCR|39DUR|4FEWX|5CGEN|69TLV|7aVULN|89AEPOI|9BPWR
35	52631 13215	   	268.10	DCR|3VULN|2TLV|1ASPD|1NUKE	1DMSP|2NUKE|37TLV|467VULN|57BEXP|7BPWR|8ASPD|9RCVC|aRCR
36	52631 13235	   	268.10	DCR|3VULN|2TLV|1ASPD|1NUKE	19DMSP|2NUKE|37TLV|467VULN|57BEXP|7BPWR|8ASPD|aRCR
37	12236 51225	   	267.57	ACR|2TLV|2VULN|1DMG|1AART	1TSLFST|2RCR|3AEFRZ|49TLV|5DMG|6AART|7aVULN|8RAT
38	22223 23535	 * 	267.56	DCR|DCR|2TLV|1AEBURN|1CDMG	1FEWX|2LHND|3LWND|45TLV|6ERES|7AEBURN|8CDMG|9aRCR
39	12236 11123	   	267.51	ACR|2TLV|2VULN|2DMG	16aTSLFST|2RCR|3AEFRZ|4aTLV|56DMG|6aBPWR|79VULN|8aBEXP
40	23223 23535	   	267.46	DCR|DCR|2TLV|1AEBURN|1CDMG	1FEWX|2LEGI|3LWND|45TLV|6ERES|7AEBURN|8CDMG|9aRCR
41	62236 11123	   	267.21	ACR|2TLV|2VULN|2DMG	16aBASICY|2RCR|3AEFRZ|4aTLV|56DMG|6aBPWR|79VULN|8aBEXP
42	12423 33535	   	267.21	ACR|2TLV|2VULN|2DMG	1TSLFST|2RCR|3aDMG|4RCVC|5SPLJET|6DUST|7aTLV|8SPLREG|9aVULN|aBPWR
43	12423 34115	   	267.21	ACR|2TLV|2VULN|2DMG	1TSLFST|2RCR|3aDMG|4RCVC|5SPLJET|6DUST|7aVULN|8SPLARM|9aTLV|aBPWR
44	13633 23443	 * 	265.88	DCR|DCR|1TLV|2DMG|1CDMG	1TSLFST|24DMG|3MSLTOX|5LHND|6aRCR|7TLV|8ZMB|9CDMG
