0	Index      	 *	Score 	Summary	Detail	
1	53231 25173	 * 	330.41	DCR|3VULN|2TLV|2DMG|1ASPD|1CDMG|1AART	139VULN|2MBVNT|4AART|5ASPD|69TLV|79DMG|8RCR|9BPWR|aCDMG
2	53112 14664	   	321.73	DCR|3VULN|2TLV|2DMG|1AEFBLL	16aVULN|2MBVNT|3DUR|4aTLV|5ERES|7AEFBLL|8RCR|9aDMG|aBPWR
3	53112 33664	   	321.73	DCR|3VULN|2TLV|2DMG|1AEBURN	17aVULN|2MBVNT|3DUR|4aTLV|5ERES|6AEBURN|8RCR|9aDMG|aBPWR
4	53231 25174	   	316.76	DCR|3VULN|2TLV|2DMG|1ASPD|1AART	139VULN|2MBVNT|4AART|5ASPD|69TLV|79DMG|8RCR|9BPWR|aAME
5	53231 25171	   	316.66	DCR|3VULN|2TLV|2DMG|1ASPD|1AART	139VULN|2MBVNT|4AART|5ASPD|69TLV|79DMG|8RCR|9BPWR|aDUST
6	53231 25172	   	316.66	DCR|3VULN|2TLV|2DMG|1ASPD|1AART	139VULN|2MBVNT|4AART|5ASPD|69TLV|79DMG|8RCR|9BPWR|aMDPS
7	53412 14664	   	312.07	DCR|3VULN|2TLV|2DMG|1AEFBLL	16aVULN|2MBVNT|3LWND|4aTLV|5ERES|7AEFBLL|8RCR|9aDMG|aBPWR
8	53412 33664	   	312.07	DCR|3VULN|2TLV|2DMG|1AEBURN	17aVULN|2MBVNT|3LWND|4aTLV|5ERES|6AEBURN|8RCR|9aDMG|aBPWR
9	53112 23664	   	310.71	DCR|3VULN|2TLV|2DMG|2DUR	17aVULN|2MBVNT|3aDUR|46TLV|5ERES|8RCR|9aDMG|aBPWR
10	53112 24664	 * 	310.69	DCR|3TLV|2VULN|2DMG|1AEFBLL	1aVULN|2MBVNT|3DUR|46aTLV|5ERES|7AEFBLL|8RCR|9aDMG|aBPWR
11	53112 14634	 * 	310.18	DCR|3VULN|2TLV|2ASPD|1AEFBLL	16aVULN|2MBVNT|3DUR|4aTLV|5ERES|7AEFBLL|8RCR|9aASPD|aBPWR
12	53112 33634	   	310.18	DCR|3VULN|2TLV|2ASPD|1AEBURN	17aVULN|2MBVNT|3DUR|4aTLV|5ERES|6AEBURN|8RCR|9aASPD|aBPWR
13	53112 13664	 * 	305.55	DCR|4VULN|1TLV|2DMG|2DUR	167aVULN|2MBVNT|3aDUR|4TLV|5ERES|8RCR|9aDMG|aBPWR
14	53231 22173	   	305.21	DCR|3VULN|2TLV|2ASPD|1CDMG|1AART	139VULN|2MBVNT|4AART|59ASPD|69TLV|7AAC|8RCR|9BPWR|aCDMG
15	53412 24664	   	301.03	DCR|3TLV|2VULN|2DMG|1AEFBLL	1aVULN|2MBVNT|3LWND|46aTLV|5ERES|7AEFBLL|8RCR|9aDMG|aBPWR
16	53412 14634	   	300.52	DCR|3VULN|2TLV|2ASPD|1AEFBLL	16aVULN|2MBVNT|3LWND|4aTLV|5ERES|7AEFBLL|8RCR|9aASPD|aBPWR
17	53412 33634	   	300.52	DCR|3VULN|2TLV|2ASPD|1AEBURN	17aVULN|2MBVNT|3LWND|4aTLV|5ERES|6AEBURN|8RCR|9aASPD|aBPWR
18	53512 14634	   	300.42	DCR|3VULN|2TLV|2ASPD|1AEFBLL	16aVULN|2MBVNT|3LEGI|4aTLV|5ERES|7AEFBLL|8RCR|9aASPD|aBPWR
19	53512 33634	   	300.42	DCR|3VULN|2TLV|2ASPD|1AEBURN	17aVULN|2MBVNT|3LEGI|4aTLV|5ERES|6AEBURN|8RCR|9aASPD|aBPWR
