0	Index      	 *	Score 	Summary	Detail	
1	31223 24242	 * 	281.55	DCR|DCR|2VULN|2DMG	1aLIT|2aVULN|35CGEN|47DMG|6aDUST|89RCR|aBPWR
2	11526 33251	 * 	281.29	DCR|DCR|2VULN|2CDMG|1MLV	14VULN|2TLV|3MLV|5MDPS|6aRCR|78CDMG|9LIT
3	31561 23242	 * 	276.94	DCR|DCR|2VULN|2MLV	1aLIT|23VULN|4aMLV|5AAC|67aDUST|89RCR|aBPWR
4	31561 23243	   	276.84	DCR|DCR|2VULN|2MLV	1LIT|23VULN|4aMLV|5AAC|67DUST|89RCR
5	31223 24243	   	272.78	DCR|DCR|2DMG|1VULN|1MLV	1LIT|2VULN|35CGEN|47DMG|6DUST|89RCR|aMLV
6	32612 62363	   	271.09	DCR|DCR|2VULN|1MLV|1AART	1LIT|2LHND|3MLV|46VULN|5AART|7RCVC|8aRCR|9CGEN
7	12112 61584	 * 	270.64	ACR|DCR|3VULN|1DMG|1ASPD	16aVULN|2NUKE|3BELT|48RCR|5ASPD|7MBVNT|9DMG
8	12112 61581	   	266.04	ACR|DCR|2VULN|1DMG|1MLV|1ASPD	16VULN|2NUKE|3BELT|48RCR|5ASPD|7MBVNT|9DMG|aMLV
9	31213 56242	 * 	265.69	DCR|DCR|3VULN|2ZMB	1aLIT|24aVULN|3CGEN|5RCVC|6DUST|7aZMB|89RCR|aBPWR
10	31113 56242	 * 	265.59	DCR|DCR|3VULN|2ZMB	1aLIT|24aVULN|3ERES|5RCVC|6DUST|7aZMB|89RCR|aBPWR
11	31312 26311	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1LIT|2VULN|3CDMG|4FEWX|5DUST|68MLV|7aRCR|9CGEN
12	31312 26321	   	264.39	DCR|DCR|2MLV|1VULN|1CDMG	1LIT|2VULN|3CDMG|4FEWX|5DUST|68MLV|7aRCR|9TLV
13	31223 23242	   	263.86	DCR|DCR|2VULN|1DMG	1aLIT|2aVULN|35CGEN|4DMG|67aDUST|89RCR|aBPWR
14	12112 61541	 * 	263.23	ACR|DCR|3VULN|2ASPD	16aVULN|2NUKE|3BELT|48RCR|5aASPD|7MBVNT|9aBEXP|aBPWR
15	12112 61531	   	263.03	ACR|DCR|3VULN|2ASPD	16aVULN|2NUKE|3BELT|48RCR|5aASPD|7MBVNT|9aDUST|aBPWR
16	31211 26243	   	261.33	DCR|DCR|2VULN|1MLV	1LIT|24VULN|3CGEN|57AAC|6DUST|89RCR|aMLV
17	31111 26243	   	261.23	DCR|DCR|2VULN|1MLV	1LIT|24VULN|3ERES|57AAC|6DUST|89RCR|aMLV
18	31211 23243	   	261.23	DCR|DCR|2VULN|1MLV	1LIT|24VULN|3CGEN|5AAC|67DUST|89RCR|aMLV
19	31111 23243	   	261.13	DCR|DCR|2VULN|1MLV	1LIT|24VULN|3ERES|5AAC|67DUST|89RCR|aMLV
