0	Index      	 *	Score 	Summary	Detail	
1	35113 41336	 * 	276.65	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG|1AART	1AME|29VULN|3DMG|4ASPD|5aRCR|6LHND|7CDMG|8AART
2	11154 13333	 * 	266.25	DCR|4VULN|2DMG|2DUR|1RPLT	1aDUR|2CGEN|3aDMG|4TBNT|578aVULN|6RPLT|9RCR|aBPWR
3	11614 13333	   	266.25	DCR|4VULN|2DMG|2DUR|1RPLT	1aDUR|2CGEN|3BBNT|4aDMG|578aVULN|6RPLT|9RCR|aBPWR
4	16121 11314	 * 	266.25	DCR|DCR|1VULN|1DMG|1MLV	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9MLV|aDMG
5	22515 11361	   	266.25	DCR|DCR|1VULN|1DMG|1MLV	1MDPS|2MLV|3LIT|4DUR|5CGEN|68RCR|7TSLFST|9VULN|aDMG
6	35113 41316	 * 	266.16	ACR|DCR|2DMG|1VULN|1ASPD|1CDMG|1AART	1AME|2VULN|39DMG|4ASPD|5aRCR|6LHND|7CDMG|8AART
7	13326 36223	 * 	263.38	DCR|DCR|2VULN|2DUR	12DUR|3ERES|4LHND|5RMIN|67RCR|8aVULN|9FEWX
8	13335 36233	   	263.38	DCR|DCR|2VULN|2DUR	12DUR|3ERES|4RMIN|5FEWX|67RCR|8aVULN|9CGEN
9	13335 36263	   	263.38	DCR|DCR|2VULN|2DUR	12DUR|3ERES|4RMIN|5FEWX|67RCR|8aVULN|9LHND
10	13326 36233	   	263.28	DCR|DCR|2VULN|2DUR	12DUR|3ERES|4LHND|5RMIN|67RCR|8aVULN|9DUST
11	16121 11363	   	263.28	DCR|DCR|2VULN|2DUR	1aDUR|2LIT|3BEXP|49VULN|5LEGI|68RCR|7TSLFST
12	35133 41336	   	262.90	ACR|DCR|2VULN|1DMG|1CDMG|1AART	1AME|29VULN|3DMG|4NUKE|5aRCR|6LHND|7CDMG|8AART
13	16121 11331	   	262.37	DCR|DCR|1VULN|1DMG|1ASPD	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9ASPD|aDMG
14	13326 36342	 * 	260.38	DCR|DCR|1VULN|3DUR|1DMG	129DUR|3ERES|4LHND|5RMIN|67RCR|8DMG|aVULN
15	16121 11311	   	259.84	DCR|DCR|1VULN|1MLV|1ASPD	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9MLV|aASPD
16	32514 13333	   	259.51	DCR|4VULN|2DMG|1RPLT	1aAME|2TBNT|3DUR|4aDMG|578aVULN|6RPLT|9RCR|aBPWR
17	13313 76643	   	258.52	DCR|DCR|1VULN|2DUR|1CDMG|1RPLT	12DUR|3ERES|4RPLT|5MBVNT|6CDMG|7CGEN|8VULN|9aRCR
18	22325 11361	   	257.85	DCR|DCR|1VULN|1DMG|1MLV	1MDPS|2MLV|3DUST|4RMIN|5LIT|68RCR|7MGNSTR|9VULN|aDMG
19	16121 11361	   	256.73	DCR|DCR|2VULN	1DUR|2LIT|3BEXP|49VULN|5LEGI|68RCR|7TSLFST|aAAC
20	16121 11362	   	256.73	DCR|DCR|2VULN	1DUR|2LIT|3BEXP|49VULN|5LEGI|68RCR|7TSLFST|aFEWX
21	16121 11366	   	256.73	DCR|DCR|2VULN	1DUR|2LIT|3BEXP|49VULN|5LEGI|68RCR|7TSLFST|aRMIN
22	16121 11343	   	255.96	DCR|DCR|1VULN|1ASPD|1CDMG	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9CDMG|aASPD
23	22515 11363	   	255.85	DCR|DCR|1VULN|1MLV|1AART	1MDPS|2MLV|3LIT|4DUR|5CGEN|68RCR|7TSLFST|9VULN|aAART
24	13326 36216	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4LHND|5RMIN|67RCR|8VULN|9TBNT|aDMG
25	13326 36325	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4LHND|5RMIN|67RCR|8DMG|9CGEN|aVULN
26	13326 36335	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4LHND|5RMIN|67RCR|8DMG|9AAC|aVULN
27	13335 36216	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4RMIN|5FEWX|67RCR|8VULN|9TBNT|aDMG
28	13335 36325	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4RMIN|5FEWX|67RCR|8DMG|9CGEN|aVULN
29	13335 36335	   	255.37	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3ERES|4RMIN|5FEWX|67RCR|8DMG|9AAC|aVULN
30	13511 11361	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3MDPS|4LIT|5LHND|68RCR|7BLASTR|9VULN|aDMG
31	13525 11361	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3MDPS|4FEWX|5LIT|68RCR|7BLASTR|9VULN|aDMG
32	21315 11361	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1MDPS|24DUR|3BEXP|5LIT|68RCR|7BLASTR|9VULN|aDMG
33	21411 11361	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1MDPS|23DUR|4LIT|5LHND|68RCR|7BLASTR|9VULN|aDMG
34	21425 11361	   	255.27	DCR|DCR|1VULN|1DMG|2DUR	1MDPS|23DUR|4FEWX|5LIT|68RCR|7BLASTR|9VULN|aDMG
35	13535 11361	   	255.17	DCR|DCR|1VULN|1DMG|2DUR	12DUR|3MDPS|4DUST|5LIT|68RCR|7BLASTR|9VULN|aDMG
36	21435 11361	   	255.17	DCR|DCR|1VULN|1DMG|2DUR	1MDPS|23DUR|4DUST|5LIT|68RCR|7BLASTR|9VULN|aDMG
37	13326 36261	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	12DUR|3ERES|49LHND|5RMIN|67RCR|8VULN|aMLV
38	13335 36221	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	12DUR|3ERES|4RMIN|59FEWX|67RCR|8VULN|aMLV
39	35133 41316	   	252.41	ACR|DCR|2DMG|1VULN|1CDMG|1AART	1AME|2VULN|39DMG|4NUKE|5aRCR|6LHND|7CDMG|8AART
40	33264 22236	   	251.63	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2BELT|3LIT|4VULN|5BBNT|6aRCR|7CDMG|8MLV|9LWND
41	21532 36216	   	249.99	DCR|3VULN|2DMG|2DUR|1ASPD	1MDPS|28DUR|3ASPD|478VULN|58DMG|6AAC|8BPWR|9BEXP|aRCR
42	21532 36236	   	249.99	DCR|3VULN|2DMG|2DUR|1ASPD	1MDPS|28DUR|3ASPD|478VULN|58DMG|6AAC|8BPWR|9LWND|aRCR
43	16121 11334	   	249.25	DCR|DCR|1VULN|1ASPD	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9ASPD|aNUKE
44	13326 36221	   	248.96	DCR|DCR|1VULN|2DUR|1ASPD	12DUR|3ERES|4LHND|5RMIN|67RCR|8VULN|9FEWX|aASPD
45	13335 36261	   	248.96	DCR|DCR|1VULN|2DUR|1ASPD	12DUR|3ERES|4RMIN|5FEWX|67RCR|8VULN|9LHND|aASPD
46	13356 36221	   	248.96	DCR|DCR|1VULN|2DUR|1ASPD	12DUR|3ERES|4BEXP|5RMIN|67RCR|8VULN|9FEWX|aASPD
47	13326 36231	   	248.86	DCR|DCR|1VULN|2DUR|1ASPD	12DUR|3ERES|4LHND|5RMIN|67RCR|8VULN|9DUST|aASPD
48	13356 36231	   	248.86	DCR|DCR|1VULN|2DUR|1ASPD	12DUR|3ERES|4BEXP|5RMIN|67RCR|8VULN|9DUST|aASPD
49	15225 11361	   	248.82	DCR|DCR|1VULN|1DMG	1DUR|2LWND|3BEXP|4FEWX|5LIT|68RCR|7BLASTR|9VULN|aDMG
50	16131 11361	   	248.82	DCR|DCR|1VULN|1DMG	1DUR|2LIT|3BEXP|4FEWX|5LHND|68RCR|7BLASTR|9VULN|aDMG
51	53225 11361	   	248.82	DCR|DCR|1VULN|1DMG	1LWND|2DUR|3BEXP|4FEWX|5LIT|68RCR|7BLASTR|9VULN|aDMG
52	15211 11361	   	248.72	DCR|DCR|1VULN|1DMG	1DUR|2LWND|3BEXP|4LIT|5LEGI|68RCR|7BLASTR|9VULN|aDMG
53	15235 11361	   	248.72	DCR|DCR|1VULN|1DMG	1DUR|2LWND|3BEXP|4DUST|5LIT|68RCR|7BLASTR|9VULN|aDMG
54	16121 11321	   	248.72	DCR|DCR|1VULN|1DMG	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9LHND|aDMG
55	21365 11361	   	248.72	DCR|DCR|1VULN|1DMG	1MDPS|2DUR|3BEXP|4RCVC|5LIT|68RCR|7BLASTR|9VULN|aDMG
56	53211 11361	   	248.72	DCR|DCR|1VULN|1DMG	1LWND|2DUR|3BEXP|4LIT|5LEGI|68RCR|7BLASTR|9VULN|aDMG
57	53235 11361	   	248.72	DCR|DCR|1VULN|1DMG	1LWND|2DUR|3BEXP|4DUST|5LIT|68RCR|7BLASTR|9VULN|aDMG
58	16121 11354	   	248.62	DCR|DCR|1VULN|1DMG	1DUR|2LIT|3BEXP|4VULN|5LEGI|68RCR|7TSLFST|9ERES|aDMG
59	62322 36213	   	248.53	DCR|DCR|2VULN	1RMIN|2CGEN|3ERES|4LHND|5TLV|67RCR|8aVULN|9TBNT
60	62322 36223	   	248.53	DCR|DCR|2VULN	1RMIN|2CGEN|3ERES|4LHND|5TLV|67RCR|8aVULN|9FEWX
61	62322 36233	   	248.43	DCR|DCR|2VULN	1RMIN|2CGEN|3ERES|4LHND|5TLV|67RCR|8aVULN|9DUST
62	11438 34823	 * 	247.71	DCR|DCR|2CDMG|1MLV|2DUR|1RPLT	17DUR|2CGEN|37LWND|4MBVNT|57CDMG|6RPLT|7BPWR|8aRCR|9MLV
63	13335 36343	   	247.61	DCR|DCR|1DMG|1MLV|2DUR|1AART	12DUR|3ERES|4RMIN|5FEWX|67RCR|8DMG|9AART|aMLV
64	41312 45435	   	247.55	DCR|DCR|1VULN|1ASPD|1CDMG	1SNITOX|2ASPD|3CDMG|4LWND|5MBVNT|6DUST|7aRCR|8BEXP|9VULN
65	51154 13333	 * 	246.90	DCR|3VULN|3DMG|1RPLT	1aLWND|2CGEN|38aDMG|4TBNT|57aVULN|6RPLT|9RCR|aBPWR
66	51614 13333	   	246.90	DCR|3VULN|3DMG|1RPLT	1aLWND|2CGEN|3BBNT|48aDMG|57aVULN|6RPLT|9RCR|aBPWR
67	32214 13333	   	246.70	DCR|3VULN|3DMG|1RPLT	1aAME|2TBNT|3LHND|48aDMG|57aVULN|6RPLT|9RCR|aBPWR
68	32414 13333	   	246.70	DCR|3VULN|3DMG|1RPLT	1aAME|2TBNT|3LWND|48aDMG|57aVULN|6RPLT|9RCR|aBPWR
69	34154 13333	   	246.70	DCR|3VULN|3DMG|1RPLT	1aAME|2LHND|38aDMG|4TBNT|57aVULN|6RPLT|9RCR|aBPWR
70	34614 13333	   	246.70	DCR|3VULN|3DMG|1RPLT	1aAME|2LHND|3BBNT|48aDMG|57aVULN|6RPLT|9RCR|aBPWR
