0	Index      	 *	Score 	Summary	Detail	
1	26131 11352	 * 	292.65	DCR|2VULN|3MLV|3ASPD|2DMG|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89aMLV
2	61521 13216	 * 	286.12	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2LWND|35VULN|4LSRHEA|6aRCR|7MLV|8TBNT|9LIT
3	63521 13216	   	286.12	DCR|DCR|2VULN|1DMG|1MLV	1DMG|2BEXP|35VULN|4LSRHEA|6aRCR|7MLV|8TBNT|9LIT
4	62132 11353	 * 	279.95	DCR|3VULN|3DMG|2MLV|1RPLT	149DMG|2RPLT|3RCVC|5ERES|6RCR|79aVULN|89MLV|9BPWR
5	26131 11353	   	278.58	DCR|2VULN|3ASPD|2DMG|2MLV|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89MLV|aLWND
6	26131 11354	   	278.58	DCR|2VULN|3ASPD|2DMG|2MLV|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89MLV|aTBNT
7	26131 11355	   	278.58	DCR|2VULN|3ASPD|2DMG|2MLV|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89MLV|aFEWX
8	26131 11356	   	278.58	DCR|2VULN|3ASPD|2DMG|2MLV|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89MLV|aBEXP
9	26131 11351	   	278.48	DCR|2VULN|3ASPD|2DMG|2MLV|1RPLT	1RPLT|259ASPD|3RCVC|45DMG|59BPWR|6RCR|79VULN|89MLV|aERES
10	23525 21511	   	276.16	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUR|6MDPS|79RCR|8TBNT|aLIT
11	23525 21512	   	276.16	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUR|6MDPS|79RCR|8TBNT|aRMIN
12	23525 21513	   	276.16	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUR|6MDPS|79RCR|8TBNT|aAAC
13	23525 11133	   	275.91	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|25VULN|3AART|4DUR|6LIT|7ZMB|8aRCR|9SPLREG
14	61522 13216	 * 	275.63	DCR|DCR|2DMG|1VULN|1MLV	15DMG|2LWND|3VULN|4LSRHEA|6aRCR|7MLV|8TBNT|9LIT
15	63522 13216	   	275.63	DCR|DCR|2DMG|1VULN|1MLV	15DMG|2BEXP|3VULN|4LSRHEA|6aRCR|7MLV|8TBNT|9LIT
16	13261 43216	 * 	273.13	ACR|DCR|2VULN|2MLV|1DMG	1TBNT|27MLV|3BEXP|4aRCR|57FRZARM|67VULN|7BPWR|8DMG|9LIT
17	51216 62221	   	272.13	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1DUR|2CGEN|3LIT|4AART|5VULN|6DMG|7ERES|8aRCR|9CDMG
18	62131 11352	 * 	270.65	DCR|2VULN|3DMG|3MLV|1RPLT	149DMG|2RPLT|3RCVC|5RMIN|6RCR|79VULN|89aMLV|9BPWR
19	62134 11352	   	270.65	DCR|2VULN|3DMG|3MLV|1RPLT	149DMG|2RPLT|3RCVC|5AAC|6RCR|79VULN|89aMLV|9BPWR
20	33622 11541	 * 	270.43	DCR|3VULN|3MLV|1DMG|1AART|1RPLT	1LWND|247VULN|349MLV|4BPWR|5AART|6DMG|8RPLT|aRCR
21	33622 42321	   	270.43	DCR|3VULN|3MLV|1DMG|1AART|1RPLT	1LWND|248VULN|346MLV|4BPWR|5AART|7RPLT|9DMG|aRCR
22	61521 12216	   	268.49	DCR|DCR|2VULN|1DMG	1DMG|2LWND|35VULN|4LSRHEA|6aRCR|7ERES|8TBNT|9LIT
23	63521 12216	   	268.49	DCR|DCR|2VULN|1DMG	1DMG|2BEXP|35VULN|4LSRHEA|6aRCR|7ERES|8TBNT|9LIT
24	14314 61135	   	268.49	DCR|DCR|2VULN|1DMG	1TBNT|2BBNT|3SNITOX|4MBVNT|56VULN|7DMG|8AAC|9aRCR
25	23515 21511	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4LHND|6MDPS|79RCR|8TBNT|aLIT
26	23515 21512	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4LHND|6MDPS|79RCR|8TBNT|aRMIN
27	23515 21513	   	267.85	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4LHND|6MDPS|79RCR|8TBNT|aAAC
28	23535 21511	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUST|6MDPS|79RCR|8TBNT|aLIT
29	23535 21512	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUST|6MDPS|79RCR|8TBNT|aRMIN
30	23535 21513	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|25VULN|3AART|4DUST|6MDPS|79RCR|8TBNT|aAAC
31	23551 21511	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|24VULN|3AART|5LEGI|6MDPS|79RCR|8TBNT|aLIT
32	23551 21512	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|24VULN|3AART|5LEGI|6MDPS|79RCR|8TBNT|aRMIN
33	23551 21513	   	267.75	DCR|DCR|2VULN|1AART|1RPLT	1RPLT|24VULN|3AART|5LEGI|6MDPS|79RCR|8TBNT|aAAC
34	22555 11133	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|2LWND|3AART|45VULN|6LIT|7ZMB|8aRCR|9SPLREG
35	23515 11133	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|25VULN|3AART|4LHND|6LIT|7ZMB|8aRCR|9SPLREG
36	23554 11133	   	267.60	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|24VULN|3AART|5BEXP|6LIT|7ZMB|8aRCR|9SPLREG
37	23535 11133	   	267.50	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|25VULN|3AART|4DUST|6LIT|7ZMB|8aRCR|9SPLREG
38	23551 11133	   	267.50	DCR|DCR|2VULN|1AART|1RPLT|1ZMB	1RPLT|24VULN|3AART|5LEGI|6LIT|7ZMB|8aRCR|9SPLREG
39	23434 43212	   	266.88	ACR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2aVULN|39RCR|4DMG|5MLV|6AAC|7MBVNT|8BEXP
40	33622 14153	 * 	266.77	DCR|3VULN|2MLV|3DUR|1DMG|1AART	18LWND|248VULN|34MLV|48BPWR|5AART|6DMG|78aDUR|9RCR
41	62111 11334	   	263.20	DCR|2VULN|3MLV|2DMG|1RPLT	15DMG|2RPLT|3RCVC|458MLV|5BPWR|6RCR|79VULN|aDUR
