0	Index      	 *	Score 	Summary	Detail	
1	31123 41343	 * 	269.27	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1DUR|2ASPD|3BLASTR|4BELT|5BBNT|6VULN|7RPLT|8aRCR|9DMG
2	42331 52212	 * 	263.76	DCR|DCR|2VULN|2CDMG	1FEWX|2BBNT|39VULN|45CDMG|6aRCR|7MDPS|8TLV
3	62331 52212	   	263.76	DCR|DCR|2VULN|2CDMG	1LWND|2BBNT|39VULN|45CDMG|6aRCR|7MDPS|8TLV
4	42331 52412	   	263.66	DCR|DCR|2VULN|2CDMG	1FEWX|2BBNT|39VULN|45CDMG|6aRCR|7MDPS|8AME
5	62331 52412	   	263.66	DCR|DCR|2VULN|2CDMG	1LWND|2BBNT|39VULN|45CDMG|6aRCR|7MDPS|8AME
6	32211 41232	   	259.64	DCR|DCR|1VULN|1MLV|2DUR|1RPLT	13DUR|2BBNT|4VULN|5LEGI|6LHND|7aRCR|8RPLT|9MLV
7	62335 52212	   	257.45	DCR|DCR|2VULN|1CDMG	1LWND|2BBNT|39VULN|4CDMG|5DMSP|6aRCR|7MDPS|8TLV
8	16315 52212	   	257.35	DCR|DCR|2VULN|1CDMG	1AME|2CDMG|39VULN|4TBNT|5CGEN|6aRCR|7MDPS|8TLV
9	16335 52212	   	257.35	DCR|DCR|2VULN|1CDMG	1AME|2CDMG|39VULN|4BBNT|5CGEN|6aRCR|7MDPS|8TLV
10	42364 11322	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2BBNT|3VULN|4TLV|5DUR|6CGEN|7aRCR|8CDMG|9MLV
11	62245 11322	   	257.18	DCR|DCR|1VULN|1MLV|1CDMG	1LWND|2BBNT|3DUR|4VULN|5RMIN|6CGEN|7aRCR|8CDMG|9MLV
12	14625 11322	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2TBNT|3LWND|4DUR|5VULN|6CGEN|7aRCR|8CDMG|9MLV
13	42354 11322	   	257.08	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2BBNT|3VULN|4ERES|5DUR|6CGEN|7aRCR|8CDMG|9MLV
14	14525 11322	   	256.98	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2TBNT|3LEGI|4DUR|5VULN|6CGEN|7aRCR|8CDMG|9MLV
15	33123 41343	   	255.38	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1DUR|2ZMB|3BLASTR|4BELT|5BBNT|6VULN|7RPLT|8aRCR|9DMG
16	42331 55222	   	255.19	DCR|DCR|1VULN|2CDMG|1MLV	1FEWX|2BBNT|3VULN|45CDMG|6aRCR|7BEXP|8LHND|9MLV
17	42331 55322	   	255.19	DCR|DCR|1VULN|2CDMG|1MLV	1FEWX|2BBNT|3VULN|45CDMG|6aRCR|7BEXP|8LWND|9MLV
18	62331 55222	   	255.19	DCR|DCR|1VULN|2CDMG|1MLV	1LWND|2BBNT|3VULN|45CDMG|6aRCR|7BEXP|8LHND|9MLV
19	62331 55322	   	255.09	DCR|DCR|1VULN|2CDMG|1MLV	1LWND|2BBNT|3VULN|45CDMG|6aRCR|7BEXP|8LEGI|9MLV
20	42341 41232	   	253.46	DCR|DCR|2VULN|1RPLT	1FEWX|2BBNT|34VULN|5LEGI|6LHND|7aRCR|8RPLT|9CGEN
21	42341 41332	   	253.46	DCR|DCR|2VULN|1RPLT	1FEWX|2BBNT|34VULN|5LEGI|6LHND|7aRCR|8RMIN|9RPLT
22	62242 61232	   	253.09	DCR|DCR|1VULN|1MLV|1RPLT	1LWND|2BBNT|3DUR|4VULN|5LHND|6AELOIC|7aRCR|8RPLT|9MLV
23	34314 31322	 * 	251.11	DCR|DCR|1VULN|3DUR|1CDMG	145DUR|26FEWX|3VULN|7aRCR|8CDMG|9AME
24	34314 61322	   	251.01	DCR|DCR|1VULN|3DUR|1CDMG	145DUR|2FEWX|3VULN|6AELOIC|7aRCR|8CDMG|9AME
25	31116 22411	 * 	250.52	DCR|4VULN|3DUR|1DMG|1ASPD	156DUR|2ASPD|3BLASTR|4569VULN|56BPWR|7AAC|8DMG|aRCR
26	42366 11322	   	248.88	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2BBNT|3VULN|4TLV|5LWND|6CGEN|7aRCR|8CDMG|9MLV
27	62362 11322	   	248.88	DCR|DCR|1VULN|1MLV|1CDMG	1LWND|2BBNT|3VULN|4TLV|5BEXP|6CGEN|7aRCR|8CDMG|9MLV
28	26311 52122	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7LWND|8BEXP|9MLV
29	26311 55222	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7BEXP|8LHND|9MLV
30	26331 52122	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7LWND|8BEXP|9MLV
31	26331 55222	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7BEXP|8LHND|9MLV
32	42356 11322	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1FEWX|2BBNT|3VULN|4ERES|5LWND|6CGEN|7aRCR|8CDMG|9MLV
33	62352 11322	   	248.78	DCR|DCR|1VULN|1MLV|1CDMG	1LWND|2BBNT|3VULN|4ERES|5BEXP|6CGEN|7aRCR|8CDMG|9MLV
34	16311 52122	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7LWND|8BEXP|9MLV
35	16311 55222	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7BEXP|8LHND|9MLV
36	16331 52122	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7LWND|8BEXP|9MLV
37	16331 55222	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1AME|2CDMG|3VULN|4BBNT|5ERES|6aRCR|7BEXP|8LHND|9MLV
38	26311 55322	   	248.68	DCR|DCR|1VULN|1MLV|1CDMG	1CGEN|2CDMG|3VULN|4TBNT|5ERES|6aRCR|7BEXP|8LEGI|9MLV
