0	Index      	 *	Score 	Summary	Detail	
1	31343 63112	 * 	298.42	DCR|DCR|3VULN|1MLV|2DUR	1LWND|235VULN|45DUR|5BPWR|6CGEN|7MLV|8MDPS|9aRCR
2	31346 24212	   	291.67	DCR|DCR|3VULN|1MLV	1LWND|238VULN|4DUR|5MDPS|6ERES|7MLV|9aRCR
3	12162 42125	 * 	286.12	ACR|DCR|4VULN|2CDMG	1BBNT|2RPLT|39CDMG|49FRZICY|56RCR|789aVULN|9BPWR
4	21344 13411	   	284.74	DCR|DCR|2VULN|1MLV|1CDMG	1BEXP|23VULN|4AART|5MLV|6LHND|7CDMG|8FEWX|9aRCR
5	21344 13511	   	284.74	DCR|DCR|2VULN|1MLV|1CDMG	1BEXP|23VULN|4AART|5MLV|6LHND|7CDMG|8LWND|9aRCR
6	33662 12511	   	284.74	DCR|DCR|2VULN|1MLV|1CDMG	1LWND|2AART|3CDMG|48VULN|5MLV|6LHND|7FEWX|9aRCR
7	33662 11511	   	284.64	DCR|DCR|2VULN|1MLV|1CDMG	1LWND|2AART|3CDMG|48VULN|5MLV|6LHND|7DUST|9aRCR
8	21324 13838	   	284.40	DCR|DCR|2VULN|1MLV|1ASPD|1SELL	1BEXP|23VULN|4MLV|5RPLT|6MBVNT|7aRCR|8SELL|9ASPD
9	11425 13212	   	283.57	DCR|DCR|3VULN|1MLV	1BBNT|2CGEN|368VULN|4RCVC|5MLV|7FEWX|9aRCR
10	11425 14212	   	283.57	DCR|DCR|3VULN|1MLV	1BBNT|2CGEN|368VULN|4RCVC|5MLV|7LWND|9aRCR
11	11425 16212	   	283.57	DCR|DCR|3VULN|1MLV	1BBNT|2CGEN|368VULN|4RCVC|5MLV|7BEXP|9aRCR
12	11445 13212	   	283.57	DCR|DCR|3VULN|1MLV	1BBNT|24CGEN|368VULN|5MLV|7FEWX|9aRCR
13	31321 14312	   	283.57	DCR|DCR|3VULN|1MLV	15LWND|237VULN|4MLV|6CGEN|8aRCR|9BBNT
14	31321 14332	   	283.57	DCR|DCR|3VULN|1MLV	15LWND|237VULN|4MLV|6CGEN|8aRCR|9FEWX
15	21351 15312	   	283.47	DCR|DCR|3VULN|1MLV	1BEXP|234VULN|5MDPS|6LHND|7MLV|8CGEN|9aRCR
16	21333 33112	   	283.37	DCR|DCR|3VULN|1MLV	15BEXP|235VULN|4LEGI|5BPWR|6ERES|7MLV|8MDPS|9aRCR
17	21336 15312	   	283.37	DCR|DCR|3VULN|1MLV	1BEXP|236VULN|4LEGI|5MDPS|7MLV|8CGEN|9aRCR
18	21353 33112	   	283.37	DCR|DCR|3VULN|1MLV	1BEXP|234VULN|5FEWX|6ERES|7MLV|8MDPS|9aRCR
19	41351 15312	   	283.37	DCR|DCR|3VULN|1MLV	1DUST|234VULN|5MDPS|6LHND|7MLV|8CGEN|9aRCR
20	41351 35312	   	283.37	DCR|DCR|3VULN|1MLV	1DUST|234VULN|5MDPS|6BEXP|7MLV|8CGEN|9aRCR
21	21336 24212	   	283.27	DCR|DCR|3VULN|1MLV	1BEXP|238VULN|4LEGI|5MDPS|6ERES|7MLV|9aRCR
22	41336 15312	   	283.27	DCR|DCR|3VULN|1MLV	1DUST|236VULN|4LEGI|5MDPS|7MLV|8CGEN|9aRCR
23	41353 63112	   	283.27	DCR|DCR|3VULN|1MLV	1DUST|234VULN|5FEWX|6ERES|7MLV|8MDPS|9aRCR
24	41333 63112	   	283.17	DCR|DCR|3VULN|1MLV	15DUST|235VULN|4LEGI|5BPWR|6ERES|7MLV|8MDPS|9aRCR
25	31343 64112	   	280.79	DCR|DCR|3VULN|2DUR	1LWND|235VULN|45DUR|5BPWR|6CGEN|7ERES|8MDPS|9aRCR
26	33533 41431	 * 	278.60	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1LWND|2AART|3RCVC|4MLV|5ASPD|6DMG|7aRCR|8VULN|9FEWX
27	22266 13212	 * 	277.14	DCR|DCR|2VULN|2MLV	17BEXP|27CGEN|38VULN|4FEWX|5MDPS|67MLV|7BPWR|9aRCR
28	22426 13212	   	277.14	DCR|DCR|2VULN|2MLV	17BEXP|27CGEN|3FEWX|48VULN|5MDPS|67MLV|7BPWR|9aRCR
29	32426 13212	   	277.14	DCR|DCR|2VULN|2MLV	17LWND|27CGEN|3FEWX|48VULN|5MDPS|67MLV|7BPWR|9aRCR
30	11425 13312	   	277.04	DCR|DCR|2VULN|2MLV	1BBNT|2CGEN|36VULN|4RCVC|58MLV|7FEWX|9aRCR
31	11425 14312	   	277.04	DCR|DCR|2VULN|2MLV	1BBNT|2CGEN|36VULN|4RCVC|58MLV|7LWND|9aRCR
32	11425 16312	   	277.04	DCR|DCR|2VULN|2MLV	1BBNT|2CGEN|36VULN|4RCVC|58MLV|7BEXP|9aRCR
33	11445 13312	   	277.04	DCR|DCR|2VULN|2MLV	1BBNT|24CGEN|36VULN|58MLV|7FEWX|9aRCR
34	31543 63112	   	276.28	DCR|DCR|2VULN|1MLV|2DUR	13LWND|25VULN|45DUR|5BPWR|6CGEN|7MLV|8MDPS|9aRCR
35	32223 53112	   	276.18	DCR|DCR|2VULN|1MLV|2DUR	1LWND|2CGEN|34VULN|56DUR|7MLV|8MDPS|9aRCR
36	31313 53112	   	276.08	DCR|DCR|2VULN|1MLV|2DUR	1LWND|23VULN|4ERES|56DUR|7MLV|8MDPS|9aRCR
37	31323 54112	   	276.08	DCR|DCR|2VULN|1MLV|2DUR	1LWND|23VULN|4MLV|56DUR|7ERES|8MDPS|9aRCR
38	22123 33511	   	275.51	DCR|DCR|2VULN|1CDMG	1BEXP|2CGEN|3LHND|48VULN|5AART|6DUR|7CDMG|9aRCR
39	42123 33511	   	275.41	DCR|DCR|2VULN|1CDMG	1DUST|2CGEN|3LHND|48VULN|5AART|6DUR|7CDMG|9aRCR
40	31346 16312	   	274.24	DCR|DCR|3VULN	1LWND|236VULN|4DUR|5MDPS|7RMIN|8CGEN|9aRCR
41	21351 22312	   	274.14	DCR|DCR|3VULN	1BEXP|234VULN|5MDPS|6ERES|7DUR|8CGEN|9aRCR
42	21351 22512	   	274.14	DCR|DCR|3VULN	1BEXP|234VULN|5MDPS|6ERES|7DUR|8RMIN|9aRCR
43	21226 16512	   	274.04	DCR|DCR|3VULN	1BEXP|267VULN|3AME|4ERES|5MDPS|8DUR|9aRCR
44	21352 64112	   	274.04	DCR|DCR|3VULN	1BEXP|234VULN|5AME|6DUR|7ERES|8MDPS|9aRCR
45	41351 22312	   	274.04	DCR|DCR|3VULN	1DUST|234VULN|5MDPS|6ERES|7DUR|8CGEN|9aRCR
46	41351 22512	   	274.04	DCR|DCR|3VULN	1DUST|234VULN|5MDPS|6ERES|7DUR|8RMIN|9aRCR
47	53262 15311	 * 	273.16	DCR|DCR|1VULN|2CDMG|1MLV	13CDMG|2AART|4LHND|5MLV|6DUR|7FEWX|8VULN|9aRCR
48	54223 11431	   	271.94	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG|1SELL	1CDMG|2SELL|3BEXP|4AART|5ASPD|6MLV|7aRCR|8VULN|9FEWX
49	21324 53214	   	270.99	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4MLV|5RPLT|6TBNT|7aRCR|8AELOIC|9LIT
50	31324 53214	   	270.99	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4MLV|5RPLT|6TBNT|7aRCR|8AELOIC|9LIT
51	53262 11511	 * 	270.74	DCR|DCR|3MLV|2CDMG	13CDMG|2AART|4LHND|578MLV|6DUR|9aRCR
52	21324 13518	   	270.65	DCR|DCR|2VULN|1MLV|1SELL	1BEXP|23VULN|4MLV|5RPLT|6MBVNT|7aRCR|8NUKE|9SELL
53	23623 43511	   	270.65	DCR|DCR|2VULN|1MLV|1SELL	1BEXP|2AART|3MLV|4DUST|5LEGI|6SELL|78VULN|9aRCR
54	21324 18218	   	270.50	DCR|DCR|2VULN|1MLV|1SELL|1ZMB	1BEXP|23VULN|4MLV|5RPLT|6MBVNT|7ZMB|8aRCR|9SELL
55	21321 51312	   	269.73	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4MLV|5LWND|6DUR|7FEWX|8CGEN|9aRCR
56	21323 51312	   	269.73	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4MLV|5LHND|6DUR|7FEWX|8CGEN|9aRCR
57	31322 51312	   	269.73	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4MLV|5BEXP|6DUR|7FEWX|8CGEN|9aRCR
58	31323 41312	   	269.73	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4MLV|5DUR|6BEXP|7FEWX|8CGEN|9aRCR
59	31345 41312	   	269.73	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4DUR|5MLV|6BEXP|7FEWX|8CGEN|9aRCR
60	21334 65312	   	269.63	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4LEGI|5FEWX|6DUR|7MLV|8CGEN|9aRCR
61	21335 51312	   	269.63	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4LEGI|5MLV|6DUR|7FEWX|8CGEN|9aRCR
62	22226 63112	   	269.63	DCR|DCR|2VULN|1MLV	15BEXP|2CGEN|34VULN|6DUR|7MLV|8MDPS|9aRCR
63	31321 13112	   	269.63	DCR|DCR|2VULN|1MLV	15LWND|23VULN|4MLV|6CGEN|7DUR|8MDPS|9aRCR
64	32223 23112	   	269.63	DCR|DCR|2VULN|1MLV	1LWND|2CGEN|34VULN|5DUR|6RCVC|7MLV|8MDPS|9aRCR
65	41321 51312	   	269.63	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MLV|5LWND|6DUR|7FEWX|8CGEN|9aRCR
66	41323 51312	   	269.63	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MLV|5LHND|6DUR|7FEWX|8CGEN|9aRCR
67	41326 21312	   	269.63	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MLV|5BEXP|6DUR|7FEWX|8CGEN|9aRCR
68	41326 42312	   	269.63	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4MLV|5BEXP|6FEWX|7DUR|8CGEN|9aRCR
69	21316 63112	   	269.53	DCR|DCR|2VULN|1MLV	15BEXP|23VULN|4ERES|6DUR|7MLV|8MDPS|9aRCR
70	21326 64112	   	269.53	DCR|DCR|2VULN|1MLV	15BEXP|23VULN|4MLV|6DUR|7ERES|8MDPS|9aRCR
71	21332 65312	   	269.53	DCR|DCR|2VULN|1MLV	1BEXP|23VULN|4LEGI|5DUST|6DUR|7MLV|8CGEN|9aRCR
72	31313 23112	   	269.53	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4ERES|5DUR|6RCVC|7MLV|8MDPS|9aRCR
73	31323 24112	   	269.53	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4MLV|5DUR|6RCVC|7ERES|8MDPS|9aRCR
74	31345 24112	   	269.53	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4DUR|5MLV|6RCVC|7ERES|8MDPS|9aRCR
75	32223 33112	   	269.53	DCR|DCR|2VULN|1MLV	1LWND|2CGEN|34VULN|5DUR|6AELOIC|7MLV|8MDPS|9aRCR
76	41335 51312	   	269.53	DCR|DCR|2VULN|1MLV	1DUST|23VULN|4LEGI|5MLV|6DUR|7FEWX|8CGEN|9aRCR
77	31313 33112	   	269.43	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4ERES|5DUR|6AELOIC|7MLV|8MDPS|9aRCR
78	31323 34112	   	269.43	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4MLV|5DUR|6AELOIC|7ERES|8MDPS|9aRCR
79	31345 34112	   	269.43	DCR|DCR|2VULN|1MLV	1LWND|23VULN|4DUR|5MLV|6AELOIC|7ERES|8MDPS|9aRCR
