0	Index      	 *	Score 	Summary	Detail	
1	41411 62132	 * 	278.40	DCR|3VULN|3DMG|3MLV	178MLV|278DMG|3MSLREG|4DLOT|5BEXP|678VULN|78BPWR|9CGEN|aRCR
2	41162 41314	 * 	275.05	DCR|DCR|1VULN|3DUR|1DMG|1MLV	1MLV|2DMG|359DUR|4VULN|6MBVNT|7TBNT|8aRCR
3	21521 25432	 * 	274.78	ACR|DCR|3VULN|2DMG	12DMG|37aVULN|48RCR|5BBNT|6LIT|9LHND
4	21523 14234	 * 	273.91	ACR|4VULN|3DMG|2MLV|1AART|1RPLT	127DMG|379aVULN|4RCR|57MLV|6RPLT|7BPWR|8AART
5	31623 13528	 * 	273.13	ACR|DCR|2DMG|2MLV|1VULN|1ASPD	1ASPD|26DMG|35MLV|49RCR|7MBVNT|8BBNT|aVULN
6	25521 33353	 * 	272.71	ACR|DCR|2VULN|2DMG|2CDMG	18DMG|27RCVC|38VULN|4aRCR|5BBNT|68CDMG|8BPWR|9FRZFST
7	26521 33353	   	272.61	ACR|DCR|2VULN|2DMG|2CDMG	18DMG|2AELOIC|38VULN|4aRCR|5BBNT|68CDMG|7RCVC|8BPWR|9FRZFST
8	21516 61222	 * 	270.90	DCR|DCR|3DMG|1VULN	126DMG|3VULN|4DUST|58LIT|7BBNT|9aRCR
9	21244 15322	   	270.80	DCR|DCR|3DMG|1VULN	124DMG|3LWND|5MDPS|6VULN|7LIT|8DUST|9aRCR
10	21516 61322	   	270.80	DCR|DCR|3DMG|1VULN	126DMG|3VULN|48DUST|5LIT|7BBNT|9aRCR
11	31651 32613	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1ASPD|2DMG|3MLV|4VULN|5AME|6aRCR|7MDPS|8LWND|9FEWX
12	31651 32623	   	268.74	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1ASPD|2DMG|3MLV|4VULN|5AME|6aRCR|7MDPS|8LWND|9LHND
13	31651 32382	   	268.64	DCR|DCR|1VULN|1DMG|1MLV|1ASPD	1ASPD|2DMG|3MLV|4VULN|5AME|6aRCR|7MDPS|8MBVNT|9BBNT
