0	Index      	 *	Score 	Summary	Detail	
1	36412 12125	 * 	295.78	DCR|DCR|2VULN|1DMG|1MLV|1RPLT	1RPLT|2DMG|3SNITOX|4RMIN|5MLV|68VULN|7aRCR|9LIT
2	63311 31266	 * 	289.98	DCR|DCR|2VULN|2MLV	1ERES|26MLV|3RCVC|4AAC|56VULN|6BPWR|7aRCR|8DUR|9DLOT
3	32621 13422	   	289.37	DCR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2FEWX|35VULN|4MDPS|6LHND|7aRCR|8ASPD|9MLV
4	33241 13122	   	289.27	DCR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2LWND|3MDPS|4DUST|58VULN|6aRCR|7ASPD|9MLV
5	33521 13122	   	289.27	DCR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2LWND|3DUST|4MDPS|58VULN|6aRCR|7ASPD|9MLV
6	31521 13122	   	289.17	DCR|DCR|2VULN|1MLV|1ASPD|1RPLT	1RPLT|2LEGI|3DUST|4MDPS|58VULN|6aRCR|7ASPD|9MLV
7	63311 31366	   	281.67	DCR|DCR|2VULN|2MLV	1ERES|26MLV|3RCVC|4AAC|56VULN|6BPWR|7aRCR|8BEXP|9DLOT
8	63311 31166	   	281.57	DCR|DCR|2VULN|2MLV	1ERES|26MLV|3RCVC|4AAC|56VULN|6BPWR|7aRCR|8DUST|9DLOT
9	21416 12125	   	278.15	DCR|DCR|2VULN|1DMG|1RPLT	1AME|2RPLT|3CANARM|4RMIN|5DMG|68VULN|7aRCR|9LIT
10	36411 12125	   	278.15	DCR|DCR|2VULN|1DMG|1RPLT	1RPLT|2DMG|3SNITOX|4RMIN|5AME|68VULN|7aRCR|9LIT
11	21536 12125	   	278.05	DCR|DCR|2VULN|1DMG|1RPLT	1AME|2RPLT|3ERES|4BASHEA|5DMG|68VULN|7aRCR|9LIT
12	32521 14122	   	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1RPLT|2FEWX|3LWND|4MDPS|58VULN|6aRCR|7ZMB|9MLV
13	32623 14122	   	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1RPLT|2FEWX|38VULN|4MDPS|5LHND|6aRCR|7ZMB|9MLV
14	33121 14122	   	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1ZMB	1RPLT|2LWND|3BEXP|4MDPS|58VULN|6aRCR|7ZMB|9MLV
