0	Index      	 *	Score 	Summary	Detail	
1	32327 84145	 * 	291.36	DCR|DCR|3DMG|2CDMG|1MLV|2DUR	17CDMG|27DUR|3RCVC|4MBVNT|579DMG|6aRCR|7BPWR|8MLV
2	21425 11242	 * 	288.16	DCR|3VULN|3DMG|3MLV|1AART	1RMIN|2MBVNT|38aMLV|4BEXP|58aVULN|6AART|78aDMG|8aBPWR|9RCR
3	61425 11242	   	288.16	DCR|3VULN|3DMG|3MLV|1AART	1AAC|2MBVNT|38aMLV|4BEXP|58aVULN|6AART|78aDMG|8aBPWR|9RCR
4	61142 32882	 * 	285.82	DCR|DCR|2VULN|1DMG|1ASPD	1AAC|2MBVNT|3LWND|4ASPD|5DMG|69VULN|7DUR|8aRCR
5	36315 16332	 * 	284.76	DCR|DCR|2VULN|3CDMG|2DUR	179CDMG|23VULN|48DUR|5FEWX|6aRCR
6	36315 12132	   	278.21	DCR|DCR|2VULN|3CDMG	189CDMG|23VULN|4DUR|57FEWX|6aRCR
7	36315 13132	   	278.21	DCR|DCR|2VULN|3CDMG	189CDMG|23VULN|4DUR|5FEWX|6aRCR|7RCVC
8	36315 16122	   	278.21	DCR|DCR|2VULN|3CDMG	178CDMG|23VULN|4DUR|59FEWX|6aRCR
9	32213 15612	   	278.11	DCR|DCR|2VULN|3CDMG	147CDMG|2DUR|3DUST|5BEXP|6aRCR|89VULN
10	23127 84145	   	276.50	DCR|DCR|3DMG|2CDMG|1MLV	1RMIN|27CDMG|37CGEN|4MBVNT|579DMG|6aRCR|7BPWR|8MLV
11	13216 31535	 * 	275.90	ACR|DCR|2VULN|1DMG|1MLV|1CDMG|1RPLT	1RPLT|2RCVC|3aRCR|48VULN|5CDMG|6DMG|7LWND|9MLV
12	31315 16612	   	269.80	DCR|DCR|2VULN|3CDMG	147CDMG|2DUST|3BEXP|5FEWX|6aRCR|89VULN
13	31413 16612	   	269.80	DCR|DCR|2VULN|3CDMG	147CDMG|2DUST|3FEWX|5BEXP|6aRCR|89VULN
14	31513 16612	   	269.80	DCR|DCR|2VULN|3CDMG	147CDMG|2DUST|3LHND|5BEXP|6aRCR|89VULN
15	33315 16622	   	269.80	DCR|DCR|2VULN|3CDMG	147CDMG|2LEGI|38VULN|59FEWX|6aRCR
16	36413 16312	   	269.80	DCR|DCR|2VULN|3CDMG	147CDMG|29VULN|3FEWX|5BEXP|6aRCR|8DUST
17	31113 16612	   	269.70	DCR|DCR|2VULN|3CDMG	147CDMG|2DUST|3LEGI|5BEXP|6aRCR|89VULN
18	21886 22142	   	266.54	DCR|3VULN|2DMG|2MLV|1AART	1RMIN|2MBVNT|34aVULN|5AART|6DUR|7aDMG|8aMLV|9RCR|aBPWR
19	61142 32852	   	266.16	DCR|DCR|1VULN|1DMG|2DUR|1ASPD	1AAC|2MBVNT|3LWND|4ASPD|5DMG|6VULN|79DUR|8aRCR
20	13432 42124	   	264.95	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2RCVC|3VULN|4LIT|5CGEN|6DMG|7aRCR|8MLV|9BEXP
21	21415 55313	 * 	264.90	DCR|DCR|3MLV|1VULN	1RMIN|2MBVNT|358MLV|458CGEN|58BPWR|68MULHEA|7aRCR|9VULN
22	16531 13212	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MDPS|3FLTARM|4DMG|5LHND|6MLV|7aRCR|8VULN|9FEWX
23	13433 42124	   	264.85	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2RCVC|3VULN|4LIT|5ERES|6DMG|7aRCR|8MLV|9BEXP
24	16131 13212	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MDPS|3BLAICY|4DMG|5LHND|6MLV|7aRCR|8VULN|9FEWX
25	16531 13252	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MDPS|3FLTARM|4DMG|5LHND|6MLV|7aRCR|8VULN|9DUST
26	52331 47142	   	264.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG|1SELL	1LHND|2MBVNT|3ASPD|4VULN|5SELL|6aRCR|7DMG|8LWND|9CDMG
27	16131 13252	   	264.65	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1RPLT|2MDPS|3BLAICY|4DMG|5LHND|6MLV|7aRCR|8VULN|9DUST
28	61142 33882	 * 	263.76	DCR|DCR|1VULN|2ASPD|1DMG	1AAC|2MBVNT|3LWND|49ASPD|5DMG|6VULN|7LHND|8aRCR
29	36341 32132	 * 	263.23	ACR|DCR|3VULN|3CDMG	189CDMG|236VULN|4aRCR|56LWND|6BPWR|7FEWX
30	36341 33132	   	263.13	ACR|DCR|3VULN|3CDMG	189CDMG|236VULN|4aRCR|56LWND|6BPWR|7DUST
31	35615 33233	   	262.33	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1CDMG|2BASICY|3CGEN|4MLV|5LHND|6VULN|7ASPD|8aRCR|9MSLTOX
32	13214 31535	   	262.00	ACR|DCR|2VULN|1DMG|1MLV|1RPLT|1SELL	1RPLT|2RCVC|3aRCR|48VULN|5SELL|6DMG|7LWND|9MLV
