0	Index      	 *	Score 	Summary	Detail	
1	32663 51221	 * 	285.72	DCR|DCR|2VULN|1DMG|1ASPD	1FRZICY|2aVULN|3ASPD|4MDPS|5DUR|6MBVNT|79RCR|8DMG
2	41142 13613	 * 	283.05	ACR|DCR|3VULN|2ASPD|1DMG|1SELL	19RCR|2TBNT|357VULN|4SELL|6DMG|8aASPD
3	42362 13313	 * 	279.61	ACR|DCR|4VULN|1ASPD|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aASPD
4	42362 12253	 * 	274.92	ACR|DCR|3VULN|1DMG|1RPLT|1SELL	19RCR|234VULN|5TBNT|6RPLT|7SELL|8DUR|aDMG
5	42362 13314	   	274.26	ACR|DCR|4VULN|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aDUR
6	36223 43143	 * 	273.21	DCR|DCR|2DMG|1VULN|1RPLT	1FRZICY|2aDMG|3MDPS|4VULN|5DUR|69RCR|7FLTHEA|8RPLT
7	36223 51621	   	271.82	DCR|DCR|2VULN|1DMG|1ZMB	1FRZICY|2DMG|3MDPS|4aVULN|5DUR|6MBVNT|79RCR|8ZMB
8	41142 13611	 * 	270.60	ACR|DCR|3VULN|1DMG|1ASPD|1SELL	19RCR|2TBNT|357VULN|4SELL|6DMG|8ASPD|aLIT
9	41142 13612	 * 	270.60	ACR|DCR|3VULN|1DMG|1ASPD|1SELL	19RCR|2TBNT|357VULN|4SELL|6DMG|8ASPD|aLWND
10	46133 22521	 * 	270.56	ACR|DCR|2VULN|1DMG|1ASPD|1CDMG	18RCR|2SPLARM|3CDMG|4DMG|5AAC|69VULN|7DUR|aASPD
11	42316 26122	 * 	267.36	ACR|DCR|2VULN|2MLV|1AART|1RPLT	19RCR|23VULN|4BELT|5RPLT|6CANTOX|78MLV|aAART
12	42362 12353	 * 	266.51	ACR|DCR|3VULN|1DMG|1RPLT|1SELL	19RCR|234VULN|5TBNT|6RPLT|7SELL|8LEGI|aDMG
13	42362 13311	   	265.96	ACR|DCR|4VULN|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aLIT
14	42362 13312	   	265.96	ACR|DCR|4VULN|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aLWND
15	42362 13315	   	265.96	ACR|DCR|4VULN|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aFEWX
16	42362 13316	   	265.86	ACR|DCR|4VULN|1RPLT	19RCR|2348VULN|5TBNT|6RPLT|7RCVC|aMDPS
17	42363 12413	   	264.19	ACR|DCR|3VULN|1ASPD|1CDMG|1ZMB	19RCR|234VULN|5ZMB|6BBNT|7AAC|8CDMG|aASPD
18	32243 62153	 * 	263.86	DCR|DCR|2VULN|3DUR	1FRZICY|25VULN|3BBNT|457DUR|5BPWR|6aRCR|8TLV|9LHND
19	32343 62153	   	263.86	DCR|DCR|2VULN|3DUR	1FRZICY|25VULN|3TBNT|457DUR|5BPWR|6aRCR|8TLV|9LHND
20	32243 62253	   	263.76	DCR|DCR|2VULN|3DUR	1FRZICY|25VULN|3BBNT|457DUR|5BPWR|6aRCR|8LEGI|9RMIN
