0	Index      	 *	Score 	Summary	Detail	
1	33341 32132	 * 	291.43	DCR|DCR|2VULN|2MLV|1AART	1AAC|2BEXP|35VULN|45MLV|5BPWR|6aRCR|7AART|8DUST|9BBNT
2	51122 22314	 * 	281.65	DCR|DCR|3VULN|1AART	1RMIN|289VULN|3AART|4CGEN|5LHND|6aRCR|7DLOT
3	55121 22314	   	281.65	DCR|DCR|3VULN|1AART	1RMIN|2LHND|3AART|4CGEN|589VULN|6aRCR|7DLOT
4	51132 22314	   	281.55	DCR|DCR|3VULN|1AART	1RMIN|289VULN|3AART|4ERES|5LHND|6aRCR|7DLOT
5	55131 22314	   	281.55	DCR|DCR|3VULN|1AART	1RMIN|2LHND|3AART|4ERES|589VULN|6aRCR|7DLOT
6	51136 22314	   	281.45	DCR|DCR|3VULN|1AART	1RMIN|289VULN|3AART|4ERES|5DUST|6aRCR|7DLOT
7	31121 54632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1AAC|25VULN|3AART|4CGEN|6FEWX|7aRCR|8LHND|9MLV
8	31311 24632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1AAC|23VULN|4BEXP|5AART|6RMIN|7aRCR|8LHND|9MLV
9	31311 64632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1AAC|23VULN|4BEXP|5AART|6TLV|7aRCR|8LHND|9MLV
10	33331 24632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1AAC|2BEXP|34VULN|5AART|6RMIN|7aRCR|8LHND|9MLV
11	33331 64632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1AAC|2BEXP|34VULN|5AART|6TLV|7aRCR|8LHND|9MLV
12	51311 34632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1RMIN|23VULN|4BEXP|5AART|6AAC|7aRCR|8LHND|9MLV
13	53331 34632	   	275.82	DCR|DCR|2VULN|1MLV|1AART	1RMIN|2BEXP|34VULN|5AART|6AAC|7aRCR|8LHND|9MLV
14	31331 24632	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AAC|23VULN|4DUST|5AART|6RMIN|7aRCR|8LHND|9MLV
15	31331 64632	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AAC|23VULN|4DUST|5AART|6TLV|7aRCR|8LHND|9MLV
16	33344 32132	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1AAC|2BEXP|35VULN|4MLV|6aRCR|7AART|8DUST|9BBNT
17	51331 34632	   	275.72	DCR|DCR|2VULN|1MLV|1AART	1RMIN|23VULN|4DUST|5AART|6AAC|7aRCR|8LHND|9MLV
18	14121 22612	   	271.94	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2TLV|3AART|4CGEN|58VULN|6aRCR|7ASPD|9LWND
19	44121 22612	   	271.94	DCR|DCR|2VULN|1ASPD|1AART	1FEWX|2TLV|3AART|4CGEN|58VULN|6aRCR|7ASPD|9LWND
20	14121 22642	   	271.84	DCR|DCR|2VULN|1ASPD|1AART	1LHND|2TLV|3AART|4CGEN|58VULN|6aRCR|7ASPD|9LEGI
21	12343 22344	 * 	270.38	ACR|DCR|3VULN|1MLV|1AART	1LHND|2LIT|3AART|4CGEN|59RCR|68aVULN|7MLV
22	32124 43336	 * 	268.80	DCR|3VULN|3MLV|2DMG	1AAC|2aDMG|35aMLV|4BBNT|6RCR|7RMIN|89aVULN|aBPWR
23	52131 16612	 * 	267.61	DCR|DCR|1VULN|1DMG|1MLV|1AART	1RMIN|2DMG|3MLV|4DUST|5AART|6FEWX|7aRCR|8VULN|9AELOIC
24	12343 22345	 * 	266.98	ACR|DCR|2VULN|1DMG|1MLV|1AART	1LHND|2LIT|3AART|4CGEN|59RCR|68VULN|7MLV|aDMG
25	31331 16432	   	266.49	DCR|DCR|2VULN|1AART	19AAC|23VULN|4DUST|5AART|6FEWX|7aRCR|8DUR
26	31331 16442	   	266.49	DCR|DCR|2VULN|1AART	1AAC|23VULN|4DUST|5AART|69FEWX|7aRCR|8DUR
27	31331 36432	   	266.49	DCR|DCR|2VULN|1AART	19AAC|23VULN|4DUST|5AART|6LWND|7aRCR|8DUR
28	31331 36452	   	266.49	DCR|DCR|2VULN|1AART	1AAC|23VULN|4DUST|5AART|6LWND|7aRCR|8DUR|9RCVC
29	31331 64362	   	266.49	DCR|DCR|2VULN|1AART	1AAC|23VULN|4DUST|5AART|6TLV|7aRCR|8CGEN|9DUR
30	51531 21414	   	266.49	DCR|DCR|2VULN|1RPLT	1RMIN|27VULN|3DUR|4RPLT|5LHND|6LIT|8MBVNT|9aRCR
31	31331 16412	   	266.39	DCR|DCR|2VULN|1AART	1AAC|23VULN|4DUST|5AART|6FEWX|7aRCR|8DUR|9AELOIC
32	31331 36412	   	266.39	DCR|DCR|2VULN|1AART	1AAC|23VULN|4DUST|5AART|6LWND|7aRCR|8DUR|9AELOIC
33	51331 16533	   	266.39	DCR|DCR|2VULN|1AART	1RMIN|23VULN|4DUST|5AART|6FEWX|79RCR|8MBVNT|aDUR
