0	Index      	 *	Score 	Summary	Detail	
1	66131 33323	 * 	288.90	DCR|3VULN|2DMG|2MLV|2ASPD|1ZMB	138VULN|23MLV|38BPWR|48DMG|5ZMB|6ERES|78ASPD|9DUR|aRCR
2	66121 11522	 * 	278.71	DCR|5VULN|3MLV|1AART	13569VULN|236MLV|369BPWR|4AART|7AAC|89LIT|aRCR
3	34221 54121	 * 	274.86	ACR|DCR|2VULN|2DMG|1MLV|1ZMB	1aRCR|29BEXP|3CGEN|49VULN|5BELT|6MLV|7ZMB|89DMG|9BPWR
4	12344 52844	 * 	274.63	DCR|DCR|2VULN|2ASPD	12LWND|3MBVNT|48ASPD|5aVULN|69RCR|7LIT
5	66321 33132	   	266.06	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7AAC|8RCVC|9LHND
6	66321 33632	   	266.06	DCR|DCR|2VULN|1MLV	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7AAC|89FEWX
7	66321 32132	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7ZMB|8RCVC|9LHND
8	66321 32632	   	265.81	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7ZMB|89FEWX
9	66321 31242	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7ERES|8ZMB|9CGEN
10	66321 31422	   	265.71	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7ERES|8CGEN|9ZMB
11	66321 31262	   	265.61	DCR|DCR|2VULN|1MLV|1ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|7ERES|8ZMB|9AME
12	66321 32232	   	265.57	DCR|DCR|2VULN|1MLV|2ZMB	15VULN|2MLV|3BEXP|4MDPS|6aRCR|78ZMB|9LHND
13	66132 15323	 * 	262.84	DCR|3VULN|2DMG|2MLV	138VULN|23MLV|38BPWR|48DMG|58ERES|6RMIN|7NUKE|9DUR|aRCR
14	66121 11212	   	260.96	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7AAC|8RCVC|9LHND|aRCR
15	66121 11251	   	260.96	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7AAC|8RCVC|9RCR|aBELT
16	66121 11253	   	260.96	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7AAC|8RCVC|9RCR|aLIT
17	66121 11142	   	260.86	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7AAC|8CGEN|9ERES|aRCR
18	66121 11252	   	260.86	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7AAC|8RCVC|9RCR|aERES
19	66121 13136	   	260.76	DCR|4VULN|3MLV|1AART	1356VULN|236MLV|36BPWR|4AART|7MDPS|8AELOIC|9BBNT|aRCR
