0	Index      	 *	Score 	Summary	Detail	
1	32244 33362	 * 	271.64	DCR|DCR|2VULN|1ASPD|1AART	1MULARM|2AELOIC|35VULN|4AART|6DUST|7AAC|8ASPD|9aRCR
2	33522 55211	 * 	267.71	DCR|DCR|1VULN|1DMG|1ASPD|1CDMG	1MULARM|2CDMG|3DMG|4FEWX|5ASPD|68RCR|7LIT|9AELOIC|aVULN
3	23217 26513	 * 	266.62	DCR|DCR|1VULN|2ASPD|3DUR	17LIT|2MBVNT|37ASPD|4BEXP|5VULN|678DUR|7BPWR|9aRCR
4	32241 22632	 * 	262.90	ACR|DCR|2VULN|1DMG|1CDMG|1AART	1MULARM|2AELOIC|36VULN|4AART|5aRCR|7DMG|8CDMG|9LHND
5	32241 22642	   	262.90	ACR|DCR|2VULN|1DMG|1CDMG|1AART	1MULARM|2AELOIC|36VULN|4AART|5aRCR|7DMG|8CDMG|9FEWX
6	25161 53233	 * 	260.72	ACR|DCR|3VULN|1MLV	15LIT|2FRZARM|38aVULN|46RCR|7BEXP|9MLV
7	22122 34152	   	257.75	ACR|DCR|1VULN|1DMG|1MLV|2DUR|1ASPD	1LIT|2RCVC|35DUR|47RCR|6MLV|8ASPD|9DMG|aVULN
8	23883 44117	   	255.70	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4RCVC|5DUR|6VULN|7MLV|8ZMB|9aRCR
9	34331 78231	 * 	255.17	DCR|DCR|1VULN|2CDMG|2DUR	1MULARM|2MBVNT|39CDMG|47DUR|5LIT|68RCR|aVULN
10	33622 55231	   	254.06	DCR|DCR|1VULN|2CDMG|1ASPD	1MULARM|29CDMG|3AAC|4FEWX|5ASPD|68RCR|7LIT|aVULN
11	23218 73513	   	253.96	DCR|DCR|1VULN|3DUR|1ASPD	1LIT|2MBVNT|3ASPD|4BEXP|568DUR|7VULN|9aRCR
12	23147 33544	 * 	252.66	ACR|DCR|2VULN|2MLV	1LIT|2MBVNT|3aRCR|47VULN|5CGEN|68MLV|9AME
13	63633 13154	   	251.63	DCR|DCR|1VULN|1MLV|1ASPD	1DMSP|2MLV|3BELT|4VULN|5BBNT|6aRCR|7RCVC|8ASPD|9MBVNT
14	23141 88334	   	251.49	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5RCVC|6BPWR|8CGEN|9DUR
15	23148 88334	   	251.49	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5DMSP|6BPWR|8CGEN|9DUR
16	23141 88744	   	251.39	ACR|DCR|3VULN	16LIT|2MBVNT|3aRCR|467VULN|5RCVC|6BPWR|8DUR|9AME
17	23143 88334	   	251.29	ACR|DCR|3VULN	1LIT|2MBVNT|3aRCR|467VULN|56AELOIC|6BPWR|8CGEN|9DUR
18	23143 88744	   	251.19	ACR|DCR|3VULN	1LIT|2MBVNT|3aRCR|467VULN|56AELOIC|6BPWR|8DUR|9AME
19	33522 55221	   	250.30	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1MULARM|2CDMG|3DMG|4FEWX|5ASPD|68RCR|7LIT|9DUST|aMLV
20	33522 55231	   	250.30	DCR|DCR|1DMG|1MLV|1ASPD|1CDMG	1MULARM|2CDMG|3DMG|4FEWX|5ASPD|68RCR|7LIT|9MBVNT|aMLV
21	34331 78211	   	248.76	DCR|DCR|1VULN|2DUR|1CDMG	1MULARM|2MBVNT|3CDMG|47DUR|5LIT|68RCR|9AELOIC|aVULN
22	23315 27174	   	248.73	DCR|DCR|2VULN	17LIT|2MBVNT|3DMSP|47BEXP|57VULN|6RCVC|7BPWR|8CGEN|9aRCR
23	23362 12274	   	248.73	DCR|DCR|2VULN	18LIT|2MBVNT|3DMSP|4TLV|58CGEN|68VULN|7RMIN|8BPWR|9aRCR
24	23374 12274	   	248.73	DCR|DCR|2VULN	18LIT|2MBVNT|3DMSP|4CGEN|58TLV|68VULN|7RMIN|8BPWR|9aRCR
25	23345 83174	   	248.63	DCR|DCR|2VULN	1LIT|2MBVNT|3DMSP|467LHND|56VULN|6BPWR|8CGEN|9aRCR
26	23632 12274	   	248.63	DCR|DCR|2VULN	18LIT|2MBVNT|38TLV|4AELOIC|5CGEN|68VULN|7RMIN|8BPWR|9aRCR
27	34331 76211	   	248.52	DCR|DCR|1VULN|2CDMG	1MULARM|2MBVNT|37CDMG|4DUR|5LIT|68RCR|9AELOIC|aVULN
28	23373 11774	   	248.43	DCR|DCR|2VULN	1LIT|2MBVNT|3DMSP|4CGEN|5ERES|67VULN|8RMIN|9aRCR
29	23373 11874	   	248.33	DCR|DCR|2VULN	1LIT|2MBVNT|3DMSP|4CGEN|5ERES|67VULN|8AME|9aRCR
30	33622 55211	   	247.65	DCR|DCR|1VULN|1ASPD|1CDMG	1MULARM|2CDMG|3AAC|4FEWX|5ASPD|68RCR|7LIT|9AELOIC|aVULN
31	23335 62117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3DMSP|4FEWX|5VULN|6MLV|7RPLT|8ZMB|9aRCR
32	23345 62117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3DMSP|4LHND|5VULN|6MLV|7RPLT|8ZMB|9aRCR
33	23811 31117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4MLV|5TLV|6VULN|7RMIN|8ZMB|9aRCR
34	23812 11117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	16LIT|2MBVNT|3RPLT|4MLV|5LHND|7VULN|8ZMB|9aRCR
35	23813 11117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	16LIT|2MBVNT|3RPLT|4MLV|5BEXP|7VULN|8ZMB|9aRCR
36	23817 11117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	16LIT|2MBVNT|3RPLT|4MLV|5LWND|7VULN|8ZMB|9aRCR
37	23882 34117	   	247.40	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4RCVC|5FEWX|6VULN|7MLV|8ZMB|9aRCR
38	23811 51117	   	247.30	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1LIT|2MBVNT|3RPLT|4MLV|5TLV|6AME|7VULN|8ZMB|9aRCR
