0	Index      	 *	Score 	Summary	Detail	
1	41122 23162	 * 	287.33	DCR|DCR|2VULN|2ASPD|1MLV	19VULN|239AME|4MGNSTR|5MLV|6AAC|79ASPD|8aRCR|9BPWR
2	42622 23236	 * 	281.19	DCR|DCR|3VULN|2DUR	129VULN|269BPWR|36DUR|469LWND|5RMIN|7aRCR|89LIT
3	33323 41552	   	279.49	DCR|DCR|3VULN|1ASPD	1NUKE|2ASPD|3RMIN|4VENICY|589VULN|6aRCR|7RCVC
4	42231 24126	   	274.88	DCR|DCR|2VULN|1MLV|1ASPD	12VULN|2BPWR|3LWND|4MSLREG|5MSLTOX|6TBNT|7MLV|8aRCR|9ASPD
5	12257 74442	   	274.24	DCR|DCR|3VULN	1LHND|2FLTHEA|3DUR|4MBVNT|578VULN|6FEWX|9aRCR
6	22257 14442	   	274.24	DCR|DCR|3VULN	1FEWX|2FLTHEA|3DUR|4MBVNT|578VULN|6LHND|9aRCR
7	22257 44442	   	274.24	DCR|DCR|3VULN	1FEWX|2FLTHEA|3DUR|4MBVNT|578VULN|6BEXP|9aRCR
8	52257 14442	   	274.24	DCR|DCR|3VULN	1BEXP|2FLTHEA|3DUR|4MBVNT|578VULN|6LHND|9aRCR
9	42361 21224	 * 	270.81	DCR|5VULN|3MLV|1AART	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aAART
10	22257 26442	   	269.53	DCR|DCR|2VULN|1MLV	1FEWX|2FLTHEA|3DUR|4MBVNT|58VULN|6AME|7MLV|9aRCR
11	42361 21222	   	269.45	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aDUR
12	42361 24222	   	269.45	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LWND|9RCR|aDUR
13	42551 21222	   	269.45	DCR|5VULN|3MLV	12468VULN|268BPWR|3MDPS|568MLV|78LHND|9RCR|aDUR
14	15314 52221	 * 	265.00	DCR|DCR|2DMG|1VULN|1AART	1LHND|2CGEN|3LIT|4BBNT|5VULN|69DMG|7aRCR|8AART
15	15334 52221	   	265.00	DCR|DCR|2DMG|1VULN|1AART	1LHND|2CGEN|3LIT|4TBNT|5VULN|69DMG|7aRCR|8AART
16	42361 21221	   	261.15	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aDMSP
17	42361 21225	   	261.15	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aBELT
18	42361 21226	   	261.15	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aCGEN
19	42361 24221	   	261.15	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LWND|9RCR|aDMSP
20	42551 21221	   	261.15	DCR|5VULN|3MLV	12468VULN|268BPWR|3MDPS|568MLV|78LHND|9RCR|aDMSP
21	42361 21223	   	261.05	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LHND|9RCR|aMBVNT
22	42361 24223	   	261.05	DCR|5VULN|3MLV	12368VULN|268BPWR|4MDPS|568MLV|78LWND|9RCR|aMBVNT
23	42551 21223	   	261.05	DCR|5VULN|3MLV	12468VULN|268BPWR|3MDPS|568MLV|78LHND|9RCR|aMBVNT
24	42361 23135	   	260.85	DCR|5VULN|3MLV	12369VULN|26BPWR|4MDPS|56aMLV|7RCR|8ERES
25	42361 23532	 * 	259.71	DCR|4VULN|2MLV|1DMG|1RPLT	1236VULN|26BPWR|4MDPS|56MLV|7RCR|8LHND|9DMG|aRPLT
26	42361 23332	   	259.61	DCR|4VULN|2MLV|1DMG|1RPLT	1236VULN|26BPWR|4MDPS|56MLV|7RCR|8LEGI|9DMG|aRPLT
27	42551 23332	   	259.61	DCR|4VULN|2MLV|1DMG|1RPLT	1246VULN|26BPWR|3MDPS|56MLV|7RCR|8LEGI|9DMG|aRPLT
28	42621 23235	   	258.80	DCR|4VULN|2MLV|2DUR|1CDMG	1269VULN|269BPWR|39DUR|4LWND|56MLV|7RCR|89LIT|aCDMG
29	12257 74142	   	258.65	DCR|DCR|2VULN|2DUR	1LHND|2FLTHEA|38DUR|4MBVNT|57VULN|6FEWX|9aRCR
30	22257 14142	   	258.65	DCR|DCR|2VULN|2DUR	1FEWX|2FLTHEA|38DUR|4MBVNT|57VULN|6LHND|9aRCR
31	22257 15442	   	258.65	DCR|DCR|2VULN|2DUR	1FEWX|2FLTHEA|37DUR|4MBVNT|58VULN|6LHND|9aRCR
32	22257 44142	   	258.65	DCR|DCR|2VULN|2DUR	1FEWX|2FLTHEA|38DUR|4MBVNT|57VULN|6BEXP|9aRCR
