0	Index      	 *	Score 	Summary	Detail	
1	21226 31154	 * 	266.16	DCR|DCR|1VULN|1DMG|2RPLT|1CDMG	1MSLTOX|26RPLT|3DMG|4CDMG|5CGEN|7BBNT|8VULN|9aRCR
2	43131 63243	 * 	264.90	DCR|DCR|2DMG|1VULN|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6aDMG|79RCR|8LEGI
3	43136 23243	   	264.90	DCR|DCR|2DMG|1VULN|1AART	1TBNT|2AART|3LWND|4BBNT|5aDMG|6VULN|79RCR|8LEGI
4	63314 56322	   	264.75	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1AME|2VULN|3FEWX|4MBVNT|5MLV|6RPLT|79RCR|8BELT|aDMG
5	43131 23243	   	260.97	DCR|DCR|1VULN|1DMG|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8LEGI|aDMG
6	61612 33336	 * 	260.75	ACR|DCR|2VULN|2DMG	1aAME|2ERES|3BELT|4aDMG|57RCR|6DUR|8DUST|9aVULN|aBPWR
7	21443 41212	   	260.67	DCR|DCR|1VULN|1DMG|1ASPD|1RPLT	1MSLTOX|2RPLT|3VULN|4MBVNT|5ASPD|6AME|7MSLFST|8aRCR|9DMG
8	63314 56323	 * 	260.30	DCR|DCR|2MLV|1VULN|1RPLT	1AME|2VULN|3FEWX|4MBVNT|5aMLV|6RPLT|79RCR|8BELT
9	52612 43131	 * 	257.39	ACR|DCR|3VULN|1DMG	12aLWND|3BELT|4DMG|57RCR|6aBEXP|89aVULN|aBPWR
10	52612 43132	   	257.19	ACR|DCR|3VULN|1DMG	12LWND|3BELT|4DMG|57RCR|6BEXP|89aVULN
11	24112 66133	 * 	257.15	DCR|DCR|1VULN|3CDMG|1ASPD	1MSLTOX|2DLOT|3LWND|4ASPD|56aCDMG|78RCR|9VULN
12	43131 23642	   	255.86	DCR|DCR|1VULN|2DUR|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8aDUR
13	43131 63242	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6DMG|79RCR|8LEGI|aDUR
14	43136 23242	   	255.62	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2AART|3LWND|4BBNT|5DMG|6VULN|79RCR|8LEGI|aDUR
15	43131 23244	 * 	253.36	DCR|DCR|1VULN|2ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6aASPD|79RCR|8LEGI
16	63314 56324	   	252.99	DCR|DCR|1VULN|1MLV|1RPLT	1AME|2VULN|3FEWX|4MBVNT|5MLV|6RPLT|79RCR|8BELT|aDUR
17	52612 43121	   	252.84	ACR|DCR|2VULN|2DMG	12aLWND|3BELT|49DMG|57RCR|6aBEXP|8aVULN|aBPWR
18	52612 43122	   	252.64	ACR|DCR|2VULN|2DMG	12LWND|3BELT|49DMG|57RCR|6BEXP|8aVULN
19	14462 21222	   	252.27	DCR|DCR|1VULN|1DMG|2DUR|1SELL	15DUR|2SELL|3LIT|4DMG|6aRCR|7RMIN|8VULN|9ERES
20	24112 66132	   	251.11	DCR|DCR|1VULN|2CDMG|1ASPD	1MSLTOX|2DLOT|3LWND|4ASPD|56CDMG|78RCR|9VULN|aFEWX
21	24112 66131	   	251.01	DCR|DCR|1VULN|2CDMG|1ASPD	1MSLTOX|2DLOT|3LWND|4ASPD|56CDMG|78RCR|9VULN|aAME
22	43131 23641	   	249.31	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8DUR|aTLV
23	43131 23643	   	249.31	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8DUR|aBEXP
24	43131 23242	   	249.21	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8LEGI|aDUR
25	43131 63241	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6DMG|79RCR|8LEGI|aTLV
26	43136 23241	   	247.32	DCR|DCR|1VULN|1DMG|1AART	1TBNT|2AART|3LWND|4BBNT|5DMG|6VULN|79RCR|8LEGI|aTLV
27	53111 56322	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	13LWND|2RPLT|4VULN|5FEWX|6MBVNT|79RCR|8BELT|aDMG
28	43131 53243	   	247.07	DCR|DCR|1VULN|1DMG|1AART|1ZMB	1TBNT|2AART|3LWND|4BBNT|5VULN|6ZMB|79RCR|8LEGI|aDMG
29	21431 31212	   	247.02	DCR|DCR|1VULN|1DMG|1RPLT	1MSLTOX|2RPLT|3VULN|4AAC|5ERES|6MBVNT|7MSLFST|8aRCR|9DMG
30	21448 41212	   	247.02	DCR|DCR|1VULN|1DMG|1RPLT	1MSLTOX|2RPLT|3VULN|4MBVNT|5AAC|6AME|7MSLFST|8aRCR|9DMG
31	33611 31414	   	247.02	DCR|DCR|1VULN|1DMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|6aRCR|7DMG|8NUKE|9DLOT
32	63241 31161	 * 	246.92	DCR|2VULN|2MLV|1DMG|2DUR|1CDMG|1AART	1AME|24VULN|34DUR|4BPWR|5CDMG|6AART|79MLV|8DMG|aRCR
33	21565 31212	   	246.11	DCR|DCR|1DMG|1MLV|1ASPD|1RPLT	1MSLTOX|2RPLT|3ASPD|4DUST|5MLV|6MBVNT|7MULARM|8aRCR|9DMG
34	14463 21222	   	245.72	DCR|DCR|1VULN|1DMG|1SELL	1DUR|2SELL|3LIT|4DMG|5DMSP|6aRCR|7RMIN|8VULN|9ERES
35	21421 11345	 * 	244.86	DCR|3VULN|3ASPD|3DUR|1RPLT	18aMSLTOX|2RPLT|34aVULN|589DUR|68aASPD|7RCR|8aBPWR
36	53111 56323	   	244.79	DCR|DCR|1VULN|1MLV|1RPLT	13LWND|2RPLT|4VULN|5FEWX|6MBVNT|79RCR|8BELT|aMLV
37	63314 56321	   	244.59	DCR|DCR|1VULN|1MLV|1RPLT|1MSE	1AME|2VULN|3FEWX|4MBVNT|5MLV|6RPLT|79RCR|8BELT|aMSE
38	35135 23124	   	243.43	DCR|DCR|1VULN|1MLV	1DUST|2BEXP|3VULN|4BBNT|5MLV|6FEWX|7aRCR|8TLV|9DUR
39	35135 23224	   	243.43	DCR|DCR|1VULN|1MLV	1DUST|2BEXP|3VULN|4BBNT|5MLV|6FEWX|7aRCR|8CGEN|9DUR
40	15324 22423	   	242.52	ACR|DCR|2VULN|1AART|1RPLT	1DUR|2BEXP|39RCR|4RPLT|5SNITOX|6aVULN|7AART|8CGEN
41	13213 65322	   	242.35	DCR|2VULN|2DMG|1MLV|1CDMG|1RPLT	1DUR|2RPLT|35DMG|4RMIN|67VULN|8MLV|9CDMG|aRCR
42	13116 56243	   	240.96	DCR|DCR|1DMG|1MLV|1RPLT	1DUR|2RPLT|3LWND|4DMG|5MLV|6MBVNT|7MDPS|8BEXP|9aRCR
43	43131 23241	   	240.90	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8LEGI|aTLV
44	43131 23246	   	240.90	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8LEGI|aFEWX
45	13116 56343	   	240.86	DCR|DCR|1DMG|1MLV|1RPLT	1DUR|2RPLT|3LWND|4DMG|5MLV|6MBVNT|7MDPS|8LEGI|9aRCR
46	43131 23245	   	240.80	DCR|DCR|1VULN|1ASPD|1AART	1TBNT|2AART|3LWND|4BBNT|5VULN|6ASPD|79RCR|8LEGI|aERES
47	33611 32261	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aCGEN
48	33611 32262	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aLIT
49	33611 32264	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aBEXP
50	33611 32266	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aFEWX
51	33611 32263	   	240.60	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aZMB
52	33611 32265	   	240.60	DCR|DCR|1VULN|1CDMG|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|69RCR|7MSLTOX|8CDMG|aVENTOX
53	33611 33414	   	240.60	DCR|DCR|1VULN|1ASPD|1RPLT	13DUST|2RPLT|3BPWR|4VULN|5BELT|6aRCR|7ASPD|8NUKE|9DLOT
54	33613 31355	 * 	240.45	DCR|3VULN|3DMG|1RPLT	138DUST|2RPLT|38aBPWR|49aVULN|58aDMG|68aTSLARM|7RCR
55	63241 31131	 * 	237.62	DCR|2VULN|1DMG|2CDMG|1MLV|2DUR|1AART	1AME|24VULN|34DUR|4BPWR|59CDMG|6AART|7MLV|8DMG|aRCR
56	12121 24134	 * 	237.56	DCR|DCR|1VULN|3DUR	149DUR|2LWND|3VULN|5BEXP|6aRCR|7TLV|8CGEN
57	12121 26334	   	237.56	DCR|DCR|1VULN|3DUR	149DUR|27LWND|3VULN|5BEXP|6aRCR|8LHND
58	12224 24134	   	237.56	DCR|DCR|1VULN|3DUR	149DUR|2LWND|3BEXP|5VULN|6aRCR|7TLV|8CGEN
59	12224 26334	   	237.56	DCR|DCR|1VULN|3DUR	149DUR|27LWND|3BEXP|5VULN|6aRCR|8LHND
60	15121 24134	   	237.56	DCR|DCR|1VULN|3DUR	149DUR|2BEXP|3VULN|5FEWX|6aRCR|7TLV|8CGEN
61	16121 24134	   	237.56	DCR|DCR|1VULN|3DUR	149DUR|2LHND|3VULN|5BEXP|6aRCR|7TLV|8CGEN
62	12121 25134	   	237.46	DCR|DCR|1VULN|3DUR	149DUR|2LWND|3VULN|5BEXP|6aRCR|7ERES|8CGEN
63	12121 25534	   	237.46	DCR|DCR|1VULN|3DUR	149DUR|2LWND|3VULN|5BEXP|6aRCR|7ERES|8TLV
64	12224 25134	   	237.46	DCR|DCR|1VULN|3DUR	149DUR|2LWND|3BEXP|5VULN|6aRCR|7ERES|8CGEN
65	15121 25134	   	237.46	DCR|DCR|1VULN|3DUR	149DUR|2BEXP|3VULN|5FEWX|6aRCR|7ERES|8CGEN
66	16121 25134	   	237.46	DCR|DCR|1VULN|3DUR	149DUR|2LHND|3VULN|5BEXP|6aRCR|7ERES|8CGEN
