0	Index      	 *	Score 	Summary	Detail	
1	21531 23435	 * 	263.86	DCR|DCR|2VULN|1DMG	1MDPS|2LWND|3DMG|4aVULN|5RMIN|6TBNT|7BELT|89RCR
2	12336 41432	 * 	260.20	DCR|DCR|2MLV|1VULN|1AART	1AME|2CGEN|3LEGI|46MLV|5AART|7aRCR|8VULN|9MULHEA
3	14236 21334	 * 	260.01	DCR|DCR|2DMG|1ASPD|1CDMG|1AART	1AME|2MDPS|3BEXP|4AART|59DMG|6CDMG|7ASPD|8aRCR
4	14136 21334	   	259.91	DCR|DCR|2DMG|1ASPD|1CDMG|1AART	1AME|2MDPS|3DUST|4AART|59DMG|6CDMG|7ASPD|8aRCR
5	12413 24153	   	257.25	DCR|DCR|2VULN|1CDMG	1AME|2CGEN|34VULN|5LIT|69RCR|7BASHEA|8DUST|aCDMG
6	12413 26153	   	257.25	DCR|DCR|2VULN|1CDMG	1AME|2CGEN|34VULN|5LIT|69RCR|7VENTOX|8DUST|aCDMG
7	16335 31432	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1AME|2DUR|35CGEN|4MLV|6AART|7aRCR|8VULN|9MULHEA
8	16336 31432	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1AME|2DUR|3CGEN|4MLV|5DMSP|6AART|7aRCR|8VULN|9MULHEA
9	12616 61232	   	252.99	DCR|DCR|1VULN|1MLV|1AART	1AME|26CGEN|3MLV|4VULN|5AART|7aRCR|8DUR|9MULHEA
10	21531 23434	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1MDPS|2LWND|3DMG|4VULN|5RMIN|6TBNT|7BELT|89RCR|aASPD
11	44213 53321	   	249.98	DCR|DCR|1VULN|1MLV|2DUR	1FRZARM|2VULN|3RCVC|49DUR|5MLV|6DUST|78RCR|aBBNT
12	44213 53322	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1FRZARM|2VULN|3RCVC|49DUR|5MLV|6DUST|78RCR|aSPLJET
13	44213 53323	   	249.88	DCR|DCR|1VULN|1MLV|2DUR	1FRZARM|2VULN|3RCVC|49DUR|5MLV|6aDUST|78RCR
14	52421 31232	 * 	247.75	ACR|DCR|2VULN|2MLV|2ZMB	1aZMB|2CGEN|3aVULN|4LHND|58RCR|6SPLREG|7BELT|9aMLV|aBPWR
15	23216 35134	 * 	247.72	DCR|3VULN|2DMG|1MLV|2DUR	1MDPS|2NUKE|38DUR|4TLV|58DMG|68aVULN|7RCR|8BPWR|9MLV
16	21531 23431	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1MDPS|2LWND|3DMG|4VULN|5RMIN|6TBNT|7BELT|89RCR|aRPLT
17	51251 21314	 * 	246.83	DCR|DCR|1VULN|2CDMG|1RPLT|2ZMB	14ZMB|24CDMG|3RPLT|4BPWR|5RMIN|6aRCR|7LEGI|8BEXP|9VULN
18	12616 61132	   	244.69	DCR|DCR|1VULN|1MLV|1AART	1AME|26CGEN|3MLV|4VULN|5AART|7aRCR|8LHND|9MULHEA
19	12413 24151	   	243.60	DCR|DCR|2VULN	1AME|2CGEN|34VULN|5LIT|69RCR|7BASHEA|8DUST|aBBNT
20	12413 26151	   	243.60	DCR|DCR|2VULN	1AME|2CGEN|34VULN|5LIT|69RCR|7VENTOX|8DUST|aBBNT
21	12413 24152	   	243.50	DCR|DCR|2VULN	1AME|2CGEN|34VULN|5LIT|69RCR|7BASHEA|8DUST|aLEGI
22	12413 26152	   	243.50	DCR|DCR|2VULN	1AME|2CGEN|34VULN|5LIT|69RCR|7VENTOX|8DUST|aLEGI
23	43335 53322	   	243.43	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9DUR|aFLTHEA
24	43335 53323	   	243.43	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9DUR|aCGEN
25	44213 53313	   	243.43	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6DUST|78RCR|9LIT|aCGEN
26	44213 53331	   	243.43	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6DUST|78RCR|9DMSP|aBBNT
27	43335 53321	   	243.33	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9DUR|aLSRHEA
28	44213 53311	   	243.33	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6aDUST|78RCR|9LIT
29	44213 53312	   	243.33	DCR|DCR|1VULN|1MLV|1MSE	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6DUST|78RCR|9LIT|aMSE
30	44213 53332	   	243.33	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6DUST|78RCR|9DMSP|aSPLJET
31	44213 53333	   	243.33	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|3RCVC|4DUR|5MLV|6aDUST|78RCR|9DMSP
32	11315 41211	 * 	241.69	ACR|DCR|2MLV|1VULN|2CDMG	189AME|28CDMG|38MLV|46RCR|5RMIN|7DLOT|8BPWR|aVULN
33	11315 41241	   	241.69	ACR|DCR|2MLV|1VULN|2CDMG	18AME|28CDMG|38MLV|46RCR|5RMIN|7DLOT|8BPWR|9MDPS|aVULN
34	11222 25614	   	240.66	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1AME|2CDMG|3RPLT|4TLV|5RMIN|6aRCR|7LHND|8ZMB|9VULN
35	11212 25614	   	240.56	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1AME|2CDMG|3RPLT|4ERES|5RMIN|6aRCR|7LHND|8ZMB|9VULN
36	11222 23614	   	240.56	DCR|DCR|1VULN|1CDMG|1RPLT|1ZMB	1AME|2CDMG|3RPLT|4TLV|5RMIN|6aRCR|7DUST|8ZMB|9VULN
37	21531 23432	   	237.66	DCR|DCR|1VULN|1DMG	1MDPS|2LWND|3DMG|4VULN|5RMIN|6TBNT|7BELT|89RCR|aLIT
38	21531 23433	   	237.66	DCR|DCR|1VULN|1DMG	1MDPS|2LWND|3DMG|4VULN|5RMIN|6TBNT|7BELT|89RCR|aTLV
39	21531 23436	   	237.66	DCR|DCR|1VULN|1DMG	1MDPS|2LWND|3DMG|4VULN|5aRMIN|6TBNT|7BELT|89RCR
40	41141 23845	   	237.46	DCR|DCR|1VULN|1DMG	1FRZARM|2MBVNT|3FEWX|4VULN|5MDPS|6DMG|7aRCR|8TSLFST|9LIT
41	23231 21314	   	237.12	DCR|DCR|2DUR|1ASPD|1CDMG|1AART	1MDPS|2NUKE|39DUR|4AART|5ERES|6CDMG|7ASPD|8aRCR
42	23235 21314	   	237.12	DCR|DCR|2DUR|1ASPD|1CDMG|1AART	1MDPS|2NUKE|39DUR|4AART|5AME|6CDMG|7ASPD|8aRCR
43	12336 41232	   	236.41	DCR|DCR|2MLV|1AART	1AME|2CGEN|3LEGI|46MLV|5AART|7aRCR|8DUR|9VENTOX
44	23211 35134	 * 	236.17	DCR|3VULN|2ASPD|1MLV|2DUR	1MDPS|2NUKE|38DUR|4TLV|58ASPD|68aVULN|7RCR|8BPWR|9MLV
45	11316 42621	   	235.48	ACR|DCR|2MLV|1VULN|1CDMG	1AME|2CDMG|39MLV|46RCR|5TLV|7LIT|8VULN|aDMSP
46	11316 42623	   	235.48	ACR|DCR|2MLV|1VULN|1CDMG	1AME|2CDMG|39MLV|46RCR|5TLV|7LIT|8VULN|aBEXP
47	16325 31432	   	235.46	DCR|DCR|1VULN|1AART	1AME|2DUR|35CGEN|4TLV|6AART|7aRCR|8VULN|9MULHEA
48	16326 31432	   	235.46	DCR|DCR|1VULN|1AART	1AME|2DUR|3CGEN|4TLV|5DMSP|6AART|7aRCR|8VULN|9MULHEA
49	11316 42622	   	235.38	ACR|DCR|2MLV|1VULN|1CDMG	1AME|2CDMG|39MLV|46RCR|5TLV|7LIT|8VULN|aERES
50	12216 61232	   	235.36	DCR|DCR|1VULN|1AART	1AME|26CGEN|3ERES|4VULN|5AART|7aRCR|8DUR|9MULHEA
51	43335 53313	   	235.12	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9LIT|aCGEN
52	43335 53331	   	235.12	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9CGEN|aAAC
53	43335 53311	   	235.02	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6aDUST|78RCR|9LIT
54	43335 53312	   	235.02	DCR|DCR|1VULN|1MLV|1MSE	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9LIT|aMSE
55	43335 53332	   	235.02	DCR|DCR|1VULN|1MLV	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9CGEN|aBASHEA
56	43335 53333	   	235.02	DCR|DCR|1VULN|1MLV|1MSE	1FRZARM|2TLV|3VULN|4RMIN|5MLV|6DUST|78RCR|9CGEN|aMSE
57	44316 33332	   	234.92	DCR|DCR|1VULN|1MLV	1FRZARM|2VULN|35DUST|4ERES|6LHND|78RCR|9CGEN|aMLV
