0	Index      	 *	Score 	Summary	Detail	
1	23522 32125	 * 	302.82	DCR|4VULN|3DMG|2ASPD	1aASPD|247aVULN|349DMG|4aBPWR|5RPLT|6RCR|8AART
2	61116 22236	 * 	300.26	DCR|DCR|3VULN|1DMG	123VULN|2BPWR|4DMG|5MDPS|6ERES|7DUR|8aRCR|9RMIN
3	64321 63323	   	294.25	DCR|DCR|3VULN|1ASPD	134VULN|234BEXP|34BPWR|5DUR|6ASPD|7LIT|8aRCR|9LHND
4	64321 63333	   	294.25	DCR|DCR|3VULN|1ASPD	134VULN|234BEXP|34BPWR|5DUR|6ASPD|7LIT|8aRCR|9FEWX
5	26122 32122	 * 	290.16	DCR|4VULN|2MLV|1DMG|1ASPD	1ASPD|24MLV|347aVULN|4BPWR|5RPLT|6RCR|8AART|9DMG
6	64322 16131	   	290.16	DCR|DCR|3VULN	134VULN|234BEXP|34BPWR|5BBNT|6DUST|7DUR|8aRCR|9AART
7	23522 32123	   	283.77	DCR|3VULN|3DMG|1ASPD|1CDMG	1ASPD|247VULN|349DMG|4BPWR|5RPLT|6RCR|8AART|aCDMG
8	61162 35233	 * 	283.30	ACR|DCR|4VULN|1DMG	123aVULN|2BPWR|49RCR|5DMSP|6MDPS|7DMG|8TLV
9	23125 52236	 * 	283.14	DCR|DCR|2VULN|2ASPD	14ASPD|24VULN|3RMIN|4BPWR|5LHND|6BEXP|7DUR|8aRCR|9TLV
10	23125 52226	   	283.04	DCR|DCR|2VULN|2ASPD	14ASPD|24VULN|3RMIN|4BPWR|5LHND|6BEXP|7DUR|8aRCR|9ERES
11	64322 11131	   	281.85	DCR|DCR|3VULN	134VULN|234BEXP|34BPWR|5BBNT|6DUST|7FEWX|8aRCR|9AART
12	26123 12632	 * 	281.40	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57FRZARM|8DUR|9RCR|aRPLT
13	26121 12632	   	281.20	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57CANTOX|8DUR|9RCR|aRPLT
14	26124 12632	   	281.20	DCR|4VULN|2MLV|2ASPD	17ASPD|24MLV|3467VULN|47BPWR|57CANARM|8DUR|9RCR|aRPLT
