0	Index      	 *	Score 	Summary	Detail	
1	11677 24311	 * 	291.81	DCR|DCR|3VULN|1DMG|1SELL	1MBVNT|29aVULN|3DMG|4LIT|5SELL|68RCR|7RCVC
2	11327 24311	 * 	285.40	DCR|DCR|3VULN|1ASPD|1SELL	1MBVNT|29aVULN|3LIT|4ASPD|5SELL|68RCR|7RCVC
3	14284 23287	 * 	278.15	DCR|DCR|2VULN|1DMG|1RPLT	1MBVNT|2DUST|3RPLT|4LIT|5AAC|6DMG|78RCR|9aVULN
4	11513 34823	 * 	274.83	DCR|DCR|2VULN|2ASPD	1MBVNT|28VULN|3BBNT|489LHND|5TBNT|68ASPD|7aRCR|8BPWR
5	11513 34883	   	274.83	DCR|DCR|2VULN|2ASPD	1MBVNT|28VULN|3BBNT|48LHND|5TBNT|68ASPD|7aRCR|8BPWR|9DMSP
6	11834 34823	   	274.83	DCR|DCR|2VULN|2ASPD	1MBVNT|28VULN|389LHND|48ASPD|5BBNT|6TBNT|7aRCR|8BPWR
7	11834 34883	   	274.83	DCR|DCR|2VULN|2ASPD	1MBVNT|28VULN|38LHND|48ASPD|5BBNT|6TBNT|7aRCR|8BPWR|9DMSP
8	11327 24315	   	274.39	DCR|DCR|2VULN|2ASPD|1SELL	1MBVNT|29VULN|3LIT|4aASPD|5SELL|68RCR|7RCVC
9	11612 22624	 * 	269.69	DCR|3VULN|2DMG|2MLV|2DUR	1MBVNT|27aVULN|3aDMG|47MLV|5RMIN|67CGEN|7aBPWR|8aDUR|9RCR
10	11711 22624	   	269.69	DCR|3VULN|2DMG|2MLV|2DUR	1MBVNT|27aVULN|3RMIN|4aMLV|57DMG|67CGEN|7aBPWR|8aDUR|9RCR
11	11677 24312	   	268.35	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|29VULN|3DMG|4LIT|5SELL|68RCR|7RCVC|aCGEN
12	11677 24313	   	268.35	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|29VULN|3DMG|4LIT|5SELL|68RCR|7RCVC|aLHND
13	11677 24314	   	268.35	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|29VULN|3DMG|4LIT|5SELL|68RCR|7RCVC|aBEXP
14	11677 24341	   	268.35	DCR|DCR|2VULN|1DMG|1SELL	1MBVNT|2aVULN|3DMG|4LIT|5SELL|68RCR|7RCVC|9FRZICY
15	26332 43431	   	266.59	DCR|DCR|2VULN|1AART	1DUR|2aLHND|3LIT|4AART|58VULN|6TBNT|79RCR
16	26332 43432	   	266.59	DCR|DCR|2VULN|1AART	1DUR|2LHND|3LIT|4AART|58VULN|6TBNT|79RCR|aRMIN
17	11231 53784	   	266.49	DCR|DCR|2VULN|1RPLT	1MBVNT|29VULN|3RPLT|4LHND|5DUR|6LWND|7BEXP|8aRCR
18	23214 34274	   	266.49	DCR|DCR|2VULN|1RPLT	1DUR|2BEXP|35VULN|4LWND|6LHND|7aRCR|8MBVNT|9RPLT
19	26332 43433	   	266.49	DCR|DCR|2VULN|1AART	1DUR|2LHND|3LIT|4AART|58VULN|6TBNT|79RCR|aDUST
20	11231 54784	   	266.39	DCR|DCR|2VULN|1RPLT	1MBVNT|29VULN|3RPLT|4LHND|5DUR|6LWND|7DUST|8aRCR
21	11734 32853	 * 	265.64	DCR|4VULN|2MLV|2DUR|1ASPD	1MBVNT|2479VULN|3RMIN|57MLV|67DUR|7BPWR|8ASPD|aRCR
22	11641 27212	 * 	263.39	DCR|4VULN|2DMG|1ASPD	1MBVNT|278aVULN|37DMG|4DUR|5ASPD|67AIRHEA|7BPWR|9RCR
23	11513 34523	   	262.18	DCR|DCR|2VULN|1ASPD	1MBVNT|28VULN|3BBNT|49LHND|5TBNT|6ASPD|7aRCR
24	11513 34583	   	262.18	DCR|DCR|2VULN|1ASPD	1MBVNT|28VULN|3BBNT|4LHND|5TBNT|6ASPD|7aRCR|9DMSP
25	11834 34523	   	262.18	DCR|DCR|2VULN|1ASPD	1MBVNT|28VULN|39LHND|4ASPD|5BBNT|6TBNT|7aRCR
26	11834 34583	   	262.18	DCR|DCR|2VULN|1ASPD	1MBVNT|28VULN|3LHND|4ASPD|5BBNT|6TBNT|7aRCR|9DMSP
27	11733 27613	   	262.08	DCR|DCR|2VULN|1CDMG	1MBVNT|24VULN|3RMIN|5TBNT|6CDMG|7aRCR|8LIT|9MDPS
28	11433 27613	   	261.98	DCR|DCR|2VULN|1CDMG	1MBVNT|24VULN|3ERES|5TBNT|6CDMG|7aRCR|8LIT|9MDPS
29	11327 24312	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|aCGEN
30	11327 24313	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|aLHND
31	11327 24314	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|aBEXP
32	11327 24316	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7aRCVC
33	11327 24318	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|aLWND
34	11327 24341	   	261.93	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|2aVULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|9FRZICY
35	11327 24317	   	261.83	DCR|DCR|2VULN|1ASPD|1SELL	1MBVNT|29VULN|3LIT|4ASPD|5SELL|68RCR|7RCVC|aERES
