0	Index      	 *	Score 	Summary	Detail	
1	11633 24523	 * 	267.61	DCR|DCR|1VULN|3DUR|1MLV|1AART	1BBNT|2BELT|369DUR|4MLV|5VULN|78RCR|aAART
2	11514 41111	 * 	258.29	DCR|DCR|2VULN|1RPLT	1BBNT|2BELT|36VULN|4FEWX|5TBNT|7DMSP|8aRCR|9RPLT
3	23336 22633	   	258.09	DCR|DCR|2VULN|1RPLT	1LWND|2LHND|3MDPS|4LIT|5ERES|6aVULN|79RCR|8RPLT
4	11633 24512	   	257.95	DCR|DCR|1VULN|3DUR|1MLV	1BBNT|2BELT|36aDUR|4MLV|5VULN|78RCR|9LWND
5	11633 24521	   	257.95	DCR|DCR|1VULN|3DUR|1MLV	1BBNT|2BELT|369DUR|4MLV|5VULN|78RCR|aCGEN
6	11633 24532	   	257.95	DCR|DCR|1VULN|3DUR|1MLV	1BBNT|2BELT|36aDUR|4MLV|5VULN|78RCR|9LHND
7	11633 24522	   	257.85	DCR|DCR|1VULN|3DUR|1MLV|1MSE	1BBNT|2BELT|369DUR|4MLV|5VULN|78RCR|aMSE
8	55123 33333	 * 	257.60	ACR|DCR|2DMG|1VULN|2RPLT|1ASPD	13RPLT|2aDMG|49RCR|5BASHEA|6MGNSTR|7ASPD|8VULN
9	63161 12333	   	257.31	DCR|DCR|1VULN|1ASPD|3ZMB|1AART	123ZMB|4RCVC|5AART|69RCR|7LIT|8ASPD|aVULN
10	55123 16223	 * 	254.54	ACR|DCR|2VULN|1DMG|2RPLT	13RPLT|2DMG|4aRCR|5BASHEA|6RCVC|78VULN|9BEXP
11	55123 33332	   	253.67	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD|1CDMG	13RPLT|2DMG|49RCR|5BASHEA|6MGNSTR|7ASPD|8VULN|aCDMG
12	11633 24511	   	252.94	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2BELT|36DUR|4MLV|5VULN|78RCR|9LWND|aTLV
13	11633 24531	   	252.94	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2BELT|36DUR|4MLV|5VULN|78RCR|9LHND|aTLV
14	11633 24513	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2BELT|36DUR|4MLV|5VULN|78RCR|9LWND|aMDPS
15	11633 24533	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2BELT|36DUR|4MLV|5VULN|78RCR|9LHND|aMDPS
16	11533 34522	   	252.84	DCR|DCR|1VULN|1MLV|2DUR	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9aDUR
17	11533 34512	   	246.29	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9LWND|aDUR
18	11533 34521	   	246.29	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9DUR|aTLV
19	11533 34523	   	246.19	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9DUR|aMDPS
20	11554 21111	   	245.07	DCR|DCR|1VULN|2DUR|1RPLT	1BBNT|2BELT|3VULN|46DUR|5TBNT|7DMSP|8aRCR|9RPLT
21	51423 32613	 * 	244.74	ACR|DCR|1VULN|2ASPD|2AART|1RPLT	1RPLT|2FEWX|3ERES|48RCR|56ASPD|7aAART|9VULN
22	52212 62214	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2CGEN|3CDMG|4TBNT|59BEXP|6VULN|7aRCR|8SPLJET
23	52212 62224	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2CGEN|3CDMG|4TBNT|5BEXP|6VULN|7aRCR|8SPLJET|9RCVC
24	52212 62234	   	243.76	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2CGEN|3CDMG|4TBNT|5BEXP|6VULN|7aRCR|8SPLJET|9DMSP
25	15411 11132	 * 	243.03	DCR|2VULN|2MLV|2ASPD|1CDMG|1RPLT	1BBNT|27ASPD|37VULN|4LIT|5TLV|67MLV|7BPWR|8RPLT|9CDMG|aRCR
26	14336 52434	   	242.31	DCR|DCR|1VULN|1CDMG	1BBNT|2DUST|3FEWX|4CDMG|5DUR|6MBVNT|78RCR|9RCVC|aVULN
27	14433 52434	   	242.31	DCR|DCR|1VULN|1CDMG	1BBNT|2DUST|3DUR|4CDMG|5FEWX|6MBVNT|78RCR|9RCVC|aVULN
28	11633 24123	 * 	240.48	DCR|2VULN|2MLV|3DUR|1DMG	1BBNT|2BELT|368DUR|48MLV|58VULN|7RCR|8BPWR|9DMG|aNUKE
29	55123 33334	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD	13RPLT|2DMG|49RCR|5BASHEA|6MGNSTR|7ASPD|8VULN|aBELT
30	55123 33335	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD	13RPLT|2DMG|49RCR|5BASHEA|6MGNSTR|7ASPD|8VULN|aBBNT
31	55122 22332	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1CDMG	13RPLT|2DMG|49RCR|5AAC|6CANTOX|7CANSTR|8VULN|aCDMG
32	55122 22333	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD	13RPLT|2DMG|49RCR|5AAC|6CANTOX|7CANSTR|8VULN|aASPD
33	55123 42332	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1CDMG	13RPLT|2DMG|49RCR|5BASHEA|6AAC|7CANSTR|8VULN|aCDMG
34	55123 42333	   	240.01	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD	13RPLT|2DMG|49RCR|5BASHEA|6AAC|7CANSTR|8VULN|aASPD
35	55123 33331	   	239.91	ACR|DCR|1VULN|1DMG|2RPLT|1ASPD	13RPLT|2DMG|49RCR|5BASHEA|6MGNSTR|7ASPD|8VULN|aDUST
36	22232 24441	   	238.42	DCR|DCR|1VULN|1RPLT	1LWND|2VULN|3LHND|4DLOT|5DUR|6RPLT|7FEWX|89RCR|aBEXP
37	22232 24442	   	238.42	DCR|DCR|1VULN|1RPLT	1LWND|2VULN|3LHND|4DLOT|5DUR|6RPLT|7FEWX|89RCR|aTLV
38	22232 24443	   	238.42	DCR|DCR|1VULN|1RPLT	1LWND|2VULN|3LHND|4DLOT|5DUR|6RPLT|7FEWX|89RCR|aTBNT
39	12431 34523	   	238.03	DCR|DCR|1VULN|1RPLT|2SELL	1BBNT|2BEXP|3DUR|4LHND|5VULN|67SELL|8aRCR|9RPLT
40	11533 34511	   	237.98	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9LWND|aTLV
41	11533 34533	   	237.98	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9TLV|aLHND
42	11533 34513	   	237.88	DCR|DCR|1VULN|1MLV|1MSE	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9LWND|aMSE
43	11533 34531	   	237.88	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9TLV|aERES
44	11533 34532	   	237.88	DCR|DCR|1VULN|1MLV	1BBNT|2BELT|3VULN|4MLV|5AELOIC|6BEXP|78RCR|9TLV|aDUST
