0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11312 46115	6	 * 	292.30	DCR|5VULN|2TLV|2DUR|1CDMG	1246aVULN|3RCVC|5CDMG|7aTLV|8aDUR|9RCR|aBPWR
2	11165 32324	5	 * 	291.64	DCR|4VULN|2DMG|2TLV|2LIT|1AART	1279VULN|36LIT|49TLV|5AART|89DMG|9BPWR|aRCR
3	62231 25115	7	 * 	291.62	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	17aTLV|2LWND|37aDMG|4CDMG|5DUR|67aVULN|7aBPWR|8RCR|9LEGI
4	11313 14515	5	 * 	280.27	DCR|4VULN|2TLV|2DUR|2CDMG	124aVULN|3RCVC|58TLV|6aCDMG|7aDUR|9RCR|aBPWR
5	11313 42515	6	   	280.27	DCR|4VULN|2TLV|2DUR|2CDMG	124aVULN|3RCVC|58TLV|6aDUR|7aCDMG|9RCR|aBPWR
6	42715 14431	7	 * 	279.46	DCR|3VULN|3DMG|3CDMG|1DUR|1AART	1RMIN|2MBVNT|3AART|478VULN|578CDMG|678DMG|78BPWR|9DUR|aRCR
7	11313 14615	5	 * 	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	124aVULN|3RCVC|5TLV|68aCDMG|7aDUR|9RCR|aBPWR
8	11313 42615	6	   	278.23	DCR|4VULN|2DUR|1TLV|3CDMG	124aVULN|3RCVC|5TLV|6aDUR|78aCDMG|9RCR|aBPWR
9	11123 61514	10	 * 	277.65	DCR|5VULN|3DUR|3LIT	1259aVULN|39aLIT|4RPLT|69aDUR|7RMIN|8RCR|9aBPWR
10	62231 25143	7	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|29LWND|37DMG|4CDMG|5DUR|67aVULN|7BPWR|8RCR
11	13312 46115	6	   	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	146aVULN|23RCVC|5CDMG|7aTLV|8aDUR|9RCR|aBPWR
12	31312 46115	6	   	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	1DMSP|246aVULN|3RCVC|5CDMG|7aTLV|8aDUR|9RCR|aBPWR
13	13165 32324	5	   	270.59	DCR|3VULN|2DMG|2TLV|2LIT|1AART	179VULN|2RCVC|36LIT|49TLV|5AART|89DMG|9BPWR|aRCR
14	31165 32324	5	   	270.59	DCR|3VULN|2DMG|2TLV|2LIT|1AART	1DMSP|279VULN|36LIT|49TLV|5AART|89DMG|9BPWR|aRCR
15	11311 16452	8	 * 	268.62	DCR|3VULN|2DMG|2DUR|1TLV	124VULN|3RCVC|59DUR|68DMG|7RCR|aTLV
16	36343 32251	4	 * 	267.88	DCR|3VULN|3DUR|1DMG|2CDMG|1AART	1DMSP|27CDMG|3AART|47aVULN|579DUR|6RCR|7BPWR|8DMG
17	11623 71464	5	 * 	267.80	DCR|5VULN|1TLV|1DMG	1267aVULN|3ASPD|4TLV|5MBVNT|8RCR|9DMG
18	15531 31163	7	   	267.79	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	19aVULN|24FEWX|34DMG|4BPWR|5CDMG|6TLV|7DUR|8RCR
19	11451 31263	10	   	267.45	DCR|5VULN|3DUR|1AART	12789VULN|3LWND|478BEXP|578DUR|6RCR|78BPWR|aAART
20	11551 31263	10	   	267.45	DCR|5VULN|3DUR|1AART	12789VULN|3LHND|478BEXP|578DUR|6RCR|78BPWR|aAART
21	11416 31263	10	   	267.45	DCR|5VULN|3DUR|1AART	12789VULN|3LWND|478DUR|578BEXP|6RCR|78BPWR|aAART
22	11113 31654	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9MLV|aRCR
23	11113 31661	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aMLV
24	11113 31662	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aLHND
25	11113 31664	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aFEWX
26	11113 31665	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aCGEN
27	11113 31666	5	   	267.40	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aZMB
28	11113 31663	5	   	267.30	DCR|4VULN|2TLV|2CDMG|1AART	1268VULN|3LIT|48CDMG|5AART|78TLV|8BPWR|9RCR|aDUST
29	11232 36423	10	   	267.09	DCR|3VULN|3DMG|1TLV|1CDMG	12aVULN|3CGEN|458DMG|6TLV|7RCR|9CDMG
30	11123 61514	9	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	1259VULN|39LIT|4RPLT|69DUR|7RMIN|8RCR|9BPWR|aTLV
