0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41343 32621	6	 * 	285.24	DCR|3VULN|3DMG|3ASPD|1DUR|1SELL	1SELL|269ASPD|3DUR|49aVULN|569DMG|69BPWR|7RPLT|8RCR
2	23653 32254	3	 * 	282.96	DCR|3VULN|3DUR|2DMG|1TLV	1RMIN|239DUR|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aTLV
3	23152 21212	3	 * 	282.56	DCR|3VULN|3DMG|3DUR	135RMIN|278DUR|47aDMG|67aVULN|7aBPWR|9RCR
4	26452 21212	2	   	282.56	DCR|3VULN|3DMG|3DUR	125RMIN|378DUR|47aDMG|67aVULN|7aBPWR|9RCR
5	23344 41212	6	   	282.36	DCR|3VULN|3DMG|3DUR	1RMIN|278DUR|3aDUST|47aVULN|57aDMG|6LEGI|7aBPWR|9RCR
6	23653 32253	3	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1RMIN|239DUR|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aCDMG
7	61343 32621	6	 * 	278.54	DCR|2VULN|3DMG|3ASPD|2CDMG|1DUR	19CDMG|269ASPD|3DUR|4aVULN|569DMG|69BPWR|7RPLT|8RCR
8	66241 24143	10	 * 	278.50	DCR|4VULN|2DUR|1DMG|2CDMG	19CDMG|249aVULN|3MLV|5DMG|6MBVNT|7RCR|89DUR|9BPWR
9	23653 32251	3	   	277.71	DCR|3VULN|3DUR|2DMG|1ASPD	1RMIN|239DUR|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aASPD
10	45241 24143	10	 * 	275.88	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|249aVULN|3MLV|59DMG|6MBVNT|7RCR|89DUR|9BPWR
11	61311 11418	2	 * 	274.14	DCR|4VULN|3ASPD|3CDMG|1AART	138CDMG|238ASPD|38BPWR|4789VULN|5AART|6MBVNT|aRCR
12	22221 23513	3	 * 	273.58	DCR|4VULN|3LIT|1DMG|1TLV|1AART	1RMIN|2TLV|356LIT|456aVULN|56BPWR|7DMG|8RCR|9AART
13	21632 32258	1	 * 	272.91	DCR|4VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|469aVULN|7MBVNT|8RCR|9BPWR
14	23632 32258	2	   	272.91	DCR|4VULN|3DUR|2ASPD	1RMIN|259DUR|39ASPD|469aVULN|7MBVNT|8RCR|9BPWR
15	61633 33263	6	 * 	268.88	DCR|4VULN|2ASPD|1DMG|2CDMG	17CDMG|26ASPD|3MLV|4DMG|569aVULN|6BPWR|8RCR
16	61633 34223	7	   	268.88	DCR|4VULN|2ASPD|1DMG|2CDMG	19CDMG|26ASPD|3MLV|4DMG|567aVULN|6BPWR|8RCR
17	23613 32352	4	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RMIN|23DUR|4TLV|569aVULN|7CDMG|8RCR
18	23615 32352	6	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RMIN|23DUR|4TLV|569aVULN|7CDMG|8RCR
19	23615 32352	5	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RMIN|23DUR|4TLV|569aVULN|7CDMG|8RCR
20	21123 32352	1	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RMIN|24DUR|3TLV|569aVULN|7CDMG|8RCR
21	23123 32352	2	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RMIN|24DUR|3TLV|569aVULN|7CDMG|8RCR
22	23553 32313	4	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1RMIN|2aDUR|356aVULN|4MLV|7CDMG|8RCR|9aLIT|aBPWR
23	23555 32313	6	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1RMIN|2aDUR|356aVULN|4MLV|7CDMG|8RCR|9aLIT|aBPWR
24	23555 32313	5	   	267.08	DCR|4VULN|2DUR|2LIT|1CDMG	1RMIN|2aDUR|356aVULN|4MLV|7CDMG|8RCR|9aLIT|aBPWR
25	23523 62313	4	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG	1RMIN|2aDUR|356aVULN|4ERES|7CDMG|8RCR|9aLIT|aBPWR
26	23525 62313	5	   	266.98	DCR|4VULN|2DUR|2LIT|1CDMG	1RMIN|2aDUR|356aVULN|4ERES|7CDMG|8RCR|9aLIT|aBPWR
27	23152 21213	3	   	266.81	DCR|3VULN|3DUR|2DMG	135RMIN|278DUR|47DMG|67aVULN|7BPWR|9RCR
28	26452 21213	2	   	266.81	DCR|3VULN|3DUR|2DMG	125RMIN|378DUR|47DMG|67aVULN|7BPWR|9RCR
29	23653 32252	3	   	266.71	DCR|3VULN|3DUR|2DMG	1RMIN|239DUR|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aCGEN
30	23344 41213	6	   	266.61	DCR|3VULN|3DUR|2DMG	1RMIN|278DUR|3DUST|47aVULN|57DMG|6LEGI|7BPWR|9RCR
31	21632 32255	1	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	1RMIN|259DUR|39ASPD|469VULN|7MBVNT|8RCR|9BPWR|aTLV
32	23632 32255	2	   	266.52	DCR|3VULN|3DUR|2ASPD|1TLV	1RMIN|259DUR|39ASPD|469VULN|7MBVNT|8RCR|9BPWR|aTLV
33	56223 23243	1	   	265.35	DCR|4VULN|3DUR|1CDMG	19LWND|2DUST|3569VULN|489DUR|7RCR|9BPWR|aCDMG
34	54221 23621	3	   	263.92	DCR|4VULN|3LIT|1DMG|1DUR	12LWND|356LIT|4569VULN|56BPWR|7DMG|8DUR|aRCR
35	61633 36223	6	 * 	263.83	DCR|3VULN|2DMG|2ASPD|2CDMG	19CDMG|26ASPD|3MLV|47DMG|56aVULN|6BPWR|8RCR
36	22221 23534	3	   	263.82	DCR|4VULN|3LIT|1DMG|1TLV	1RMIN|2TLV|356LIT|456aVULN|56BPWR|7DMG|8RCR|9ERES
37	22221 23563	3	   	263.82	DCR|4VULN|3LIT|1DMG|1TLV	1RMIN|2TLV|356LIT|456aVULN|56BPWR|7DMG|8RCR|9TBNT
38	33263 36343	2	   	262.87	DCR|3VULN|3DUR|1DMG|1CDMG	19LHND|239DUR|4DMG|5ZMB|679VULN|8RCR|9BPWR|aCDMG
39	56223 23241	1	   	262.70	DCR|4VULN|3DUR|1ASPD	19LWND|2DUST|3569VULN|489DUR|7RCR|9BPWR|aASPD
40	61633 31263	7	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1CDMG|26ASPD|3MLV|4DMG|569aVULN|6BPWR|7DMSP|8RCR
41	61633 34233	7	   	262.57	DCR|4VULN|2ASPD|1DMG|1CDMG	1CDMG|26ASPD|39MLV|4DMG|567aVULN|6BPWR|8RCR
42	22221 23511	3	   	261.94	DCR|3VULN|3LIT|1DMG|1TLV|1ASPD|1AART	1RMIN|2TLV|356LIT|456VULN|56BPWR|7DMG|8RCR|9AART|aASPD
43	61611 11472	2	 * 	261.94	DCR|3VULN|3CDMG|2ASPD|1DMG|1AART	138CDMG|28ASPD|478VULN|5AART|6MBVNT|8BPWR|9RCR|aDMG
44	21353 32256	1	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|29DUR|3RCVC|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aLIT
45	23153 32256	3	   	261.79	DCR|3VULN|2DMG|2DUR	13RMIN|29DUR|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aLIT
46	23353 32256	2	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|29DUR|3RCVC|49DMG|569VULN|7MBVNT|8RCR|9BPWR|aLIT
47	33263 36341	2	   	260.23	DCR|3VULN|3DUR|1DMG|1ASPD	19LHND|239DUR|4DMG|5ZMB|679VULN|8RCR|9BPWR|aASPD
48	61325 61213	4	 * 	259.93	DCR|3VULN|3DUR|2CDMG|1ASPD	1aCDMG|2ASPD|37aDUR|4LEGI|56aVULN|8RCR|9BBNT|aBPWR
49	21661 21212	1	 * 	259.89	DCR|3VULN|3DUR|3ASPD	1RMIN|278DUR|37aASPD|4LHND|5aDUST|67aVULN|7aBPWR|9RCR
50	23661 21212	2	   	259.89	DCR|3VULN|3DUR|3ASPD	1RMIN|278DUR|37aASPD|4LHND|5aDUST|67aVULN|7aBPWR|9RCR
51	23615 21352	9	 * 	259.86	DCR|2VULN|3DUR|2DMG|2TLV	1RMIN|238DUR|4aTLV|5aVULN|6aDMG|7RCR|9BELT|aBPWR
52	21612 37251	1	   	259.79	DCR|3VULN|3DUR|3ASPD	1RMIN|259DUR|39aASPD|4MBVNT|679VULN|8RCR|9BPWR
53	21632 32251	1	   	259.79	DCR|3VULN|3DUR|3ASPD	1RMIN|259DUR|39aASPD|469VULN|7MBVNT|8RCR|9BPWR
54	23612 37251	2	   	259.79	DCR|3VULN|3DUR|3ASPD	1RMIN|259DUR|39aASPD|4MBVNT|679VULN|8RCR|9BPWR
55	23625 32251	4	   	259.79	DCR|3VULN|3DUR|3ASPD	1RMIN|239DUR|469VULN|59aASPD|7MBVNT|8RCR|9BPWR
56	23632 32251	2	   	259.79	DCR|3VULN|3DUR|3ASPD	1RMIN|259DUR|39aASPD|469VULN|7MBVNT|8RCR|9BPWR
57	62352 26232	9	 * 	259.76	DCR|2VULN|3DUR|2DMG|2CDMG	17CDMG|234DUR|57VULN|67DMG|7BPWR|8RCVC|9LEGI|aRCR
58	41112 21623	2	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3BEXP|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9TBNT
59	41112 21643	2	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3BEXP|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9BBNT
60	41212 21623	2	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3FEWX|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9TBNT
61	41212 21643	2	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3FEWX|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9BBNT
62	41412 21623	3	   	259.75	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3BEXP|4RPLT|57aDUR|67aVULN|7aBPWR|8RCR|9TBNT
63	41113 51623	3	   	259.65	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|27aASPD|3DUST|4RPLT|57aVULN|67aDUR|7aBPWR|8RCR|9TBNT
64	41312 36241	3	   	259.65	DCR|3VULN|3DUR|3ASPD|1SELL	1SELL|29aASPD|359DUR|4RPLT|679VULN|8RCR|9BPWR
65	51523 23233	4	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2TLV|356VULN|4DMG|7LIT|8RCR|9CDMG|aDUR
66	51525 23233	5	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2TLV|356VULN|4DMG|7LIT|8RCR|9CDMG|aDUR
67	22221 23251	3	 * 	258.86	DCR|3VULN|2DMG|3LIT|1TLV	1RMIN|2TLV|356LIT|456VULN|56BPWR|78DMG|9LHND|aRCR
68	54221 23631	3	   	258.86	DCR|3VULN|2DMG|3LIT|1DUR	12LWND|356LIT|456VULN|56BPWR|79DMG|8DUR|aRCR
69	21123 32353	1	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|24aDUR|3TLV|569VULN|7CDMG|8RCR
70	23123 32353	2	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|24aDUR|3TLV|569VULN|7CDMG|8RCR
71	23613 32353	4	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
72	23615 32353	5	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
73	23615 32353	6	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1RMIN|23aDUR|4TLV|569VULN|7CDMG|8RCR
74	61112 21514	2	   	258.77	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	17CDMG|27ASPD|3BEXP|4RPLT|5DUR|678VULN|7BPWR|9TLV|aRCR
