0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33162 25523	8	 * 	300.55	DCR|5VULN|3DMG|3TLV	178TLV|2789aVULN|3RPLT|457DMG|6RCR|78BPWR
2	33162 25231	10	   	297.26	DCR|4VULN|3DMG|2TLV|1DUR	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aDUR
3	33162 25521	8	   	297.26	DCR|4VULN|3DMG|3TLV|1DUR	178TLV|2789VULN|3RPLT|457DMG|6RCR|78BPWR|aDUR
4	33162 25232	10	   	294.66	DCR|4VULN|3DMG|2TLV|1CDMG	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aCDMG
5	33162 25234	10	   	292.01	DCR|4VULN|3DMG|2TLV|1ASPD	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aASPD
6	33162 25112	9	   	288.27	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	17TLV|279VULN|3RPLT|457DMG|6RCR|7BPWR|8CDMG|aDUR
7	33162 25533	10	   	288.27	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG	178TLV|278VULN|3RPLT|457DMG|6RCR|78BPWR|9DUR|aCDMG
8	33265 33431	10	   	283.48	DCR|3VULN|2DMG|2TLV|1DUR|2LIT	1aTLV|25aVULN|3DUR|49DMG|6AART|7aLIT|8RCR|aBPWR
9	23162 25533	10	   	281.31	DCR|4VULN|3DMG|2TLV	178aCGEN|278aVULN|3RPLT|457DMG|6RCR|78aBPWR|9aTLV
10	23162 25233	10	   	281.21	DCR|4VULN|3DMG|2TLV	17aCGEN|278aVULN|3RPLT|457DMG|6RCR|7aBPWR|9aTLV
11	33162 25232	9	   	281.01	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aBELT
12	33162 25233	10	   	281.01	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aFEWX
13	33162 25234	9	   	281.01	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aRMIN
14	33162 25235	9	   	281.01	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aLHND
15	33162 25236	10	   	281.01	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aBEXP
16	33162 25522	8	   	281.01	DCR|4VULN|3DMG|3TLV	178TLV|2789VULN|3RPLT|457DMG|6RCR|78BPWR|aCGEN
17	33162 25533	8	   	281.01	DCR|4VULN|3DMG|3TLV	178TLV|278aVULN|3RPLT|457DMG|6RCR|78BPWR|9DMSP
18	33162 25231	9	   	280.91	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aBBNT
19	33162 25233	9	   	280.91	DCR|4VULN|3DMG|3TLV	17aTLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR
20	33162 25236	9	   	280.91	DCR|4VULN|3DMG|2TLV	17TLV|2789VULN|3RPLT|457DMG|6RCR|7BPWR|aDUST
21	33265 33411	10	 * 	280.48	DCR|3VULN|2DUR|2TLV|1DMG|2LIT	1aTLV|25aVULN|39DUR|4DMG|6AART|7aLIT|8RCR|aBPWR
22	23162 25235	10	   	277.29	DCR|4VULN|3DMG|1TLV	17CGEN|278aVULN|3RPLT|457DMG|6RCR|7BPWR|9TLV
23	55162 23231	10	   	277.29	DCR|4VULN|3DMG|1DUR	1RPLT|27MLV|3789VULN|457DMG|6RCR|7BPWR|aDUR
24	55162 23233	9	   	277.29	DCR|4VULN|3DMG|1TLV	1RPLT|27MLV|3789VULN|457DMG|6RCR|7BPWR|aTLV
25	33213 22262	10	 * 	276.60	DCR|3VULN|3ASPD|2CDMG|1TLV|1DUR	1TLV|26aVULN|3DUR|4LIT|56aASPD|6aBPWR|7ERES|8RCR|9aCDMG
26	33222 52266	5	   	275.36	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|28aVULN|37DUR|4CDMG|5AART|6DMG|9RCR
27	33223 52266	4	   	275.36	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1TLV|28aVULN|37DUR|4CDMG|5AART|6DMG|9RCR
