0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23232 33232	5	 * 	260.20	DCR|4VULN|3LIT|1DUR|1TLV	137LHND|257LIT|4579VULN|57BPWR|6RCR|8TLV|aDUR
2	11542 12431	8	 * 	259.58	ACR|4VULN|3DMG|3ASPD	1RCR|29aASPD|3ERES|459aVULN|6LWND|7LHND|89aDMG|9aBPWR
3	23232 34331	5	 * 	258.81	DCR|4VULN|1DMG|1DUR|2LIT	13LHND|25LIT|457aVULN|5BPWR|6RCR|8DUR|9DMG
4	63412 53323	6	 * 	257.23	DCR|4VULN|3TLV|1DMG|1AART	1ZMB|2AART|346aVULN|567TLV|6BPWR|8DMG|9RCR
5	23232 33236	5	   	254.96	DCR|4VULN|3LIT|1TLV|1ASPD	137LHND|257LIT|4579VULN|57BPWR|6RCR|8TLV|aASPD
6	12622 31243	10	 * 	252.24	ACR|4VULN|2DMG|2DUR	1RCR|2BELT|368aVULN|4LIT|5aDMG|7RPLT|9aDUR|aBPWR
7	66131 14218	9	 * 	251.90	DCR|4VULN|3DUR	17aZMB|25BELT|379aVULN|4MBVNT|67aDUR|7aBPWR|8RCR
8	66131 14218	8	   	251.90	DCR|4VULN|3DUR	17aZMB|25BELT|379aVULN|4MBVNT|67aDUR|7aBPWR|8RCR
9	12563 11142	6	 * 	250.59	ACR|3VULN|3DMG|2DUR|1CDMG	1RCR|2BELT|3RPLT|48DUR|5CDMG|68aVULN|789DMG|8BPWR
10	11542 26331	4	 * 	250.24	ACR|4VULN|3DUR|3ASPD	1RCR|29aASPD|3ERES|459aVULN|6MBVNT|79aDUR|8RMIN|9aBPWR
11	11542 26331	5	   	250.24	ACR|4VULN|3DUR|3ASPD	1RCR|29aASPD|3ERES|459aVULN|6MBVNT|79aDUR|8RMIN|9aBPWR
12	23232 34341	5	   	249.75	DCR|4VULN|1DUR|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6RCR|8DUR|9ASPD
13	23232 34363	5	   	249.75	DCR|4VULN|1DUR|2LIT|1ASPD	13LHND|25LIT|4579VULN|5BPWR|6RCR|8DUR|aASPD
14	23232 34541	5	   	249.75	DCR|4VULN|1DUR|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6RCR|8ASPD|9DUR
15	23232 64531	6	   	249.75	DCR|4VULN|1DUR|2LIT|1ASPD	13LHND|25LIT|457aVULN|5BPWR|6DUR|8ASPD|9RCR
16	11641 32613	2	   	249.12	ACR|4VULN|2ASPD|1DMG|1TLV|1DUR	1RCR|26ASPD|3568VULN|4DMSP|6BPWR|7TLV|9DUR|aDMG
17	11651 32613	3	   	249.12	ACR|4VULN|2ASPD|1DMG|1TLV|1DUR	1RCR|26ASPD|3RCVC|4568VULN|6BPWR|7TLV|9DUR|aDMG
18	12431 32635	1	   	248.54	ACR|3VULN|2DMG|2DUR|1TLV|1ASPD	1RCR|2RMIN|39DMG|4CGEN|59aVULN|6ASPD|7TLV|89DUR|9BPWR
