0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25234 13431	8	 * 	278.63	DCR|4VULN|3LIT|1DMG|2CDMG|1ASPD	168LIT|2789VULN|3ASPD|4DMG|58CDMG|8BPWR|aRCR
2	12432 66223	4	 * 	274.35	DCR|4VULN|3DMG|1CDMG|1SELL	1LHND|258DMG|3567VULN|4SELL|5BPWR|9RCR|aCDMG
3	25234 33431	8	 * 	273.58	DCR|3VULN|2DMG|3LIT|2CDMG|1ASPD	189LIT|278VULN|3ASPD|46DMG|58CDMG|8BPWR|aRCR
4	24333 16143	4	   	272.24	DCR|3VULN|2DMG|3LIT|2CDMG|1AART	16aLIT|23DMG|4aCDMG|58aVULN|7RCR|9AART|aBPWR
5	24531 61313	10	 * 	271.26	DCR|3VULN|3DMG|1CDMG|1ASPD	1LIT|246DMG|356VULN|6BPWR|7ASPD|8LWND|9CDMG|aRCR
6	24432 25411	8	 * 	269.65	DCR|4VULN|2DMG|1DUR	1LIT|24DMG|3DUR|5MBVNT|689aVULN|7RCR
7	24531 36211	8	   	269.65	DCR|4VULN|2DMG|1DUR	1LIT|24DMG|359aVULN|6DUST|7DUR|8RCR
8	24351 15411	8	   	269.65	DCR|4VULN|2DMG|1DUR	1LIT|23DMG|4MBVNT|589aVULN|6DUR|7RCR
9	24531 13242	5	 * 	269.05	DCR|4VULN|3DMG	1LIT|247DMG|359aVULN|6BBNT|8RCR
10	24533 13242	4	   	269.05	DCR|4VULN|3DMG	1LIT|247DMG|359aVULN|6BBNT|8RCR
11	26363 51211	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1LIT|2TLV|3DMG|469aVULN|5DUR|7RMIN|8RCR
12	26363 52211	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1LIT|2TLV|3DMG|469aVULN|5DUR|7MLV|8RCR
13	26533 51211	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1LIT|2TLV|369aVULN|4DMG|5DUR|7RMIN|8RCR
14	26533 52211	8	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1LIT|2TLV|369aVULN|4DMG|5DUR|7MLV|8RCR
15	12133 66224	6	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aTLV
16	12133 66224	5	   	268.10	DCR|3VULN|3DMG|1TLV|1CDMG	1LHND|248DMG|3CDMG|567VULN|9RCR|aTLV
17	21421 14632	6	 * 	266.66	DCR|4VULN|3DUR|2LIT	18LIT|24CGEN|368DUR|578aVULN|8BPWR|9RCR
18	25534 54342	5	 * 	265.60	DCR|3VULN|2DUR|3LIT|1TLV|1CDMG	149LIT|269VULN|3MBVNT|5CDMG|7TLV|89DUR|9BPWR|aRCR
19	42221 15513	2	   	263.18	DCR|3VULN|3DUR|1TLV|1AART	1TLV|2AART|359DUR|457VULN|5BPWR|6ERES|8LIT|aRCR
20	24531 36232	9	   	262.66	DCR|3VULN|3DMG|1DUR	1LIT|249DMG|35aVULN|6DUST|7DUR|8RCR
21	24316 33315	10	 * 	262.56	DCR|2VULN|3DMG|2CDMG|1TLV|2LIT	19LIT|239DMG|4TLV|57VULN|69CDMG|8RMIN|9BPWR|aRCR
