0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11625 34132	1	 * 	291.68	DCR|4VULN|3DMG|2DUR	158DUST|249DMG|3469VULN|49BPWR|79DUR|aRCR
2	51325 23334	10	   	289.90	DCR|3VULN|3DMG|2DUR|1ASPD|1AART	1aDUR|2AART|3RPLT|4ASPD|59aDMG|68aVULN|7RCR|aBPWR
3	53332 26122	1	 * 	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	159DUR|24aVULN|3LHND|6aDMG|7RCR|8aASPD|aBPWR
4	53522 26122	1	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	159DUR|23aVULN|4LHND|6aDMG|7RCR|8aASPD|aBPWR
5	56332 26122	2	   	288.02	DCR|3VULN|3DUR|2DMG|2ASPD	159DUR|24aVULN|3LHND|6aDMG|7RCR|8aASPD|aBPWR
6	53332 26234	1	 * 	282.46	DCR|3VULN|3DMG|3DUR	158DUR|249VULN|39LHND|69aDMG|7RCR|9BPWR
7	61251 61233	4	 * 	281.01	DCR|4VULN|3DMG|3TLV	17aTLV|279aVULN|3BELT|4RPLT|57aDMG|6MBVNT|7aBPWR|8RCR
8	31332 21233	10	 * 	280.66	DCR|4VULN|3DMG|2CDMG|1SELL	1SELL|28CDMG|357DMG|468aVULN|8BPWR|9RCR
9	53333 26622	1	 * 	277.98	DCR|5VULN|2DUR|1DMG	1aDUR|24589VULN|3LHND|6DMG|7RCR
10	62225 23142	10	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	1TLV|24DMG|356aVULN|7CGEN|8DUR|9RCR
11	62223 26622	7	   	276.30	DCR|4VULN|2DMG|1TLV|2LIT	1TLV|24DMG|379aVULN|56LIT|8RCR
12	62223 53622	7	   	276.30	DCR|4VULN|2DMG|1TLV|2LIT	1TLV|24DMG|369aVULN|57LIT|8RCR
13	62233 16131	3	 * 	274.90	ACR|4VULN|2DMG|2DUR|2TLV|1ASPD	17TLV|27DMG|3467VULN|5RCR|7BPWR|89DUR|aASPD
14	53335 26222	1	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2459VULN|35LHND|5BPWR|6DMG|7RCR|aTLV
15	53333 26222	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2459VULN|3LHND|6DMG|7RCR|aTLV
16	53523 26222	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2359VULN|4LHND|6DMG|7RCR|aTLV
17	53531 26222	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2349VULN|5LWND|6DMG|7RCR|aTLV
18	56333 26222	2	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	18DUR|2459VULN|3LHND|6DMG|7RCR|aTLV
19	53332 26622	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	15DUR|2489VULN|3LHND|6DMG|7RCR|aTLV
20	31332 21236	10	 * 	274.27	DCR|3VULN|3DMG|2CDMG|1TLV|1SELL	1SELL|28CDMG|357DMG|468VULN|8BPWR|9RCR|aTLV
21	62225 21613	10	   	273.76	DCR|3VULN|3DMG|1TLV|1ASPD	1TLV|247DMG|356VULN|8ASPD|9LIT|aRCR
22	53333 26611	1	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUR|2458VULN|3LHND|6DMG|7RCR|9CDMG|aTLV
23	31331 43243	10	 * 	273.30	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|28CDMG|38DMG|46aVULN|5BEXP|78DUR|8BPWR|9RCR
24	31335 63243	10	 * 	273.30	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|28CDMG|38DMG|45aVULN|6BEXP|78DUR|8BPWR|9RCR
25	56122 38324	3	 * 	272.81	ACR|4VULN|3DMG|3DUR	17aDUR|267aVULN|3MBVNT|47aDMG|5RCR|7aBPWR|8BBNT|9RMIN
26	56122 74324	3	   	272.81	ACR|4VULN|3DMG|3DUR	17aDUR|278aVULN|3MBVNT|47aDMG|5RCR|6BBNT|7aBPWR|9RMIN
27	31212 23262	10	 * 	272.53	DCR|3VULN|3ASPD|2DUR|3CDMG|1SELL	1SELL|248CDMG|389VULN|5DUST|69DUR|789ASPD|89BPWR|aRCR
28	62233 16112	3	   	272.20	ACR|4VULN|2DMG|2DUR|2TLV	17TLV|27DMG|3467VULN|5RCR|7BPWR|8aDUR|9LIT
29	53333 26613	1	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|2458VULN|3LHND|6DMG|7RCR|9CDMG
30	53335 26221	1	 * 	271.76	DCR|4VULN|3DUR|1DMG	18aDUR|2459VULN|35LHND|5BPWR|6DMG|7RCR
31	53333 26221	1	   	271.66	DCR|4VULN|3DUR|1DMG	18aDUR|2459VULN|3LHND|6DMG|7RCR
32	53523 26221	1	   	271.66	DCR|4VULN|3DUR|1DMG	18aDUR|2359VULN|4LHND|6DMG|7RCR
