0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26251 33633	4	 * 	305.20	DCR|4VULN|3DMG|3DUR	145aVULN|2RPLT|345DMG|45aBPWR|6RCVC|78aDUR|9RCR
2	21321 63162	2	 * 	295.86	DCR|5VULN|2DMG|2DUR	1389aVULN|23DUR|39BPWR|49DMG|579LHND|6RCR
3	26253 61223	8	   	295.25	DCR|3VULN|3DMG|2DUR|1TLV	149VULN|2RPLT|349DMG|49BPWR|5LWND|6AART|7TLV|89DUR|aRCR
4	21322 62244	2	   	291.88	DCR|4VULN|3DMG|2DUR	1369VULN|23DUR|39BPWR|479DMG|5TBNT|89LWND|aRCR
5	21322 62144	2	   	291.68	DCR|4VULN|3DMG|2DUR	1369VULN|23DUR|39BPWR|479DMG|5TBNT|89DUST|aRCR
6	25611 26332	10	   	289.81	DCR|4VULN|2DMG|2CDMG|1DUR	1379VULN|2LIT|49DMG|5ERES|6DUR|89CDMG|9BPWR|aRCR
7	21333 15216	2	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	137aVULN|237DUR|37BPWR|4CGEN|5ERES|67ASPD|8RCR|9TLV
8	26551 31233	8	 * 	288.85	DCR|5VULN|3ASPD|2DUR	1456aVULN|2RPLT|347ASPD|4aBPWR|8aDUR|9RCR
9	21323 35216	2	   	288.11	DCR|4VULN|3DUR|1DMG|1TLV	137aVULN|237DUR|37BPWR|4DMG|5ERES|67CGEN|8RCR|9TLV
10	21325 13116	2	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	138aVULN|235DUR|3BPWR|4DMG|6RCR|7LWND|9TLV
11	21325 13156	2	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1389VULN|235DUR|3BPWR|4DMG|6RCR|7LWND|aTLV
12	21325 41216	2	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	136aVULN|235DUR|3BPWR|4DMG|7FEWX|8RCR|9TLV
13	21325 42216	2	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	136aVULN|235DUR|3BPWR|4DMG|7LWND|8RCR|9TLV
