0	Index      	Bounty	 *	Score 	Summary	Detail	
1	25332 46111	6	 * 	297.78	DCR|3VULN|3DUR|2DMG|2CDMG|1ASPD	19DMG|245DUR|3ASPD|69CDMG|7RCR|89aVULN|9BPWR
2	22125 25622	5	 * 	295.76	DCR|5VULN|2DMG|2DUR	18DMG|2BEXP|3468aVULN|58DUR|7RPLT|8BPWR|9RCR
3	22126 25622	6	   	295.76	DCR|5VULN|2DMG|2DUR	18DMG|2BEXP|3458aVULN|68DUR|7RPLT|8BPWR|9RCR
4	23125 25622	5	   	295.76	DCR|5VULN|2DMG|2DUR	18DMG|2LWND|3468aVULN|58DUR|7RPLT|8BPWR|9RCR
5	23126 25622	6	   	295.76	DCR|5VULN|2DMG|2DUR	18DMG|2LWND|3458aVULN|68DUR|7RPLT|8BPWR|9RCR
6	25125 31512	10	 * 	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LWND|aTLV
7	25125 31532	10	   	291.05	DCR|3VULN|2DMG|2DUR|2ASPD|1TLV	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aTLV
8	22335 36243	4	 * 	286.49	DCR|2VULN|3DMG|3DUR|3ASPD	179DMG|2BEXP|379ASPD|457DUR|6DMSP|79BPWR|89VULN|aRCR
9	22125 25623	5	   	284.53	DCR|4VULN|2DMG|2DUR	18DMG|2BEXP|3468VULN|58DUR|7RPLT|8BPWR|9RCR|aLIT
10	22126 25623	6	   	284.53	DCR|4VULN|2DMG|2DUR	18DMG|2BEXP|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aLIT
11	23125 25623	5	   	284.53	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|3468VULN|58DUR|7RPLT|8BPWR|9RCR|aLIT
12	23126 25623	6	   	284.53	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aLIT
13	25125 31522	8	 * 	284.22	DCR|3VULN|2DMG|3ASPD|2DUR	18DMG|25DUR|348VULN|68aASPD|7RCR|8BPWR|9DUST
14	25125 31511	8	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LIT|aDMSP
15	25125 31512	8	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LIT|aCGEN
16	25125 31513	8	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LIT|aBEXP
17	25125 31512	9	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LWND|aLIT
18	25125 31513	10	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LWND|aLIT
19	25125 31532	9	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aLIT
20	25125 31533	10	   	283.10	DCR|3VULN|2DMG|2DUR|2ASPD	18DMG|25DUR|348VULN|68ASPD|7RCR|8BPWR|9LHND|aLIT
21	25152 14222	3	   	279.20	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|24DUR|3469VULN|4BPWR|5AART|7RCR|8ASPD|aDMSP
22	25152 14223	3	   	279.20	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|24DUR|3469VULN|4BPWR|5AART|7RCR|8ASPD|aBELT
23	25152 14213	3	   	279.10	DCR|4VULN|2DUR|1DMG|1ASPD	1DMG|24DUR|346aVULN|4BPWR|5AART|7RCR|8ASPD|9ERES
24	23151 21342	9	   	277.81	DCR|3VULN|3DUR|2DMG|1ASPD	17DMG|2LWND|357VULN|4BELT|678DUR|7BPWR|9ASPD|aRCR
25	23123 15636	8	   	276.93	DCR|3VULN|2DMG|2CDMG|1DUR	1aDMG|2LWND|34aVULN|5LIT|6RCR|7AART|8DUR|9aCDMG|aBPWR
26	25123 16431	9	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18DMG|2DUR|348aVULN|58LIT|6RCR|7RPLT|8BPWR|9MLV
27	25123 16433	10	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	18DMG|2DUR|348aVULN|58LIT|6RCR|7RPLT|8BPWR|9MLV
28	22152 26233	3	   	276.47	DCR|3VULN|3DUR|2DMG	1aDMG|24BEXP|34aVULN|4aBPWR|5AART|6BBNT|7RCR|89aDUR
29	22152 36233	3	   	276.47	DCR|3VULN|3DUR|2DMG	1aDMG|24BEXP|34aVULN|4aBPWR|5AART|6TBNT|7RCR|89aDUR
30	25123 16623	6	 * 	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	189DMG|2DUR|34aVULN|5LIT|6RCR|7CDMG
31	25123 16423	9	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	18DMG|2DUR|348aVULN|58LIT|6RCR|7RPLT|8BPWR|9DLOT
32	22122 26233	4	   	276.37	DCR|3VULN|3DUR|2DMG	1aDMG|2BEXP|34aVULN|5AART|6BBNT|7RCR|89aDUR|aBPWR
33	22122 36233	4	   	276.37	DCR|3VULN|3DUR|2DMG	1aDMG|2BEXP|34aVULN|5AART|6TBNT|7RCR|89aDUR|aBPWR
34	22125 35622	6	   	276.22	DCR|4VULN|2DMG|2DUR	18DMG|26BEXP|348aVULN|58DUR|7RPLT|8BPWR|9RCR
35	22125 52622	7	   	276.22	DCR|4VULN|2DMG|2DUR	18DMG|2BEXP|348aVULN|58DUR|67RPLT|8BPWR|9RCR
36	23125 52622	7	   	276.22	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|348aVULN|58DUR|67RPLT|8BPWR|9RCR
37	22125 25621	5	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2BEXP|3468VULN|58DUR|7RPLT|8BPWR|9RCR|aERES
38	22126 25621	6	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2BEXP|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aERES
39	23125 25621	5	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|3468VULN|58DUR|7RPLT|8BPWR|9RCR|aERES
40	23126 25621	6	   	276.12	DCR|4VULN|2DMG|2DUR	18DMG|2LWND|3458VULN|68DUR|7RPLT|8BPWR|9RCR|aERES
41	23383 45722	2	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	18DMG|2LWND|3MBVNT|4SELL|578aVULN|68DUR|8BPWR|9RCR
42	25353 31336	5	   	275.81	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	15DMG|2DUR|3ASPD|45aVULN|5BPWR|6AART|7LWND|8RCR|9TLV
43	22353 33311	5	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	158DMG|2BEXP|3ASPD|457VULN|5BPWR|6AART|9DUR|aRCR
44	25353 33361	5	   	275.22	DCR|3VULN|3DMG|1DUR|1ASPD	158DMG|2DUR|3ASPD|457VULN|5BPWR|6AART|9LHND|aRCR
45	25123 11636	8	   	275.12	DCR|3VULN|3DUR|2DMG	18DMG|289DUR|34aVULN|5LIT|6RCR|78LHND|8BPWR
