0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22223 35636	8	 * 	270.09	DCR|3VULN|3DMG|1TLV|1DUR	178LWND|2RMIN|378DMG|4TLV|5CGEN|678VULN|78BPWR|9DUR|aRCR
2	21223 35642	8	 * 	265.65	DCR|4VULN|3DUR|1TLV	178LWND|2RCVC|378DUR|4TLV|5CGEN|6789VULN|78BPWR|aRCR
3	12222 35615	8	   	262.17	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	1NUKE|278ERES|378DUR|4TLV|5ASPD|678VULN|78BPWR|9AART|aRCR
4	12222 35625	9	   	262.17	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	1NUKE|278ERES|378DUR|4TLV|5ASPD|678VULN|78BPWR|9AART|aRCR
5	63842 73444	8	 * 	257.95	DCR|4VULN|3DMG|1AART	19aERES|2MBVNT|349aVULN|5DMSP|6RCR|7AART|89aDMG|9aBPWR
6	51321 53214	2	 * 	255.54	DCR|5VULN|1TLV|1DUR|1SELL	1SELL|24569VULN|3DUR|7TLV|8FEWX|aRCR
7	51321 53314	2	 * 	255.44	DCR|5VULN|1TLV|1DUR|1SELL	1SELL|24569VULN|3DUR|7TLV|8LEGI|aRCR
8	64332 22336	1	   	253.95	DCR|4VULN|1TLV|1DUR	1ERES|2ASPD|3579VULN|4TLV|6LIT|8RCR|aDUR
9	12221 35615	8	   	253.86	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	1NUKE|278ERES|378DUR|4TLV|5ZMB|678VULN|78BPWR|9AART|aRCR
10	12221 35625	9	   	253.86	DCR|3VULN|3DUR|1TLV|1NUKE|1AART	1NUKE|278ERES|378DUR|4TLV|5ZMB|678VULN|78BPWR|9AART|aRCR
11	22223 35616	8	   	253.84	DCR|3VULN|3DMG|1TLV	178LWND|2RMIN|378DMG|4TLV|5CGEN|678VULN|78BPWR|9BEXP|aRCR
12	22223 35616	9	   	253.84	DCR|3VULN|3DMG|1TLV	178LWND|2RMIN|378DMG|4TLV|5CGEN|678VULN|78BPWR|9BEXP|aRCR
13	22223 35636	9	   	253.84	DCR|3VULN|3DMG|1TLV	178LWND|2RMIN|378DMG|4TLV|5CGEN|678VULN|78BPWR|9FEWX|aRCR
14	63814 14632	8	   	253.84	DCR|3VULN|2DMG|1TLV|1DUR	1ERES|2MBVNT|389VULN|4DUR|56DMG|7RCR|aTLV
15	34152 22336	2	 * 	253.83	DCR|4VULN|2TLV|1DUR	1BEXP|23TLV|4579VULN|6LIT|8RCR|aDUR
16	34252 22336	3	   	253.83	DCR|4VULN|2TLV|1DUR	1BEXP|23TLV|4579VULN|6LIT|8RCR|aDUR
17	63833 53442	3	   	253.34	DCR|3VULN|3DMG|1TLV	1ERES|2MBVNT|35aVULN|456DMG|5BPWR|7RCR|8FEWX|9TLV
18	21223 35642	9	 * 	252.68	DCR|3VULN|3DUR|2TLV	178LWND|2RCVC|378DUR|49TLV|5CGEN|678VULN|78BPWR|aRCR
19	16226 35121	7	 * 	252.34	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|27DUR|37DMG|4TLV|5MLV|67VULN|7BPWR|8ASPD|9RCR|aRPLT
20	16226 35123	7	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|27DUR|37DMG|4TLV|5MLV|67VULN|7BPWR|8ASPD|9RCR|aFEWX
21	16226 35122	7	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|27DUR|37DMG|4TLV|5MLV|67VULN|7BPWR|8ASPD|9RCR|aTBNT
22	63814 54432	7	 * 	250.84	DCR|3VULN|2DUR|1TLV|1DMG	1ERES|2MBVNT|369VULN|48DUR|5DMG|7RCR|aTLV
23	56125 11311	10	 * 	250.68	DCR|3VULN|2DMG|2DUR|1SELL	1SELL|2RCVC|3aDMG|4LIT|5BELT|68aVULN|7RCR|9aDUR|aBPWR
24	53112 11513	1	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2RPLT|345VULN|4BPWR|6TLV|7RCR|8CDMG|9DUR|aDMG
25	53112 11533	1	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2RPLT|345VULN|4BPWR|6TLV|7RCR|8CDMG|9DMG|aDUR
26	53152 11513	1	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2RPLT|345VULN|6TLV|7RCR|8CDMG|9DUR|aDMG
27	53152 11533	1	   	249.86	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|2RPLT|345VULN|6TLV|7RCR|8CDMG|9DMG|aDUR
28	63442 42874	3	 * 	249.36	DCR|4VULN|1TLV|1DMG	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDMG
29	63442 42874	2	   	249.36	DCR|4VULN|1TLV|1DMG	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDMG
30	63442 42874	4	   	249.36	DCR|4VULN|1TLV|1DMG	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDMG
31	63143 11253	2	 * 	249.13	DCR|4VULN|2TLV|1DMG	1ERES|2MBVNT|35TLV|4578VULN|5BPWR|6TBNT|9RCR|aDMG
32	63143 41253	2	   	249.13	DCR|4VULN|2TLV|1DMG	1ERES|2MBVNT|35TLV|4578VULN|5BPWR|6BBNT|9RCR|aDMG
33	63833 53243	3	   	248.09	DCR|4VULN|3DMG	1ERES|2MBVNT|359aVULN|456DMG|5BPWR|7RCR|8BBNT
34	63833 53313	3	   	248.09	DCR|4VULN|3DMG	1ERES|2MBVNT|358aVULN|456DMG|5BPWR|7RCR|9TBNT
35	63833 53333	3	   	248.09	DCR|4VULN|3DMG	1ERES|2MBVNT|358aVULN|456DMG|5BPWR|7RCR|9BBNT
36	12222 35562	9	   	247.49	DCR|3VULN|2DUR|1TLV|1NUKE	1NUKE|27ERES|37DUR|4TLV|5ASPD|67aVULN|7BPWR|8LIT|9RCR
37	16323 12562	7	   	247.36	DCR|3VULN|2TLV|2DUR|1NUKE	1NUKE|29DUR|3ERES|49TLV|5CGEN|6LIT|79aVULN|8RCR|9BPWR
38	63113 41782	2	   	247.25	DCR|3VULN|2DMG|1TLV|1AART	19ERES|2MBVNT|3TLV|4AART|59aVULN|6RCR|79DMG|8BBNT|9BPWR
39	63284 53312	5	 * 	246.93	DCR|2VULN|3DMG|2DUR|1CDMG	1ERES|2MBVNT|356DMG|45DUR|5BPWR|7RCR|8aVULN|9CDMG
40	63284 63312	6	   	246.93	DCR|2VULN|3DMG|2DUR|1CDMG	1ERES|2MBVNT|356DMG|45DUR|5BPWR|7RCR|8aVULN|9CDMG
41	16221 26512	9	 * 	246.09	ACR|3VULN|2DMG|2DUR|1TLV|1NUKE|1AART	1NUKE|2aDUR|3aDMG|4TLV|5RCR|6MLV|78aVULN|9AART|aBPWR
42	63814 44472	9	 * 	245.91	DCR|3VULN|3CDMG|1DMG|1DUR|1AART	19aERES|2MBVNT|39aVULN|4DUR|5DMG|6AART|7RCR|89aCDMG|9aBPWR
43	16213 16362	10	 * 	245.91	DCR|2VULN|3DUR|2DMG|2LIT|1NUKE	1NUKE|25aDUR|3aDMG|4LHND|67LIT|8aVULN|9RCR|aBPWR
44	53131 41132	1	   	245.85	DCR|3VULN|2DMG|1TLV|1SELL	1SELL|2RPLT|359VULN|46DMG|7RCR|8ASPD|aTLV
45	61332 22336	2	   	245.65	DCR|4VULN|1TLV|1DUR	1ERES|2ZMB|3579VULN|4TLV|6LIT|8RCR|aDUR
46	61632 22336	3	   	245.65	DCR|4VULN|1TLV|1DUR	1ERES|2ZMB|3579VULN|4TLV|6LIT|8RCR|aDUR
47	12332 22336	2	   	245.55	DCR|4VULN|1TLV|1DUR|1NUKE	1NUKE|2ERES|3579VULN|4TLV|6LIT|8RCR|aDUR
48	12632 22336	3	   	245.55	DCR|4VULN|1TLV|1DUR|1NUKE	1NUKE|2ERES|3579VULN|4TLV|6LIT|8RCR|aDUR
49	63442 42873	3	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDUR
50	63442 42873	2	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDUR
51	63442 42873	4	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8RCR|9TLV|aDUR
52	63442 42134	3	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8TLV|9DUR|aRCR
53	63442 42134	4	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8TLV|9DUR|aRCR
54	63442 42134	2	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3LIT|4567VULN|8TLV|9DUR|aRCR
55	63811 42134	3	   	245.55	DCR|4VULN|1TLV|1DUR	14ERES|2MBVNT|3467VULN|4BPWR|5LIT|8TLV|9DUR|aRCR
56	63841 42134	4	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3467VULN|5LIT|8TLV|9DUR|aRCR
57	63842 42134	3	   	245.55	DCR|4VULN|1TLV|1DUR	1ERES|2MBVNT|3567VULN|4LIT|8TLV|9DUR|aRCR
58	53112 11633	1	   	245.50	DCR|4VULN|1TLV|1DUR|1SELL	1SELL|2RPLT|3459VULN|4BPWR|6TLV|7RCR|8DUR|aLIT
59	53112 11634	1	   	245.50	DCR|4VULN|1TLV|1DUR|1SELL	1SELL|2RPLT|3459VULN|4BPWR|6TLV|7RCR|8DUR|aASPD
60	53152 11633	1	   	245.50	DCR|4VULN|1TLV|1DUR|1SELL	1SELL|2RPLT|3459VULN|6TLV|7RCR|8DUR|aLIT
61	63143 11251	2	   	245.32	DCR|4VULN|2TLV|1DUR	1ERES|2MBVNT|35TLV|4578VULN|5BPWR|6TBNT|9RCR|aDUR
62	63143 41251	2	   	245.32	DCR|4VULN|2TLV|1DUR	1ERES|2MBVNT|35TLV|4578VULN|5BPWR|6BBNT|9RCR|aDUR
63	53112 11632	1	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1SELL|2RPLT|3459VULN|4BPWR|6aTLV|7RCR|8DUR
64	53152 11632	1	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1SELL|2RPLT|3459VULN|6aTLV|7RCR|8DUR
65	11632 35335	9	 * 	244.90	DCR|1VULN|2DMG|2TLV|3ASPD|1DUR|1CDMG|1NUKE	1NUKE|238ASPD|48TLV|5CDMG|6VULN|78DMG|8BPWR|9DUR|aRCR
66	63814 14272	9	   	244.80	DCR|2VULN|3DMG|1TLV|1DUR	1ERES|2MBVNT|3aVULN|4DUR|569DMG|7RCR|8TLV
67	16221 26513	8	   	244.74	ACR|3VULN|2DMG|2DUR|1TLV|1NUKE	1NUKE|29DUR|39DMG|4TLV|5RCR|6MLV|789VULN|9BPWR|aLIT
68	21223 33642	9	   	244.60	DCR|3VULN|3DUR|1TLV	189LWND|2RCVC|378DUR|4TLV|59CGEN|689VULN|89BPWR|aRCR
69	21223 35612	8	   	244.60	DCR|3VULN|3DUR|1TLV	178LWND|2RCVC|378DUR|4TLV|59CGEN|678VULN|78BPWR|aRCR
70	21223 35622	9	   	244.60	DCR|3VULN|3DUR|1TLV	178LWND|2RCVC|378DUR|4TLV|59CGEN|678VULN|78BPWR|aRCR
71	63812 41113	3	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	14ERES|2MBVNT|345VULN|4BPWR|6DMG|7RCR|8ASPD|9TLV|aDUR
72	63842 41113	4	   	244.56	DCR|3VULN|1TLV|1DMG|1DUR	1ERES|2MBVNT|345VULN|6DMG|7RCR|8ASPD|9TLV|aDUR
73	63842 18411	10	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	18ERES|2MBVNT|348VULN|5DMSP|68DUR|7RCR|8BPWR|9CDMG|aTLV
74	16221 26512	8	 * 	244.51	ACR|3VULN|2DMG|2TLV|2DUR|1NUKE	1NUKE|29DUR|39DMG|4aTLV|5RCR|6MLV|789VULN|9BPWR
75	51324 32252	2	   	244.41	DCR|3VULN|1TLV|1DMG|1DUR|1SELL	1SELL|249VULN|3DUR|5DMG|6DUST|7RCR|8ASPD|aTLV
76	65121 13263	1	   	244.20	DCR|3VULN|3DUR|1TLV	19ERES|29aDUR|3TLV|4LWND|589VULN|6RCR|7RPLT|9BPWR
77	22224 16322	10	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	158LWND|2RMIN|3aDMG|4TLV|6aDUR|7aVULN|9RCR|aBPWR
78	22223 35643	7	   	244.13	DCR|2VULN|2DMG|2DUR|1TLV	17LWND|2RMIN|37DMG|4TLV|5CGEN|67VULN|7BPWR|8aDUR|9RCR
79	63842 18413	8	   	244.10	DCR|3VULN|3DUR|1TLV	18ERES|2MBVNT|348VULN|5DMSP|68aDUR|7RCR|8BPWR|9TLV
80	22231 52313	4	   	244.05	DCR|3VULN|3DMG	19LWND|2RMIN|369DMG|4ASPD|5LIT|789VULN|9BPWR|aRCR
81	63814 14432	7	   	243.73	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|2MBVNT|39VULN|48DUR|56DMG|7RCR|aTLV
82	63814 14642	9	   	243.73	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|2MBVNT|38VULN|49DUR|56DMG|7RCR|aTLV
83	11631 22543	10	 * 	243.61	DCR|2VULN|2DUR|1TLV|3ASPD|1CDMG|1NUKE	1NUKE|238ASPD|4TLV|5RPLT|68DUR|78VULN|8BPWR|9CDMG|aRCR
84	32223 35643	7	   	243.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	17BEXP|2RMIN|37DMG|4TLV|5CGEN|67VULN|7BPWR|8DUR|9RCR|aCDMG
85	11631 22513	10	 * 	243.19	DCR|2VULN|3DUR|1TLV|3ASPD|1NUKE	1NUKE|238ASPD|4TLV|5RPLT|689DUR|78VULN|8BPWR|aRCR
86	63814 14246	8	   	242.80	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1ERES|2MBVNT|3aVULN|4DUR|56DMG|7RCR|8TLV|9CDMG
87	53131 41512	1	   	242.75	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1SELL	1SELL|2RPLT|35VULN|46DMG|7RCR|8CDMG|9DUR|aTLV
88	21112 31524	4	 * 	242.62	DCR|3VULN|2DMG|2DUR	1aLWND|2RCVC|3BELT|47DUR|5aDMG|68aVULN|9RCR|aBPWR
89	21132 21524	7	   	242.62	DCR|3VULN|2DMG|2DUR	1aLWND|2RCVC|3BELT|45DMG|68aVULN|7aDUR|9RCR|aBPWR
