0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12323 51416	4	 * 	275.29	DCR|4VULN|2DMG|1TLV|1DUR	1aLHND|2MLV|347aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
2	32343 58333	2	 * 	264.02	DCR|3VULN|3DUR|1TLV|1DMG|1SELL	179ERES|2MBVNT|3DMG|479VULN|5SELL|679DUR|79BPWR|8RCR|aTLV
3	13322 35142	1	 * 	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1LHND|28CDMG|39DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|aRCR
4	43322 35142	1	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	1LWND|28CDMG|39DUR|4ERES|58VULN|6TLV|78DMG|8BPWR|aRCR
5	23633 52422	1	 * 	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1FEWX|2CDMG|379VULN|4DMG|56TLV|8DUR|aRCR
6	64323 21236	3	 * 	258.11	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	1RCVC|29aVULN|39CDMG|4CGEN|5AART|6DMG|7RCR|89TLV|9BPWR
7	13633 45222	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LHND|2CDMG|39VULN|47DMG|5TLV|68DUR|aRCR
8	23633 45222	1	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|2CDMG|39VULN|47DMG|5TLV|68DUR|aRCR
9	13322 35152	1	 * 	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1LHND|28CDMG|3DUR|4ERES|58VULN|69TLV|78DMG|8BPWR|aRCR
10	43322 35152	1	   	257.49	DCR|2VULN|2DMG|2TLV|2CDMG|1DUR	1LWND|28CDMG|3DUR|4ERES|58VULN|69TLV|78DMG|8BPWR|aRCR
11	32362 88332	3	 * 	256.90	DCR|3VULN|3DMG|1DUR|1CDMG|1SELL	179ERES|2MBVNT|3DUR|4SELL|579VULN|679DMG|79BPWR|8RCR|aCDMG
12	12323 51322	4	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1LHND|2MLV|3479VULN|5TLV|6RCR|8CDMG|aDMG
13	11321 51416	5	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	1aLHND|25CGEN|37aVULN|4TLV|6RCR|8DUR|9aDMG|aBPWR
14	11333 51416	3	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	14aLHND|2CGEN|37aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
15	12333 51416	3	   	254.24	DCR|3VULN|2DMG|1TLV|1DUR	14aLHND|2MLV|37aVULN|5TLV|6RCR|8DUR|9aDMG|aBPWR
16	15324 53332	8	   	253.90	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	15LHND|28DMG|3DUR|456VULN|5BPWR|7SELL|9TLV|aRCR
17	15325 53332	8	   	253.80	DCR|3VULN|2DMG|1TLV|1DUR|1SELL	1LHND|28DMG|3DUR|456VULN|7SELL|9TLV|aRCR
18	31343 12246	9	 * 	253.02	ACR|4VULN|3DUR|1TLV|1DMG	1aERES|23aDUR|4DMG|5RCR|6TLV|789aVULN|aBPWR
19	64362 33132	6	 * 	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	1RCVC|259VULN|3CDMG|49TLV|6FEWX|7BEXP|89DUR|9BPWR|aRCR
20	32444 72182	9	 * 	251.82	DCR|4VULN|2DUR|1TLV	179ERES|2MBVNT|3TLV|49DUR|5689VULN|9BPWR|aRCR
21	13532 35622	1	   	251.44	DCR|3VULN|2DMG|1TLV|1CDMG	1LHND|2CDMG|3LWND|47DMG|589VULN|6TLV|aRCR
22	11322 31322	5	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3679VULN|4TLV|5DUR|8CDMG|aRCR
23	11324 31322	4	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3679VULN|4TLV|5DUR|8CDMG|aRCR
24	11326 61322	6	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3579VULN|4TLV|6DUR|8CDMG|aRCR
25	11355 31322	4	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3679VULN|4DUR|5TLV|8CDMG|aRCR
26	11326 36422	6	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2CGEN|3579VULN|4TLV|6CDMG|8DUR|aRCR
27	13433 62222	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1LHND|2FEWX|3CDMG|4679VULN|5TLV|8DUR|aRCR
28	24433 62222	9	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2LHND|3CDMG|4679VULN|5TLV|8DUR|aRCR
29	11322 35246	10	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2CGEN|389VULN|4TLV|57DUR|6DMG|aRCR
30	11326 51412	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2CGEN|357VULN|4TLV|6RCR|8aDUR|9DMG
31	12323 51412	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2MLV|347VULN|5TLV|6RCR|8aDUR|9DMG
32	31225 31322	4	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	1ERES|2DUR|3LHND|4679VULN|5TLV|8CDMG|aRCR
33	15324 51132	6	   	250.89	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	15LHND|2DMG|38DUR|456VULN|5BPWR|7SELL|9TLV|aRCR
34	15324 53132	7	   	250.89	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	15LHND|2DMG|38DUR|456VULN|5BPWR|7SELL|9TLV|aRCR
35	15325 51132	6	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1LHND|2DMG|38DUR|456VULN|7SELL|9TLV|aRCR
36	15325 53132	7	   	250.79	DCR|3VULN|2DUR|1TLV|1DMG|1SELL	1LHND|2DMG|38DUR|456VULN|7SELL|9TLV|aRCR
