0	Index      	Bounty	 *	Score 	Summary	Detail	
1	43331 62421	7	 * 	281.18	DCR|5VULN|2DMG|1TLV	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aTLV
2	43331 62426	7	   	281.18	DCR|5VULN|2DMG|1DUR	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aDUR
3	31522 12162	1	 * 	279.29	DCR|3VULN|2DMG|2DUR|1TLV|1AART	18ERES|23DUR|4AART|58aVULN|68DMG|7RCR|8BPWR|9TLV
4	43331 62422	7	   	278.58	DCR|5VULN|2DMG|1CDMG	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aCDMG
5	43331 21468	6	   	277.79	DCR|4VULN|2DMG|1TLV|1DUR	1aZMB|235aVULN|4MBVNT|6DUR|7TLV|8aDMG|9RCR|aBPWR
6	53631 21148	6	 * 	276.36	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	1RCVC|2aDMG|35aVULN|4MBVNT|6DUR|7TLV|8RCR|9aASPD|aBPWR
7	43331 62428	7	   	275.93	DCR|5VULN|2DMG|1ASPD	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aASPD
8	43331 62448	7	   	275.93	DCR|5VULN|2DMG|1ASPD	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9ASPD|aRCR
9	43331 62423	7	   	274.59	DCR|5VULN|2DMG|1AART	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aAART
10	26335 13421	10	   	272.64	DCR|4VULN|2DMG|1TLV|1ASPD	157LHND|2ASPD|3789VULN|47DMG|6RCR|7BPWR|aTLV
11	43135 11432	2	 * 	272.51	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1ZMB|29aVULN|3CDMG|4ERES|5aDMG|6DUR|7RCR|8aTLV|aBPWR
12	63221 51621	6	 * 	272.18	DCR|4VULN|2TLV|2CDMG|2LIT|1AART	17CDMG|23LIT|47TLV|5789VULN|6RCR|7BPWR|aAART
13	43323 12562	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1ZMB|238aVULN|4AART|5DUR|6DMG|7RCR|9TLV
14	53643 13333	8	 * 	269.34	DCR|3VULN|3DMG|3ASPD	1RCVC|278DMG|39aVULN|489ASPD|589BEXP|6RCR|89BPWR
15	62631 42322	2	 * 	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	18CDMG|2RCVC|38aVULN|48TLV|567DUR|8BPWR|9RCR
16	62631 42322	1	   	269.09	DCR|3VULN|3DUR|2TLV|2CDMG	18CDMG|2RCVC|38aVULN|48TLV|567DUR|8BPWR|9RCR
17	63221 51612	6	 * 	268.56	DCR|4VULN|3CDMG|2TLV|2LIT	179CDMG|23LIT|47TLV|578aVULN|6RCR|7BPWR
18	43331 18831	5	 * 	266.84	DCR|4VULN|2DUR|1DMG	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9LIT|aDMG
19	43334 18831	4	   	266.84	DCR|4VULN|2DUR|1DMG	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9LIT|aDMG
20	63221 51613	6	 * 	265.98	DCR|3VULN|3CDMG|2TLV|1DMG|2LIT	179CDMG|23LIT|47TLV|578VULN|6RCR|7BPWR|aDMG
21	26335 13431	10	   	265.66	DCR|3VULN|3DMG|1TLV|1ASPD	157LHND|2ASPD|378VULN|479DMG|6RCR|7BPWR|aTLV
22	26335 13433	9	   	265.66	DCR|3VULN|3DMG|1DUR|1ASPD	157LHND|2ASPD|378VULN|479DMG|6RCR|7BPWR|aDUR
23	51622 13326	3	 * 	265.52	DCR|3VULN|3ASPD|1DMG|2CDMG|1AART	1RCVC|268ASPD|358VULN|4AART|78CDMG|8BPWR|9DMG|aRCR
24	63436 12231	1	 * 	265.00	DCR|3VULN|2DMG|3CDMG|1DUR	137CDMG|28DMG|468VULN|58CGEN|8BPWR|9DUR|aRCR
25	21335 13426	9	   	264.93	DCR|5VULN|2DMG	157LHND|2ZMB|3789aVULN|47DMG|6RCR|7BPWR
26	43331 62424	7	   	264.93	DCR|5VULN|2DMG	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aRCVC
27	43331 62427	7	   	264.93	DCR|5VULN|2DMG	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aFEWX
28	43331 62425	7	   	264.83	DCR|5VULN|2DMG|1NUKE	168ZMB|23568VULN|4MBVNT|68BPWR|78DMG|9RCR|aNUKE
29	26335 13423	9	   	264.70	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|3789VULN|47DMG|6RCR|7BPWR|aLIT
30	43324 21242	3	   	263.35	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1ZMB|2367VULN|4AART|5TLV|8DUR|9CDMG|aRCR
31	31522 12122	1	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	18ERES|23DUR|4AART|58aVULN|68DMG|7RCR|8BPWR|9TBNT
32	63221 51622	6	   	262.52	DCR|4VULN|2TLV|2CDMG|2LIT	17CDMG|23LIT|47TLV|5789VULN|6RCR|7BPWR|aRPLT
33	63221 51623	6	   	262.42	DCR|4VULN|2CDMG|2TLV|2LIT	17CDMG|23LIT|47TLV|5789VULN|6RCR|7BPWR|aERES
34	21335 13421	10	   	261.64	DCR|4VULN|2DMG|1TLV	157LHND|2ZMB|3789VULN|47DMG|6RCR|7BPWR|aTLV
35	21335 13423	10	   	261.64	DCR|4VULN|2DMG|1DUR	157LHND|2ZMB|3789VULN|47DMG|6RCR|7BPWR|aDUR
36	31522 12562	1	   	261.61	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1ERES|23DUR|4AART|58aVULN|6DMG|7RCR|9TLV
37	43331 21468	7	   	261.54	DCR|4VULN|2DMG|1DUR	1aZMB|235aVULN|4MBVNT|6DUR|7MLV|8aDMG|9RCR|aBPWR
38	43331 31468	6	   	261.54	DCR|4VULN|2DMG|1TLV	1aZMB|235aVULN|4MBVNT|6LHND|7TLV|8aDMG|9RCR|aBPWR
39	43331 21148	6	 * 	261.35	DCR|4VULN|2ASPD|1TLV|1DUR	1aZMB|235aVULN|4MBVNT|6DUR|7TLV|8RCR|9aASPD|aBPWR
40	31524 11432	6	   	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	1ERES|2aCDMG|3DMG|4ZMB|59aVULN|6DUR|7RCR|8aTLV|aBPWR
41	31524 11432	5	   	261.24	DCR|3VULN|2TLV|1DMG|2CDMG|1DUR	1ERES|2aCDMG|3DMG|4ZMB|59aVULN|6DUR|7RCR|8aTLV|aBPWR
42	21335 13436	10	 * 	261.04	DCR|4VULN|3DMG	157LHND|2ZMB|378aVULN|479DMG|6RCR|7BPWR
43	41135 31432	1	 * 	260.19	DCR|2VULN|2DMG|2DUR|2TLV|1CDMG	1ZMB|2aDUR|3CDMG|4ERES|5aDMG|69VULN|7RCR|8aTLV|aBPWR
44	53631 11348	5	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RCVC|2aDMG|35aVULN|4MBVNT|6RCR|7TLV|8LWND|9aASPD|aBPWR
45	53631 21148	7	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1RCVC|2aDMG|35aVULN|4MBVNT|6DUR|7MLV|8RCR|9aASPD|aBPWR
46	53631 31148	6	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RCVC|2aDMG|35aVULN|4MBVNT|6LHND|7TLV|8RCR|9aASPD|aBPWR
47	53634 11348	4	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RCVC|2aDMG|35aVULN|4MBVNT|6RCR|7TLV|8LWND|9aASPD|aBPWR
48	54244 11348	3	   	260.11	DCR|3VULN|2DMG|2ASPD|1TLV	1RCVC|2MBVNT|35aVULN|4aDMG|6RCR|7TLV|8LWND|9aASPD|aBPWR
49	53631 23148	6	   	260.01	DCR|3VULN|2DMG|2ASPD|1DUR	1RCVC|2aDMG|35aVULN|4MBVNT|6DUR|7ERES|8RCR|9aASPD|aBPWR
50	63221 51115	6	   	259.94	DCR|3VULN|2TLV|1DMG|2CDMG|2LIT	17CDMG|23LIT|47TLV|57aVULN|6RCR|7BPWR|8DMG|9ZMB
51	43331 18843	5	   	259.14	DCR|4VULN|2DUR|1ASPD|1AART	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9ASPD|aAART
52	43334 18843	4	   	259.14	DCR|4VULN|2DUR|1ASPD|1AART	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9ASPD|aAART
53	21335 13422	10	   	259.04	DCR|4VULN|2DMG|1CDMG	157LHND|2ZMB|3789VULN|47DMG|6RCR|7BPWR|aCDMG
54	43331 18434	5	   	258.54	DCR|4VULN|2DUR|1DMG	19ZMB|2359VULN|4MBVNT|6RCR|79DUR|8RPLT|9BPWR|aDMG
55	43334 18434	4	   	258.54	DCR|4VULN|2DUR|1DMG	19ZMB|2359VULN|4MBVNT|6RCR|79DUR|8RPLT|9BPWR|aDMG
56	64333 43112	10	   	258.41	DCR|3VULN|2DMG|3CDMG|1AART	127CDMG|3RCVC|479VULN|57DMG|6AART|7BPWR|8FEWX|aRCR
57	43331 18832	5	   	257.78	DCR|4VULN|2DUR|1ASPD	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9LIT|aASPD
58	43334 18832	4	   	257.78	DCR|4VULN|2DUR|1ASPD	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9LIT|aASPD
59	43337 14464	10	   	257.40	DCR|4VULN|1DMG|1DUR|1CDMG	1ZMB|239aVULN|4MBVNT|5CDMG|6DUR|7RCR|8DMG
60	54322 47142	3	   	257.23	DCR|4VULN|2TLV|2CDMG|1AART	1RCVC|2MBVNT|3aTLV|4AART|579aVULN|6RCR|8aCDMG|aBPWR
61	21335 13442	8	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ZMB|378aVULN|47DMG|6RCR|7BPWR|9ASPD
62	26335 13162	7	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|379aVULN|47DMG|6RCR|7BPWR|8RMIN
63	26335 13226	9	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|379aVULN|47DMG|6RCR|7BPWR|8RCVC
64	26335 13421	9	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|3789VULN|47DMG|6RCR|7BPWR|aFEWX
65	26335 13422	9	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|3789VULN|47DMG|6RCR|7BPWR|aRCVC
66	26335 13432	8	   	256.39	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|378aVULN|47DMG|6RCR|7BPWR|9RMIN
67	26335 13422	10	   	256.29	DCR|4VULN|2DMG|1ASPD	157LHND|2ASPD|3789VULN|47DMG|6RCR|7BPWR|aMBVNT
68	63221 51532	6	   	256.13	DCR|3VULN|2TLV|2CDMG|1DUR|2LIT	17CDMG|23LIT|47TLV|579VULN|6RCR|7BPWR|8LWND|aDUR
69	51622 31262	3	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1RCVC|2ASPD|357VULN|4AART|6DMG|8DUR|9CDMG|aRCR
70	53622 11262	3	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1RCVC|2DMG|357VULN|4AART|6ASPD|8DUR|9CDMG|aRCR
71	63313 51335	5	   	255.51	DCR|3VULN|2DMG|1CDMG|1ASPD	1CDMG|2LIT|3ASPD|49aVULN|58DMG|6RCR|7CGEN
72	43331 11445	5	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1ZMB|235aVULN|4MBVNT|6RCR|7TLV|8ASPD|9DMG
73	43334 11445	4	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1ZMB|235aVULN|4MBVNT|6RCR|7TLV|8ASPD|9DMG
74	51631 11472	5	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2ASPD|359aVULN|4MBVNT|6RCR|7TLV|8DMG
75	51634 11472	4	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2ASPD|359aVULN|4MBVNT|6RCR|7TLV|8DMG
76	53631 11472	5	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2DMG|359aVULN|4MBVNT|6RCR|7TLV|8ASPD
77	53634 11472	4	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2DMG|359aVULN|4MBVNT|6RCR|7TLV|8ASPD
78	54231 11472	5	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2MBVNT|359aVULN|4ASPD|6RCR|7TLV|8DMG
79	54234 11472	4	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2MBVNT|359aVULN|4ASPD|6RCR|7TLV|8DMG
80	54244 11472	3	   	254.76	DCR|4VULN|1DMG|1TLV|1ASPD	1RCVC|2MBVNT|359aVULN|4DMG|6RCR|7TLV|8ASPD
81	43331 18822	5	   	254.72	DCR|4VULN|2DUR|1TLV	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9FEWX|aTLV
82	43334 18822	4	   	254.72	DCR|4VULN|2DUR|1TLV	18ZMB|2358VULN|4MBVNT|6RCR|78DUR|8BPWR|9FEWX|aTLV
83	21335 13431	10	   	254.65	DCR|3VULN|3DMG|1TLV	157LHND|2ZMB|378VULN|479DMG|6RCR|7BPWR|aTLV
84	21335 13433	9	   	254.65	DCR|3VULN|3DMG|1DUR	157LHND|2ZMB|378VULN|479DMG|6RCR|7BPWR|aDUR
85	43331 11472	5	   	254.23	DCR|5VULN|1TLV|1ASPD	1ZMB|2359aVULN|4MBVNT|6RCR|7TLV|8ASPD
86	43334 11472	4	   	254.23	DCR|5VULN|1TLV|1ASPD	1ZMB|2359aVULN|4MBVNT|6RCR|7TLV|8ASPD
87	53643 13222	6	   	253.72	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4ASPD|5BEXP|6RCR|78TLV|8BPWR|9FEWX
88	21335 13423	9	   	253.70	DCR|4VULN|2DMG	157LHND|2ZMB|3789VULN|47DMG|6RCR|7BPWR|aLIT
89	53616 13222	6	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4DUST|5ASPD|6RCR|78TLV|8BPWR|9FEWX
90	53631 33262	4	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4MBVNT|5FEWX|6ASPD|78TLV|8BPWR|9RCR
91	53632 33262	5	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4MBVNT|5LHND|6ASPD|78TLV|8BPWR|9RCR
92	53633 33262	5	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4MBVNT|5BEXP|6ASPD|78TLV|8BPWR|9RCR
93	53633 33262	4	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4MBVNT|5LWND|6ASPD|78TLV|8BPWR|9RCR
94	53634 33262	5	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|28DMG|38aVULN|4MBVNT|5FEWX|6ASPD|78TLV|8BPWR|9RCR
95	54241 33262	3	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|2MBVNT|38aVULN|48DMG|5FEWX|6ASPD|78TLV|8BPWR|9RCR
96	54243 33262	3	   	253.62	DCR|3VULN|2DMG|2TLV|1ASPD	1RCVC|2MBVNT|38aVULN|48DMG|5LWND|6ASPD|78TLV|8BPWR|9RCR
97	53631 14834	5	   	253.60	DCR|4VULN|2DMG	1RCVC|28DMG|358aVULN|4MBVNT|6RCR|78LHND|8BPWR|9LIT
98	53634 14834	4	   	253.60	DCR|4VULN|2DMG	1RCVC|28DMG|358aVULN|4MBVNT|6RCR|78LHND|8BPWR|9LIT
