0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22315 66312	9	 * 	298.33	DCR|4VULN|2TLV|2DUR|1DMG	1457VULN|27DUR|3AART|67TLV|7BPWR|8LIT|9RCR|aDMG
2	22315 66311	9	 * 	291.50	DCR|4VULN|3DUR|2TLV	1457VULN|27aDUR|3AART|67TLV|7BPWR|8LIT|9RCR
3	22315 66313	10	   	291.50	DCR|4VULN|3DUR|2TLV	1457VULN|27aDUR|3AART|67TLV|7BPWR|8LIT|9RCR
4	24732 21213	3	 * 	282.10	DCR|4VULN|3DMG|3LIT|1CDMG	139aVULN|2MBVNT|49aLIT|5FEWX|6RCR|7CDMG|89aDMG|9aBPWR
5	24782 21213	4	   	282.10	DCR|4VULN|3DMG|3LIT|1CDMG	139aVULN|2MBVNT|49aLIT|5FEWX|6RCR|7CDMG|89aDMG|9aBPWR
6	22342 32354	3	 * 	278.39	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|29DUR|3AART|49DMG|5BBNT|6RPLT|8RCR|9BPWR|aTLV
7	22315 66311	10	   	278.27	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LIT|9RCR|aFEWX
8	22315 66312	10	   	278.27	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LIT|9RCR|aRMIN
9	22315 66313	9	   	278.27	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LIT|9RCR|aLHND
10	21634 32113	5	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	135aVULN|2LEGI|4RPLT|6CDMG|7aDMG|8RCR|9aDUR|aBPWR
11	24316 24274	8	   	274.91	DCR|4VULN|3DUR|1TLV	1457VULN|2MBVNT|3AART|678DUR|7BPWR|9RCR|aTLV
12	22613 44233	4	   	273.63	DCR|4VULN|3DUR|2TLV	137aVULN|257DUR|47aCGEN|6LEGI|7aBPWR|8RCR|9aTLV
13	22623 44233	3	   	273.63	DCR|4VULN|3DUR|2TLV	137aVULN|257DUR|47aCGEN|6LEGI|7aBPWR|8RCR|9aTLV
14	23316 12133	4	 * 	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19VULN|2LWND|39DUR|4RMIN|5TLV|6CDMG|789DMG|9BPWR|aRCR
15	26516 12133	4	   	273.44	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19VULN|2LHND|39DUR|4RMIN|5TLV|6CDMG|789DMG|9BPWR|aRCR
16	21316 12133	4	   	273.34	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	19VULN|2LEGI|39DUR|4RMIN|5TLV|6CDMG|789DMG|9BPWR|aRCR
17	22342 32351	3	   	273.23	DCR|4VULN|2DMG|2DUR	179aVULN|29DUR|3AART|49DMG|5BBNT|6RPLT|8RCR|9BPWR
18	53515 11222	5	 * 	271.16	DCR|3VULN|3DMG|3DUR|1SELL	1SELL|235DUR|48aDMG|6MBVNT|78aVULN|8aBPWR|9RCR
19	22634 36213	5	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1357VULN|2DUR|4RPLT|6CDMG|8TLV|9RCR|aDMG
20	53515 31222	5	 * 	271.01	DCR|3VULN|3DMG|3DUR|2SELL	16SELL|235DUR|48aDMG|78aVULN|8aBPWR|9RCR
21	22315 66111	7	   	269.96	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LWND|9RCR|aFEWX
22	22315 66113	7	   	269.96	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LWND|9RCR|aDMSP
23	22315 66112	7	   	269.86	DCR|4VULN|2TLV|2DUR	1457VULN|27DUR|3AART|67TLV|7BPWR|8LWND|9RCR|aERES
24	24314 41335	9	   	269.86	DCR|4VULN|2TLV|2DUR	149aVULN|2MBVNT|3AART|5FEWX|6RCR|79DUR|89TLV|9BPWR
25	25151 26213	5	 * 	269.79	DCR|3VULN|3DMG|1TLV|1DUR	167VULN|2ZMB|3DUR|46aDMG|5RMIN|6BPWR|8TLV|9RCR
26	24311 41334	10	   	269.76	DCR|4VULN|2TLV|2DUR	149aVULN|2MBVNT|3AART|5DUST|6RCR|79DUR|89TLV|9BPWR
27	24311 41335	9	   	269.76	DCR|4VULN|2TLV|2DUR	149aVULN|2MBVNT|3AART|5DUST|6RCR|79DUR|89TLV|9BPWR
28	24314 41337	9	   	268.88	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2MBVNT|3AART|5FEWX|6RCR|79DUR|89TLV|9BPWR|aDMG
29	24314 41338	10	   	268.88	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2MBVNT|3AART|5FEWX|6RCR|79DUR|89TLV|9BPWR|aDMG
30	24311 41337	9	   	268.78	DCR|3VULN|2TLV|2DUR|1DMG	149VULN|2MBVNT|3AART|5DUST|6RCR|79DUR|89TLV|9BPWR|aDMG
