0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64211 11326	6	 * 	294.06	DCR|4VULN|3DUR|1TLV|2LIT|1CDMG	157DUR|2CDMG|37LIT|4578VULN|57BPWR|6RCVC|9RCR|aTLV
2	63122 31335	3	 * 	283.29	DCR|4VULN|3DUR|3TLV|1AART	157DUR|2aCGEN|367aVULN|457TLV|57aBPWR|8AART|9RCR
3	63422 31335	2	   	283.29	DCR|4VULN|3DUR|3TLV|1AART	157DUR|2aCGEN|367aVULN|457TLV|57aBPWR|8AART|9RCR
4	63122 31334	3	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	157DUR|2CGEN|367aVULN|457TLV|57BPWR|8AART|9RCR
5	63422 31334	2	   	283.19	DCR|4VULN|3DUR|3TLV|1AART	157DUR|2CGEN|367aVULN|457TLV|57BPWR|8AART|9RCR
6	26141 61332	8	 * 	277.37	DCR|2VULN|2DMG|2DUR|1TLV|3ASPD|1AART	148ASPD|28DUR|3aVULN|5AART|6TLV|78DMG|8BPWR|9RCR
7	23524 42133	1	   	277.00	DCR|4VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	15ASPD|2DUR|3TLV|457aVULN|5BPWR|6CDMG|8RCR|9AART
8	26224 42133	3	   	277.00	DCR|4VULN|1TLV|2ASPD|1DUR|1CDMG|1AART	15ASPD|2DUR|3TLV|457aVULN|5BPWR|6CDMG|8RCR|9AART
9	62224 42133	3	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	15DUR|2ZMB|3TLV|457aVULN|5BPWR|6CDMG|8RCR|9AART
10	63222 42133	3	   	275.43	DCR|4VULN|2DUR|1TLV|1CDMG|1AART	15DUR|2CGEN|3TLV|457aVULN|5BPWR|6CDMG|8RCR|9AART
11	63222 31235	3	   	273.63	DCR|4VULN|3DUR|2TLV	157DUR|2CGEN|37TLV|4567VULN|57BPWR|8FEWX|9RMIN|aRCR
12	63222 31335	3	   	273.63	DCR|4VULN|3DUR|2TLV	157DUR|2CGEN|37TLV|4567VULN|57BPWR|8LWND|9RMIN|aRCR
13	63222 31635	3	   	273.63	DCR|4VULN|3DUR|2TLV	157DUR|2CGEN|37TLV|4567VULN|57BPWR|8BEXP|9RMIN|aRCR
14	63222 31245	3	   	273.53	DCR|4VULN|3DUR|2TLV	157DUR|2CGEN|37TLV|4567VULN|57BPWR|8FEWX|9ERES|aRCR
15	63222 31345	3	   	273.53	DCR|4VULN|3DUR|2TLV	157DUR|2CGEN|37TLV|4567VULN|57BPWR|8LWND|9ERES|aRCR
16	63222 61325	3	   	273.01	DCR|3VULN|3DUR|1TLV|2LIT|1CDMG	157DUR|27CGEN|3TLV|459VULN|57BPWR|67LIT|8CDMG|aRCR
17	63211 11234	3	 * 	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|278CGEN|3TLV|4LIT|5DMSP|678VULN|78BPWR|9RCR|aDMG
18	63213 11234	3	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|2578CGEN|3TLV|4LIT|678VULN|78BPWR|9RCR|aDMG
19	63243 11234	3	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|278CGEN|3TLV|4DMSP|5LIT|678VULN|78BPWR|9RCR|aDMG
20	63261 11234	4	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|278CGEN|3TLV|4LIT|5DMSP|678VULN|78BPWR|9RCR|aDMG
21	63262 11234	5	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|278CGEN|3TLV|4LIT|578VULN|6DMSP|78BPWR|9RCR|aDMG
22	63262 31234	6	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|278CGEN|3TLV|4LIT|578VULN|6RCVC|78BPWR|9RCR|aDMG
23	63263 11234	4	   	272.97	DCR|3VULN|3DUR|1TLV|1DMG	178DUR|2578CGEN|3TLV|4LIT|678VULN|78BPWR|9RCR|aDMG
24	64211 11125	6	   	267.85	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2CDMG|37LIT|4579VULN|57BPWR|6RCVC|8FEWX|aRCR
25	64211 11321	6	   	267.85	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2CDMG|37LIT|4578VULN|57BPWR|6RCVC|9RCR|aFEWX
26	64211 11323	6	   	267.85	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2CDMG|37LIT|4578VULN|57BPWR|6RCVC|9RCR|aLHND
27	64211 11325	6	   	267.85	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2CDMG|37LIT|4578VULN|57BPWR|6RCVC|9RCR|aRMIN
28	64211 11322	6	   	267.75	DCR|4VULN|3DUR|2LIT|1CDMG	157DUR|2CDMG|37LIT|4578VULN|57BPWR|6RCVC|9RCR|aDUST
29	21651 31123	1	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	18ASPD|2TLV|3RMIN|458VULN|6RPLT|78DUR|8BPWR|9DMG|aRCR
30	22251 31123	2	   	267.39	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	18ASPD|2RMIN|3TLV|458VULN|6RPLT|78DUR|8BPWR|9DMG|aRCR
31	63211 11255	3	   	266.56	DCR|3VULN|3DUR|1TLV|1CDMG	178DUR|278CGEN|3TLV|4LIT|5DMSP|678VULN|78BPWR|9CDMG|aRCR
32	63213 11255	3	   	266.56	DCR|3VULN|3DUR|1TLV|1CDMG	178DUR|2578CGEN|3TLV|4LIT|678VULN|78BPWR|9CDMG|aRCR
33	63261 11325	5	   	266.36	DCR|3VULN|3DUR|1TLV|1CDMG	157DUR|27CGEN|3TLV|4LIT|679VULN|7BPWR|8CDMG|aRCR
34	63222 42126	3	   	265.77	DCR|4VULN|2DUR|1TLV|1CDMG	15DUR|2CGEN|3TLV|457aVULN|5BPWR|6CDMG|8RCR|9BEXP
