0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62335 16232	9	 * 	297.02	DCR|4VULN|2DMG|2TLV|1DUR|1CDMG	147aVULN|2RPLT|3CDMG|57DMG|67TLV|7BPWR|8DUR|9RCR
2	63161 12632	9	 * 	290.63	DCR|5VULN|2DUR|1TLV|1DMG	13468VULN|2TLV|58DUR|78ZMB|8BPWR|9DMG|aRCR
3	63162 11362	5	   	290.63	DCR|5VULN|2DUR|1TLV|1DMG	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9DMG|aRCR
4	63163 11362	4	   	290.63	DCR|5VULN|2DUR|1TLV|1DMG	13478VULN|2TLV|58CGEN|68DUR|8BPWR|9DMG|aRCR
5	62335 16232	10	 * 	290.55	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	147VULN|2RPLT|3CDMG|57DMG|67TLV|7BPWR|8aDUR|9RCR
6	63161 31362	6	   	290.43	DCR|5VULN|2DUR|1TLV|1DMG	13478VULN|2TLV|58DUR|68ERES|8BPWR|9DMG|aRCR
7	32135 15612	6	 * 	290.13	DCR|3VULN|3DUR|2DMG|2TLV	1RMIN|279DUR|348VULN|57DMG|67TLV|7BPWR|aRCR
8	32135 16252	8	   	290.13	DCR|3VULN|3DUR|2DMG|2TLV	1RMIN|278DUR|349VULN|57DMG|67TLV|7BPWR|aRCR
9	32135 16312	8	   	290.13	DCR|3VULN|3DUR|2DMG|2TLV	1RMIN|279DUR|348VULN|57DMG|67TLV|7BPWR|aRCR
10	32135 16612	7	   	290.13	DCR|3VULN|3DUR|2DMG|2TLV	1RMIN|279DUR|348VULN|57DMG|67TLV|7BPWR|aRCR
11	63161 16222	8	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	13468VULN|2TLV|58DUR|78LIT|8BPWR|9RCR|aDMSP
12	63161 16223	8	   	285.42	DCR|5VULN|2DUR|1TLV|2LIT	13468VULN|2TLV|58DUR|78LIT|8BPWR|9RCR|aCGEN
