0	Index      	Bounty	 *	Score 	Summary	Detail	
1	46323 26122	1	 * 	262.17	DCR|3VULN|3DUR|1TLV|1AART	19DUST|2AART|389VULN|4TLV|5LIT|679DUR|9BPWR|aRCR
2	32412 26261	10	 * 	258.65	DCR|2VULN|3DMG|1TLV|1DUR|1CDMG	1MLV|257DMG|3TLV|4CDMG|6DUR|89VULN|aRCR
3	22222 22372	9	 * 	255.65	DCR|3VULN|3DUR|2DMG	1RMIN|279DUST|3MBVNT|47DMG|579DUR|6RCR|79BPWR|89aVULN
4	21623 31244	1	 * 	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|2RCVC|38aDUR|4TBNT|58aVULN|6RCR|7MBVNT|8aBPWR|9aTLV
5	22233 31244	1	   	252.38	DCR|3VULN|3DUR|2TLV	1RMIN|28aDUR|3TBNT|4RCVC|58aVULN|6RCR|7MBVNT|8aBPWR|9aTLV
6	22213 31464	1	   	252.28	DCR|3VULN|3DUR|2TLV	1RMIN|24aDUR|3TBNT|59aVULN|6RCR|7MBVNT|8aTLV|aBPWR
7	22423 31464	1	   	252.28	DCR|3VULN|3DUR|2TLV	1RMIN|23aDUR|4TBNT|59aVULN|6RCR|7MBVNT|8aTLV|aBPWR
8	44112 36213	10	 * 	247.20	DCR|3VULN|3DMG|2CDMG	1aDUST|257DMG|3DMSP|4aCDMG|68aVULN|9RCR|aBPWR
9	44312 36213	10	   	247.20	DCR|3VULN|3DMG|2CDMG	1aDUST|257DMG|3RCVC|4aCDMG|68aVULN|9RCR|aBPWR
10	32413 13635	6	 * 	246.71	DCR|2VULN|2DMG|1TLV|3LIT|1CDMG	1MLV|29DMG|3TLV|4CDMG|589LIT|6DUST|79VULN|9BPWR|aRCR
11	22222 22354	8	 * 	246.61	DCR|2VULN|3DMG|3DUR	1RMIN|27aDUST|3MBVNT|479DMG|57aDUR|6RCR|7aBPWR|8aVULN
12	21212 21663	10	 * 	244.61	ACR|3VULN|2DMG|2TLV|2DUR	1RMIN|2RCR|3RPLT|4aDMG|579VULN|6aDUR|8aTLV|aBPWR
13	22222 22373	9	   	244.60	DCR|2VULN|3DUR|2DMG|1CDMG	1RMIN|279DUST|3MBVNT|47DMG|579DUR|6RCR|79BPWR|89VULN|aCDMG
14	21416 23343	10	   	244.57	ACR|3VULN|2DMG|2TLV|2DUR|1SELL	1RMIN|2RCR|3SELL|48aVULN|5aDUR|68TLV|78DMG|8aBPWR|9aFEWX
15	21416 23323	10	   	244.37	ACR|3VULN|2DMG|2TLV|2DUR|1SELL	1RMIN|2RCR|3SELL|48aVULN|5aDUR|68TLV|78DMG|8aBPWR|9aDUST
16	52422 35233	5	 * 	244.03	DCR|2VULN|2DMG|2DUR|1TLV	1ERES|28DMG|3TLV|4CGEN|58DUR|6MLV|78VULN|8BPWR|9RCR|aFEWX
17	52422 35232	5	   	243.93	DCR|2VULN|2DMG|2DUR|1TLV	1aERES|28DMG|3TLV|4CGEN|58DUR|6MLV|78VULN|8BPWR|9RCR
18	22222 22621	9	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|27DUST|3MBVNT|47DMG|57DUR|6RCR|7BPWR|8TLV|9aVULN
19	22222 22625	10	   	243.83	DCR|2VULN|2DMG|2DUR|1TLV	1RMIN|27DUST|3MBVNT|47DMG|57DUR|6RCR|7BPWR|8TLV|9aVULN
20	32412 26221	10	 * 	243.38	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG	1MLV|257DMG|3TLV|4CDMG|69DUR|8VULN|aRCR
21	52412 26221	10	   	243.28	DCR|3DMG|1VULN|2DUR|1TLV|1CDMG	1ERES|257DMG|3TLV|4CDMG|69DUR|8VULN|aRCR
22	46342 13231	1	 * 	242.85	DCR|5VULN|1DMG|1NUKE|1AART	145DUST|2AART|3458aVULN|458BPWR|6NUKE|7RCR|9DMG
23	32412 16261	10	   	242.30	DCR|2VULN|3DMG|1TLV|1CDMG	1MLV|257DMG|3TLV|4CDMG|6DUST|89VULN|aRCR
24	52144 31213	1	 * 	241.15	DCR|4VULN|1TLV|2CDMG	1ERES|24CDMG|34CGEN|4BPWR|589aVULN|6RCR|7TLV
25	52212 21626	6	 * 	241.05	DCR|4VULN|1TLV|1DMG	1ERES|2DMG|3RPLT|4568VULN|7TLV|9TBNT|aRCR
