0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63333 52125	9	 * 	268.03	DCR|3VULN|2DMG|2TLV|1CDMG	1aTLV|2LIT|37aVULN|4CDMG|5FEWX|6RCR|8RCVC|9aDMG|aBPWR
2	63311 41351	6	 * 	267.52	DCR|3VULN|2TLV|2DUR|2CDMG	19TLV|2LIT|39aVULN|48DUR|5FEWX|6RCR|79CDMG|9BPWR
3	63311 46112	10	 * 	265.99	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2LIT|3aVULN|4aDUR|5FEWX|6RCR|7aDMG|8DUST|9CDMG|aBPWR
4	31555 31222	10	 * 	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1BEXP|2RPLT|3578VULN|45TLV|5BPWR|6DMG|9DUR|aRCR
5	61123 21563	7	 * 	261.57	DCR|3VULN|2DMG|1TLV|3ASPD	1TLV|26aASPD|3MLV|4DUST|56aVULN|6aBPWR|7ZMB|8aDMG|9RCR
6	63311 46222	10	 * 	260.52	DCR|2VULN|2DMG|2TLV|2DUR	1aTLV|2LIT|3aVULN|48DUR|5FEWX|6RCR|7aDMG|9RPLT|aBPWR
7	62122 53511	4	 * 	260.00	DCR|4VULN|2TLV|2DUR	17TLV|2DUST|3567VULN|47ERES|7BPWR|8aDUR|9RCR
8	26252 33225	10	 * 	258.25	DCR|4VULN|3DMG|1AART	17aCGEN|2RPLT|3ERES|479aVULN|5AART|67aDMG|7aBPWR|8RCR
9	61323 22165	8	 * 	254.75	DCR|3VULN|2DUR|1TLV|3ASPD	1TLV|269ASPD|3CGEN|4DUST|569VULN|69BPWR|7MLV|89DUR|aRCR
10	63313 16622	5	   	254.04	DCR|2VULN|2DMG|2TLV|1DUR	1aTLV|2LIT|3aVULN|4DUR|5ASPD|6TBNT|7RCR|8aDMG|9BBNT|aBPWR
11	63311 41151	6	   	252.94	DCR|3VULN|2TLV|2CDMG|1DUR	19TLV|2LIT|39aVULN|4DUR|5FEWX|6RCR|79CDMG|8DMSP|9BPWR
12	63311 42151	7	   	252.94	DCR|3VULN|2TLV|2CDMG|1DUR	19TLV|2LIT|39aVULN|4DUR|5FEWX|6RCR|7RCVC|89CDMG|9BPWR
13	63335 52231	9	   	252.83	DCR|3VULN|2DUR|1TLV|1CDMG	1TLV|2LIT|37aVULN|4CDMG|5LEGI|6RCR|89DUR
