0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26316 21531	1	 * 	289.20	DCR|4VULN|3DUR|3TLV|2AART	16AART|2BBNT|378TLV|478DUR|5789VULN|78BPWR|aRCR
2	25244 32133	7	 * 	279.01	DCR|4VULN|3DMG|1AART	1AART|2DMSP|359DMG|4579VULN|59BPWR|6RCVC|8RCR|aLIT
3	21624 23335	5	   	278.58	DCR|4VULN|3DMG|2AART	17AART|29BEXP|369DMG|4689VULN|5RCVC|69BPWR|aRCR
4	21626 23335	5	   	278.58	DCR|4VULN|3DMG|2AART	17AART|29BEXP|369DMG|4689VULN|5DMSP|69BPWR|aRCR
5	25244 32131	7	   	270.71	DCR|4VULN|3DMG|1AART	1AART|2DMSP|359DMG|4579VULN|59BPWR|6aRCVC|8RCR
6	25244 32132	7	   	270.71	DCR|4VULN|3DMG|1AART	1AART|2DMSP|359DMG|4579VULN|59BPWR|6RCVC|8RCR|aZMB
7	26225 21531	1	   	269.33	DCR|4VULN|3DUR|2AART	16AART|2BBNT|3789VULN|478DUR|578MLV|78BPWR|aRCR
8	25241 23125	4	 * 	268.03	DCR|3VULN|3DMG|2TLV|1AART	1AART|2DMSP|357DMG|479VULN|67TLV|7BPWR|8CGEN|aRCR
9	62134 22241	6	 * 	267.31	DCR|5VULN|2TLV|1DMG	1aMLV|2459aVULN|3DMG|6CGEN|7RCR|8aTLV|aBPWR
10	25213 62631	8	   	267.04	DCR|3VULN|3DMG|2AART|1ASPD	14AART|2DMSP|389DMG|5ASPD|689ZMB|789VULN|89BPWR|aRCR
11	62114 22241	6	 * 	265.35	DCR|4VULN|2DMG|2TLV	1aMLV|259aVULN|34DMG|6CGEN|7RCR|8aTLV|aBPWR
12	62132 12241	6	   	265.35	DCR|4VULN|2DMG|2TLV	1aMLV|249aVULN|36DMG|5CGEN|7RCR|8aTLV|aBPWR
13	62135 22241	6	   	265.35	DCR|4VULN|2DMG|2TLV	1aMLV|249aVULN|35DMG|6CGEN|7RCR|8aTLV|aBPWR
14	34124 33325	8	 * 	264.29	DCR|3VULN|2DMG|2DUR|1ASPD	126DUST|3aDMG|4ASPD|59aVULN|7RCR|8aDUR|aBPWR
15	62231 61314	8	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	17MLV|267VULN|3LIT|4TLV|57DMG|7BPWR|8DUR|9RCVC|aRCR
16	43121 13526	10	   	263.39	DCR|5VULN|1DMG|1TLV	1LHND|24568VULN|3FEWX|7TLV|9DMG|aRCR
17	25244 23122	7	   	262.21	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1AART|2DMSP|35DMG|459VULN|5BPWR|6DUR|7CDMG|8RCR|aMLV
18	25244 23123	7	   	262.11	DCR|3VULN|2DMG|1DUR|1CDMG|1AART	1AART|2DMSP|35DMG|459VULN|5BPWR|6DUR|7CDMG|8RCR|aTBNT
19	62134 13252	6	   	261.44	DCR|4VULN|2DMG|1DUR	16MLV|2457VULN|3aDMG|8DUR|9RCR
20	62114 12132	10	   	261.04	DCR|4VULN|3DMG	169MLV|2589VULN|349DMG|7DMSP|9BPWR|aRCR
21	62114 16132	10	   	261.04	DCR|4VULN|3DMG	169MLV|2589VULN|349DMG|7RCVC|9BPWR|aRCR
22	62135 12132	10	   	261.04	DCR|4VULN|3DMG	169MLV|2489VULN|359DMG|7DMSP|9BPWR|aRCR
23	62135 16132	10	   	261.04	DCR|4VULN|3DMG	169MLV|2489VULN|359DMG|7RCVC|9BPWR|aRCR
24	43121 14335	7	   	260.84	DCR|4VULN|3DMG	1LHND|2456VULN|3FEWX|789DMG|aRCR
25	43121 16335	6	   	260.84	DCR|4VULN|3DMG	1LHND|2456VULN|3FEWX|789DMG|aRCR
26	33263 31254	9	   	260.74	DCR|4VULN|3DMG	137DUST|278aVULN|4MBVNT|5RPLT|678DMG|78BPWR|9RCR
27	33121 14335	7	   	260.74	DCR|4VULN|3DMG	1DUST|2456VULN|3FEWX|789DMG|aRCR
28	33121 16335	6	   	260.74	DCR|4VULN|3DMG	1DUST|2456VULN|3FEWX|789DMG|aRCR
29	23411 51413	4	   	260.51	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|28LIT|3RPLT|4DMG|5BELT|68aVULN|78DUR|8BPWR|9RCR
30	23231 21245	9	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|26LIT|3LWND|479VULN|56DUR|6BPWR|8DMG|aRCR
31	23531 21245	9	   	260.41	DCR|3VULN|2DUR|1DMG|2LIT|1AART	1AART|26LIT|3FEWX|479VULN|56DUR|6BPWR|8DMG|aRCR
32	62133 14647	8	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1MLV|2468VULN|3DMG|5MBVNT|7TLV|9RCR|aDUR
33	33121 13532	10	   	259.48	DCR|5VULN|1TLV|1DUR	1DUST|24568VULN|3FEWX|7TLV|9DUR|aRCR
