0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33182 61421	1	 * 	281.91	DCR|5VULN|2DMG|2DUR	1578aVULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR
2	33182 61428	1	 * 	279.23	DCR|4VULN|3DMG|2DUR	1578VULN|2MBVNT|38DUR|48aDMG|6BELT|8BPWR|9RCR
3	31241 26211	1	 * 	276.80	DCR|4VULN|3DUR|2DMG	1579VULN|29DMG|369DUR|4TBNT|8RCR|9BPWR|aMLV
4	31241 26213	1	   	276.80	DCR|4VULN|3DUR|2DMG	1579VULN|29DMG|369DUR|4TBNT|8RCR|9BPWR|aDMSP
5	31241 26216	1	   	276.80	DCR|4VULN|3DUR|2DMG	1579VULN|29DMG|369DUR|4TBNT|8RCR|9BPWR|aFEWX
6	31241 26212	1	   	276.70	DCR|4VULN|3DUR|2DMG	1579VULN|29DMG|369DUR|4TBNT|8RCR|9BPWR|aBBNT
7	31241 26215	1	   	276.70	DCR|4VULN|3DUR|2DMG	1579VULN|29DMG|369DUR|4TBNT|8RCR|9BPWR|aMBVNT
8	33132 61256	2	   	273.71	DCR|3VULN|3DUR|2DMG|1AART	157VULN|2DUST|378DUR|47DMG|6AART|7BPWR|9LIT|aRCR
9	33272 37642	1	 * 	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	179aVULN|2MBVNT|37CDMG|4TLV|5LHND|67DUR|7BPWR|8RCR
10	33273 37642	1	   	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	179aVULN|2MBVNT|37CDMG|4TLV|5LWND|67DUR|7BPWR|8RCR
11	33182 61427	1	   	271.88	DCR|4VULN|2DMG|2DUR	1578VULN|2MBVNT|38DUR|48DMG|6BELT|8BPWR|9RCR|aLIT
12	53362 25321	6	   	269.99	DCR|4VULN|2DUR|1TLV|1AART	1AART|2LIT|3568VULN|46DUR|6BPWR|7RCR|9LEGI|aTLV
13	34512 16333	4	 * 	269.89	DCR|3VULN|3DMG|1TLV|1DUR	189VULN|2RPLT|39aDMG|4DUR|5TLV|69LHND|7RCR|9BPWR
14	34522 16333	2	 * 	268.82	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2RPLT|39DUR|4aDMG|5TLV|69LHND|7RCR|9BPWR
15	34622 26333	2	   	268.82	DCR|3VULN|2DMG|2DUR|1TLV	189VULN|2RPLT|39LHND|4aDMG|5TLV|69DUR|7RCR|9BPWR
16	34322 18431	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|2RPLT|3MBVNT|49DMG|5TLV|6LHND|89DUR|9BPWR|aRCR
17	34343 33831	3	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|2RPLT|3MBVNT|59DUR|6TLV|7FEWX|89DMG|9BPWR|aRCR
18	31425 51112	1	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	17aVULN|2aDMG|3TLV|4ERES|5aDUR|6BELT|8RCR|9TBNT|aBPWR
19	35512 43322	2	 * 	268.50	DCR|4VULN|2DMG|1TLV|1AART	1467VULN|2AART|3BBNT|56DMG|6BPWR|8FEWX|9RCR|aTLV
20	35133 46211	1	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1479VULN|2RCVC|3BBNT|49BPWR|59DUR|69ASPD|8RCR|aTLV
21	34523 34333	6	 * 	267.76	DCR|2VULN|3DMG|2TLV|2DUR	19VULN|2RPLT|34aDMG|59DUR|6RCR|7LEGI|89TLV|9BPWR
22	35412 11336	5	   	267.05	DCR|4VULN|2DMG|1DUR|1AART	1479VULN|2AART|3DUR|57DMG|67FEWX|7BPWR|8LIT|aRCR
23	34522 34331	7	   	266.93	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	19VULN|2RPLT|349DMG|5LWND|6RCR|7DUR|89TLV|9BPWR|aCDMG
24	26342 14213	3	   	266.58	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4BBNT|569VULN|69BPWR|79DUR|8RCR|aASPD
25	26352 14213	3	   	266.58	DCR|3VULN|3DMG|2DUR	1DMSP|269DMG|3RCVC|4TBNT|569VULN|69BPWR|79DUR|8RCR|aASPD
26	35423 21512	6	 * 	266.51	ACR|5VULN|3DUR|3ASPD|2AART	1679aVULN|28AART|37aDUR|47aASPD|5RCR|7aBPWR
27	52322 21453	6	   	265.77	DCR|4VULN|1TLV|1DMG|2LIT|1AART	1AART|2DUST|36LIT|456aVULN|6BPWR|7TLV|8RCR|9DMG
28	32142 37642	4	 * 	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	179aVULN|27CDMG|3LWND|4MBVNT|5DUR|67TLV|7BPWR|8RCR
29	32142 37642	5	   	265.58	DCR|4VULN|2TLV|2CDMG|1DUR	179aVULN|27CDMG|3LWND|4MBVNT|5DUR|67TLV|7BPWR|8RCR
30	35212 41232	6	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	147VULN|2AART|3BEXP|57DMG|678DUR|7BPWR|9BBNT|aRCR
31	33132 61232	2	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	157VULN|2DUST|378DUR|47DMG|6AART|7BPWR|9BBNT|aRCR
32	33325 61232	4	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	137VULN|2DUST|47DMG|5AART|678DUR|7BPWR|9BBNT|aRCR
33	33366 61232	3	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	137VULN|2DUST|478DUR|57DMG|6AART|7BPWR|9BBNT|aRCR
34	33532 61232	3	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	157VULN|2DUST|378DUR|47DMG|6AART|7BPWR|9BBNT|aRCR
35	35512 41232	6	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	147VULN|2AART|3DUST|57DMG|678DUR|7BPWR|9BBNT|aRCR
36	35512 61232	5	   	265.31	DCR|3VULN|3DUR|2DMG|1AART	147VULN|2AART|3DUST|57DMG|678DUR|7BPWR|9BBNT|aRCR
