0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12141 11423	8	 * 	277.39	DCR|4VULN|3DMG|1DUR	18aBEXP|248aVULN|3DUR|5LHND|68aDMG|7RCR|8aBPWR|9TBNT
2	35222 26523	9	 * 	276.32	DCR|4VULN|2DMG|2DUR	14aLHND|2BELT|3457VULN|4aBPWR|6aDMG|8RCR|9aDUR
3	12141 11433	10	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aASPD
4	12153 33624	10	 * 	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1aBEXP|26aVULN|38DUR|4AART|5DMG|7aCDMG|9RCR|aBPWR
5	12141 26433	10	 * 	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|6RCR|78ASPD|8BPWR|aDMG
6	12362 12325	7	 * 	265.21	DCR|5VULN|1DMG|1AART	13BEXP|2367aVULN|3BPWR|4LIT|5AART|8RCR|9DMG
7	12362 13325	6	   	265.21	DCR|5VULN|1DMG|1AART	13BEXP|2367aVULN|3BPWR|4LIT|5AART|8RCR|9DMG
8	12141 11543	7	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	19BEXP|249VULN|3DUR|5LHND|69aDMG|7RCR|8AART|9BPWR
9	12152 51143	8	   	264.31	DCR|3VULN|3DMG|1DUR|1AART	19BEXP|289VULN|3DUR|4AART|5LHND|6RCR|79aDMG|9BPWR
10	12141 11453	10	   	262.96	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9LIT
11	12362 12321	7	   	261.92	DCR|4VULN|1DMG|1DUR|1AART	13BEXP|2367VULN|3BPWR|4LIT|5AART|8RCR|9DMG|aDUR
12	12362 13321	6	   	261.92	DCR|4VULN|1DMG|1DUR|1AART	13BEXP|2367VULN|3BPWR|4LIT|5AART|8RCR|9DMG|aDUR
13	12322 11451	10	   	261.74	DCR|4VULN|2DMG|1DUR	138BEXP|238aVULN|38BPWR|4LHND|5FEWX|68DMG|7RCR|9DUR
14	12141 11431	10	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aMLV
15	12141 11432	10	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aFEWX
16	12141 11432	9	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aBELT
17	12141 11434	9	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aCGEN
18	12141 11434	10	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aCGEN
19	12141 11435	9	   	261.64	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aRCVC
20	12141 11431	9	   	261.54	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aDUST
21	12141 11436	9	   	261.54	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aERES
22	12141 11436	10	   	261.54	DCR|4VULN|2DMG|1DUR	18BEXP|2489VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|aDUST
23	12241 11453	8	   	261.04	DCR|4VULN|3DMG	18aBEXP|248aVULN|3DUST|5LHND|68aDMG|7RCR|8aBPWR|9TBNT
24	35221 16523	9	 * 	259.89	DCR|4VULN|2DUR|2ASPD	14aLHND|2BELT|3467VULN|4aBPWR|5aASPD|8RCR|9aDUR
25	12363 66121	7	 * 	258.91	DCR|4VULN|2CDMG|1DUR|2LIT	138BEXP|2389VULN|38BPWR|4aLIT|5DUR|6RCR|78CDMG
26	42213 22215	1	 * 	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18CGEN|26TLV|38DMG|4BBNT|578VULN|8BPWR|9DUR|aRCR
27	12141 25131	10	 * 	258.54	DCR|4VULN|2DUR|2TLV	1aBEXP|249aVULN|37DUR|5LHND|6RCR|8aTLV|aBPWR
28	12153 33433	5	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1BEXP|289VULN|3DUR|4AART|5DMG|6ASPD|7RCR|aTLV
29	12153 53433	6	   	258.13	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD|1AART	1BEXP|289VULN|3DUR|4AART|5DMG|6ASPD|7RCR|aTLV
30	36613 43321	5	 * 	257.53	DCR|3VULN|3DUR|1DMG	19LHND|2DMG|349DUR|5RPLT|6RCR|789VULN|9BPWR|aLIT
31	12142 41331	9	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2469VULN|3DUR|5DMG|7RCVC|8RCR|aCDMG
32	12142 41361	8	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1BEXP|2469VULN|3DUR|5DMG|7RCVC|8RCR|aCDMG
33	33353 63533	10	   	257.48	DCR|3VULN|2ASPD|1DMG|1TLV|2LIT	17LHND|27LIT|389VULN|4TLV|57ASPD|6RCR|7BPWR|aDMG
34	12142 11424	10	 * 	257.08	DCR|3VULN|3CDMG|1DMG|1DUR|1AART	1aBEXP|24aVULN|3DUR|5DMG|67aCDMG|8AART|9RCR|aBPWR
35	12153 33324	10	   	257.08	DCR|3VULN|3CDMG|1DMG|1DUR|1AART	1aBEXP|26aVULN|3DUR|4AART|5DMG|78aCDMG|9RCR|aBPWR
36	12322 11441	9	   	256.49	DCR|4VULN|2DMG|1ASPD	138BEXP|238aVULN|38BPWR|4LHND|5FEWX|68DMG|7RCR|9ASPD
37	12141 11541	7	   	256.43	DCR|3VULN|2DMG|2AART|1DUR	19BEXP|249VULN|3DUR|5LHND|69DMG|7RCR|8aAART|9BPWR
38	12152 51141	8	   	256.43	DCR|3VULN|2DMG|2AART|1DUR	19BEXP|289VULN|3DUR|4aAART|5LHND|6RCR|79DMG|9BPWR
39	12153 23624	10	 * 	256.30	DCR|2VULN|2DMG|2DUR|2CDMG|1AART	1aBEXP|2aVULN|38DUR|4AART|56DMG|7aCDMG|9RCR|aBPWR
40	12241 11433	10	   	256.29	DCR|4VULN|2DMG|1ASPD	18BEXP|2489VULN|3DUST|5LHND|68DMG|7RCR|8BPWR|aASPD
41	12241 11433	9	   	256.29	DCR|4VULN|2DMG|1ASPD	18BEXP|2489VULN|3DUST|5LHND|68DMG|7RCR|8BPWR|aASPD
42	12165 11631	10	 * 	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1aBEXP|29VULN|38aDUR|4TLV|5ZMB|6aDMG|7RCR|aBPWR
43	12153 33431	5	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1BEXP|289VULN|3DUR|4AART|5DMG|6ASPD|7RCR|aCDMG
44	12153 53431	6	   	255.53	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD|1AART	1BEXP|289VULN|3DUR|4AART|5DMG|6ASPD|7RCR|aCDMG
45	12362 12612	9	   	255.51	DCR|4VULN|1DUR|1CDMG|1AART	13BEXP|2367VULN|3BPWR|4LIT|5AART|8CDMG|9DUR|aRCR
46	12141 11413	9	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18BEXP|248VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|9FEWX|aTLV
47	12141 11423	9	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18BEXP|248VULN|3DUR|5LHND|68DMG|7RCR|8BPWR|9LWND|aTLV
48	12542 11413	8	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	18BEXP|248VULN|3LHND|5FEWX|68DMG|7RCR|8BPWR|9DUR|aTLV
49	12141 13583	8	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	18BEXP|248VULN|3DUR|5LHND|68DMG|7MBVNT|8BPWR|9RCR|aTLV
50	22513 43352	5	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	19ERES|2RPLT|39DMG|4DUR|5TLV|6RCR|789VULN|9BPWR|aDUST
51	22513 43353	5	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	19aERES|2RPLT|39DMG|4DUR|5TLV|6RCR|789VULN|9BPWR
52	12141 26233	10	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1BEXP|2489VULN|3DUR|5LHND|6RCR|7ASPD|aDMG
53	12142 31433	9	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	18BEXP|2489VULN|3DUR|5DMG|68DUST|7RCR|8BPWR|aASPD
54	12142 31433	10	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	18BEXP|2489VULN|3DUR|5DMG|68DUST|7RCR|8BPWR|aASPD
55	12142 41333	9	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1BEXP|2469VULN|3DUR|5DMG|7RCVC|8RCR|aASPD
56	12142 41363	8	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1BEXP|2469VULN|3DUR|5DMG|7RCVC|8RCR|aASPD
57	12141 26423	8	 * 	254.82	DCR|4VULN|3ASPD|1DUR	18aBEXP|248aVULN|3DUR|5LHND|6RCR|78aASPD|8aBPWR|9TBNT
58	11682 13452	9	   	254.65	DCR|3VULN|3DMG|1DUR	128BEXP|3MBVNT|4BELT|589VULN|689DMG|7RCR|89BPWR|aDUR
59	12141 11411	10	   	254.65	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9FEWX
60	12141 11414	9	   	254.65	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9FEWX
61	12141 11421	10	   	254.65	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9LWND
62	12141 11424	9	   	254.65	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9LWND
63	12141 25133	10	   	254.62	DCR|4VULN|2DUR|1TLV	1BEXP|249aVULN|37DUR|5LHND|6RCR|8TLV
64	12141 25262	10	   	254.62	DCR|4VULN|2DUR|1TLV	1BEXP|2489VULN|37DUR|5LHND|6RCR|aTLV
65	12141 11434	8	   	254.55	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9DUST
66	12141 11441	10	   	254.55	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUR|5LHND|68aDMG|7RCR|8BPWR|9DUST
67	12241 11414	8	   	254.55	DCR|3VULN|3DMG|1DUR	18BEXP|248VULN|3DUST|5LHND|68aDMG|7RCR|8BPWR|9DUR
68	12363 62613	9	   	253.96	DCR|3VULN|2DUR|2TLV|1AART	139BEXP|239VULN|39BPWR|4LIT|57DUR|6RCR|89TLV|aAART
69	42163 25312	8	   	253.85	DCR|3VULN|2DMG|1TLV|2LIT	19CGEN|2RPLT|39LIT|4TLV|5aDMG|679VULN|8RCR|9BPWR
70	35222 22523	9	   	253.68	DCR|3VULN|2DMG|2DUR	14aLHND|2BELT|345VULN|4aBPWR|6aDMG|7RCVC|8RCR|9aDUR
71	35222 25523	9	   	253.68	DCR|3VULN|2DMG|2DUR	147aLHND|2BELT|345VULN|4aBPWR|6aDMG|8RCR|9aDUR
72	22163 45212	8	   	253.65	DCR|3VULN|2DMG|1TLV|2LIT	19ERES|2RPLT|39LIT|4TLV|5aDMG|6RCR|789VULN|9BPWR
73	12362 16111	6	 * 	253.61	DCR|4VULN|3LIT|1DUR|1AART	137BEXP|2367VULN|37BPWR|479LIT|5AART|8DUR|aRCR
74	12141 11412	8	   	253.58	DCR|3VULN|2DMG|2DUR	18BEXP|248VULN|39DUR|5LHND|68DMG|7RCR|8BPWR|aBELT
75	12141 11412	9	   	253.58	DCR|3VULN|2DMG|2DUR	18BEXP|248VULN|3aDUR|5LHND|68DMG|7RCR|8BPWR|9FEWX
