0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11163 43236	6	 * 	297.02	DCR|4VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2CGEN|3689VULN|4DUR|5CDMG|79DMG|9BPWR|aRCR
2	12132 31554	5	 * 	292.54	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aAART
3	11163 53236	5	 * 	290.55	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	19TLV|2CGEN|389VULN|46DUR|5CDMG|79DMG|9BPWR|aRCR
4	12132 31533	5	   	283.37	DCR|4VULN|2DMG|2TLV|1DUR	18TLV|258aVULN|34DMSP|68DMG|7RCR|8BPWR|9DUR
5	12132 31551	5	   	282.87	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aCGEN
6	12132 31555	5	   	282.87	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aRCVC
7	12132 31556	5	   	282.87	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aLWND
8	12132 31552	5	   	282.77	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aBBNT
9	12132 31553	5	   	282.77	DCR|4VULN|3DMG|3TLV	189TLV|2589VULN|34DMSP|689DMG|7RCR|89BPWR|aDUST
10	21125 23536	8	   	282.57	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|235VULN|459CGEN|59BPWR|6TLV|7CDMG|89DMG|aRCR
11	21121 23536	8	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|235VULN|49CGEN|6TLV|7CDMG|89DMG|9BPWR|aRCR
12	23453 23236	4	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	19DUR|2RCVC|3TLV|489VULN|5CDMG|6CGEN|79DMG|9BPWR|aRCR
13	11133 11236	3	 * 	282.26	DCR|4VULN|2TLV|2DUR|1CDMG	19TLV|2CGEN|3789VULN|4ASPD|5CDMG|69DUR|9BPWR|aRCR
14	11133 42536	8	   	280.77	DCR|4VULN|2DMG|2TLV|1CDMG	19TLV|2CGEN|3679VULN|4LWND|5CDMG|89DMG|9BPWR|aRCR
15	12113 12212	2	 * 	278.90	DCR|4VULN|3DUR|1TLV|1CDMG	1TLV|279aVULN|346DUR|5CDMG|8RCR
16	12211 62218	1	 * 	278.45	DCR|5VULN|2TLV|2DUR|1NUKE	18TLV|2MBVNT|35689VULN|48DUR|7NUKE|8BPWR|aRCR
17	21141 44323	3	   	278.29	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|237VULN|4AART|5TBNT|67DMG|7BPWR|8MBVNT|9TLV|aRCR
18	12323 21236	4	 * 	276.08	DCR|5VULN|2TLV|2CDMG	19TLV|2789aVULN|3ASPD|4CGEN|59CDMG|6RCR|9BPWR
19	12326 21236	5	   	276.08	DCR|5VULN|2TLV|2CDMG	19TLV|2789aVULN|3ASPD|4CGEN|59CDMG|6RCR|9BPWR
20	12333 21236	2	   	276.08	DCR|5VULN|2TLV|2CDMG	19TLV|2789aVULN|3CGEN|4ASPD|59CDMG|6RCR|9BPWR
21	11163 32536	8	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|26CGEN|379VULN|4DUR|5CDMG|89DMG|9BPWR|aRCR
22	11163 43361	6	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1aTLV|2CGEN|36aVULN|4DUR|5CDMG|7aDMG|8RCR|9RPLT|aBPWR
23	11163 33236	6	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|26CGEN|389VULN|4DUR|5CDMG|79DMG|9BPWR|aRCR
24	11163 33236	5	   	275.97	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	19TLV|2CGEN|389VULN|4DUR|5CDMG|6RCVC|79DMG|9BPWR|aRCR
25	21345 41661	2	   	275.83	DCR|3VULN|2TLV|2DUR|1DMG	18DUR|248VULN|3MBVNT|5LIT|6ASPD|78TLV|8BPWR|9DMG|aRCR
26	11163 42336	7	   	275.52	DCR|4VULN|2TLV|2ASPD|1DUR|1CDMG	19TLV|2CGEN|3679VULN|4DUR|5CDMG|89ASPD|9BPWR|aRCR
27	25211 33221	2	 * 	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|3589VULN|68TLV|7RCR|8BPWR|aLHND
28	25211 33222	2	   	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|3589VULN|68TLV|7RCR|8BPWR|aFEWX
29	25211 33223	2	   	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|3589VULN|68TLV|7RCR|8BPWR|aMLV
30	25211 33225	2	   	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|3589VULN|68TLV|7RCR|8BPWR|aBEXP
31	25211 33242	2	   	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|358aVULN|68TLV|7RCR|8BPWR|9FEWX
32	25211 33252	2	   	273.53	DCR|4VULN|3DUR|2TLV	148DUR|2RMIN|358aVULN|68TLV|7RCR|8BPWR|9LWND
33	21163 31534	6	 * 	272.57	DCR|3VULN|3DUR|1TLV|2CDMG	148DUR|238VULN|5TLV|6LIT|78CDMG|8BPWR|9DUST|aRCR
34	25211 33263	2	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148DUR|2RMIN|358VULN|68TLV|7RCR|8BPWR|9RPLT|aDMG
35	12132 31511	5	   	270.03	DCR|3VULN|3DMG|2TLV	18TLV|258VULN|34DMSP|689DMG|7RCR|8BPWR|aLIT
36	12323 11236	4	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	19TLV|278VULN|39ASPD|4CGEN|5CDMG|69DUR|9BPWR|aRCR
37	12326 11236	5	   	269.05	DCR|3VULN|2TLV|2DUR|2ASPD|1CDMG	19TLV|278VULN|39ASPD|4CGEN|5CDMG|69DUR|9BPWR|aRCR
38	24631 33412	7	   	269.00	DCR|3VULN|2DUR|1TLV|1DMG	18DUR|2ASPD|38aVULN|4AART|5DMG|6TLV|78ERES|8BPWR|9RCR
39	12325 52236	4	   	268.36	DCR|4VULN|2TLV|2DUR|1SELL	19TLV|2689VULN|3ASPD|4CGEN|59DUR|7SELL|9BPWR|aRCR
40	12335 52236	2	   	268.36	DCR|4VULN|2TLV|2DUR|1SELL	19TLV|2689VULN|3CGEN|4ASPD|59DUR|7SELL|9BPWR|aRCR
41	12423 21236	4	   	267.77	DCR|5VULN|2TLV|2CDMG	19TLV|2789aVULN|3ZMB|4CGEN|59CDMG|6RCR|9BPWR
42	12426 21236	5	   	267.77	DCR|5VULN|2TLV|2CDMG	19TLV|2789aVULN|3ZMB|4CGEN|59CDMG|6RCR|9BPWR
43	21121 23556	8	   	267.69	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|235VULN|4CGEN|6TLV|7CDMG|89DMG|aRCR
44	12523 38621	1	   	267.52	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2MBVNT|3CGEN|4aDUR|5DMG|6ASPD|78aVULN|9RCR|aBPWR
45	12323 21231	4	   	267.40	DCR|4VULN|2TLV|2CDMG	19TLV|2789VULN|3ASPD|4CGEN|59CDMG|6RCR|9BPWR|aAART
46	12326 21231	5	   	267.40	DCR|4VULN|2TLV|2CDMG	19TLV|2789VULN|3ASPD|4CGEN|59CDMG|6RCR|9BPWR|aAART
47	12333 21231	2	   	267.40	DCR|4VULN|2TLV|2CDMG	19TLV|2789VULN|3CGEN|4ASPD|59CDMG|6RCR|9BPWR|aAART
48	12132 34154	5	   	267.12	DCR|4VULN|2DMG|2TLV	19TLV|2579VULN|34aDMSP|69DMG|8RCR|9BPWR
49	12132 34155	5	   	267.12	DCR|4VULN|2DMG|2TLV	19TLV|2579VULN|34DMSP|69DMG|8RCR|9BPWR|aBELT
50	12132 34156	5	   	267.12	DCR|4VULN|2DMG|2TLV	19TLV|2579VULN|34DMSP|69DMG|8RCR|9BPWR|aFEWX
