0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14312 63633	2	 * 	278.58	DCR|3VULN|3DUR|3TLV|3CDMG	179DUR|279CDMG|36aVULN|4CGEN|579TLV|79BPWR|8RCR
2	12364 13213	2	 * 	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DUR|2AART|3TLV|47DMG|57aVULN|6BBNT|7BPWR|8FEWX|9RCR
3	12364 13413	2	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV|1AART	17DUR|2AART|3TLV|47DMG|57aVULN|6BBNT|7BPWR|8BEXP|9RCR
4	16233 14632	6	 * 	276.38	DCR|3VULN|3DUR|1TLV|3ASPD	179DUR|279ASPD|3RCVC|4TLV|5LIT|679VULN|79BPWR|8TBNT|aRCR
5	16233 24632	5	   	276.38	DCR|3VULN|3DUR|1TLV|3ASPD	179DUR|279ASPD|3RCVC|4TLV|5LIT|679VULN|79BPWR|8TBNT|aRCR
6	34233 14632	6	   	276.38	DCR|3VULN|3DUR|1TLV|3ASPD	179ASPD|2RCVC|379DUR|4TLV|5LIT|679VULN|79BPWR|8TBNT|aRCR
7	34233 24632	5	   	276.38	DCR|3VULN|3DUR|1TLV|3ASPD	179ASPD|2RCVC|379DUR|4TLV|5LIT|679VULN|79BPWR|8TBNT|aRCR
8	14312 63611	2	   	272.44	DCR|3VULN|3DUR|2TLV|2CDMG	179DUR|27CDMG|36aVULN|4CGEN|57TLV|7BPWR|8RCR
9	14322 63611	2	   	272.34	DCR|3VULN|3DUR|2TLV|2CDMG	179DUR|27CDMG|36aVULN|4ERES|57TLV|7BPWR|8RCR
10	66131 25322	2	 * 	272.03	DCR|5VULN|1TLV|2ASPD|1DUR	13567VULN|25ASPD|4RMIN|5BPWR|8TLV|9RCR|aDUR
11	65422 11313	2	 * 	271.78	DCR|3VULN|3DMG|2DUR|1CDMG|1SELL	149VULN|2SELL|349DMG|49BPWR|5CDMG|6LWND|79DUR|8RPLT|aRCR
12	12223 43635	8	 * 	270.78	ACR|3VULN|3DMG|3DUR|1CDMG|1AART|1SELL	19aDUR|2AART|39aDMG|4RCR|5SELL|6LIT|7CDMG|89aVULN|9aBPWR
13	12224 62111	10	 * 	270.65	ACR|4VULN|3DUR|3CDMG|1DMG|2AART	18aDUR|25AART|3DMG|4RCR|689aVULN|78aCDMG|8aBPWR
14	62241 21632	3	 * 	270.49	DCR|3VULN|2DMG|2TLV|2LIT|1AART	159VULN|2AART|35DMG|4BBNT|59BPWR|6TBNT|79LIT|89TLV|aRCR
15	62531 21632	2	   	270.49	DCR|3VULN|2DMG|2TLV|2LIT|1AART	159VULN|2AART|3TBNT|45DMG|59BPWR|6BBNT|79LIT|89TLV|aRCR
16	16133 33162	8	   	268.86	DCR|3VULN|3DUR|1TLV|2ASPD	139DUR|29ASPD|4TLV|5LIT|6RMIN|7RCR|89aVULN|9BPWR
17	12242 35134	10	   	268.07	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	1DUR|2AART|3DMG|4LIT|568VULN|7CDMG|9TLV|aRCR
18	12226 23542	6	 * 	267.50	ACR|3VULN|3DUR|2DMG|2TLV|1AART	17aDUR|2AART|38DMG|4RCR|579VULN|67TLV|7BPWR
19	12314 13651	2	   	265.90	DCR|2VULN|2DUR|1TLV|1DMG|2ASPD|1CDMG|1AART	17DUR|2AART|3TLV|47ASPD|57VULN|6BBNT|7BPWR|8DMG|9CDMG|aRCR
20	52613 13111	8	 * 	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|2DMG|348aVULN|5LIT|6TLV|7RCR|9DUR
21	55234 13111	8	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1CGEN|248aVULN|3LIT|5DMG|6TLV|7RCR|9DUR
22	16133 33166	8	 * 	264.23	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD	139DUR|29ASPD|4TLV|5LIT|6RMIN|7RCR|89VULN|9BPWR|aDMG
23	15332 36313	2	 * 	263.81	DCR|3VULN|3DUR|2DMG|1SELL	17aDUR|2SELL|35aVULN|4DUST|6LIT|8aDMG|9RCR|aBPWR
24	64361 31112	3	 * 	263.54	DCR|4VULN|1TLV|3CDMG|1DUR	1456VULN|268CDMG|3RCVC|6BPWR|7TLV|9RCR|aDUR
25	52613 13511	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|28DMG|34aVULN|5LIT|6TLV|7RCR|9DUR
26	52623 13111	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1CGEN|24DMG|38aVULN|5LIT|6TLV|7RCR|9DUR
27	12241 32322	10	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19DUR|2AART|39DMG|4LIT|5BEXP|69VULN|7RMIN|8RCR|9BPWR|aTLV
28	12244 32322	10	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19DUR|2AART|39DMG|4LIT|5FEWX|69VULN|7RMIN|8RCR|9BPWR|aTLV
29	62241 22322	10	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	19VULN|2AART|39DMG|4LIT|5BEXP|69DUR|7RMIN|8RCR|9BPWR|aTLV
