0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21232 13316	10	 * 	278.58	DCR|3VULN|3DUR|3TLV|3CDMG	148DUR|279VULN|389CDMG|5RCVC|689TLV|89BPWR|aRCR
2	21315 51215	2	 * 	277.22	DCR|4VULN|2DMG|2DUR|1CDMG	1aDUR|257aVULN|3TBNT|4CDMG|6CGEN|8aDMG|9RCR|aBPWR
3	21315 31315	2	   	277.12	DCR|4VULN|2DMG|2DUR|1CDMG	1aDUR|257aVULN|3TBNT|4CDMG|6ERES|8aDMG|9RCR|aBPWR
4	21421 23626	5	 * 	275.00	DCR|2VULN|3DUR|2DMG|2TLV|1AART	135DUR|2aVULN|4aTLV|6TBNT|7AART|8RCR|9aDMG|aBPWR
5	21153 24362	6	 * 	274.64	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	17DUR|26VULN|3RMIN|47aDMG|57LIT|7BPWR|8TLV|9RCR
6	21315 21315	2	 * 	273.85	DCR|4VULN|2TLV|2DUR|1CDMG	1aDUR|257aVULN|3TBNT|4CDMG|6ZMB|8aTLV|9RCR|aBPWR
7	21154 23633	2	 * 	272.82	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	18DUR|268VULN|3LIT|4TLV|568ASPD|68BPWR|7AART|9RPLT|aRCR
8	21315 26315	2	   	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	17aDUR|25aVULN|3TBNT|47CDMG|67ZMB|7aBPWR|8aTLV|9RCR
9	23254 36231	7	 * 	271.80	DCR|3VULN|3DMG|3DUR	158DUR|268ZMB|39LWND|459DMG|589BPWR|789VULN|aRCR
10	21225 16413	8	   	269.19	DCR|4VULN|2DUR|1DMG|1CDMG|1AART	16DUR|2579VULN|3CDMG|4AART|8RCR|aDMG
11	21123 24362	6	 * 	265.99	DCR|3VULN|2DUR|1TLV|1DMG|2LIT|1NUKE	17DUR|267VULN|3RMIN|4NUKE|57LIT|7BPWR|8TLV|9RCR|aDMG
12	21232 52433	9	 * 	265.45	DCR|4VULN|3DUR|3CDMG	147DUR|267aVULN|367CDMG|5RCVC|67aBPWR|8aLHND|9RCR
13	21311 54314	10	 * 	265.25	DCR|4VULN|3DUR|1TLV	158DUR|2468VULN|368ERES|68BPWR|7RPLT|9RCR|aTLV
14	21311 52112	2	   	265.15	DCR|4VULN|3DUR|3CDMG	17aDUR|2678VULN|3TBNT|467CDMG|5BBNT|67BPWR|9RCR
15	21425 21215	4	   	265.09	DCR|2VULN|3DUR|2DMG|2TLV|1SELL	13aDUR|27VULN|4aTLV|5TBNT|6SELL|8aDMG|9RCR|aBPWR
16	33154 23633	1	   	264.78	DCR|3VULN|1TLV|3ASPD|1DUR|2LIT|1AART	18LIT|268VULN|3DUR|4TLV|568ASPD|68BPWR|7AART|9RPLT|aRCR
17	21424 23261	4	 * 	264.46	DCR|3VULN|3DUR|1TLV|1DMG	139DUR|289VULN|4TLV|5DMG|6RCR|79aCGEN|9BPWR
18	21232 52334	10	 * 	264.36	DCR|3VULN|3DUR|3CDMG|1DMG	147DUR|267VULN|367CDMG|5RCVC|67BPWR|8LWND|9RCR|aDMG
19	21232 52434	10	   	264.36	DCR|3VULN|3DUR|3CDMG|1DMG	147DUR|267VULN|367CDMG|5RCVC|67BPWR|8LHND|9RCR|aDMG
20	21424 23262	4	   	264.36	DCR|3VULN|3DUR|1TLV|1DMG	139DUR|289VULN|4TLV|5DMG|6RCR|79CGEN|9BPWR|aLEGI
21	21356 31282	5	   	264.16	DCR|3VULN|3DUR|3CDMG|1DMG|1NUKE	18aDUR|28aVULN|3ERES|4DMG|5NUKE|6MBVNT|78aCDMG|8aBPWR|9RCR
22	61225 33316	6	 * 	262.84	DCR|5VULN|1TLV|1CDMG|1AART	1BEXP|25789VULN|3CDMG|4AART|6RCR|aTLV
23	21225 16411	8	   	262.36	DCR|4VULN|3DUR|1CDMG|1AART	16aDUR|2579VULN|3CDMG|4AART|8RCR
24	21153 26362	6	 * 	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|267VULN|3RMIN|4aDMG|5LIT|8TLV|9RCR
25	21343 34178	3	   	261.90	DCR|2VULN|2DMG|2DUR|1TLV|1AART	18DUR|28VULN|3ERES|4MBVNT|5LIT|6RCR|78DMG|8BPWR|9AART|aTLV
26	21362 51611	2	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	18DUR|278VULN|3TBNT|4MLV|5CDMG|68TLV|8BPWR|9RCR|aASPD
27	21422 52421	6	   	260.81	DCR|3VULN|3DUR|1TLV	139DUR|28aVULN|4TLV|5LIT|6RCR|7ASPD
28	21424 61211	4	   	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	13DUR|26aVULN|4TLV|5DMG|7AART|8RPLT|9RCR
29	21422 53153	10	   	260.33	DCR|4VULN|2DUR|1TLV	13DUR|289aVULN|4TLV|5LIT|6RCR|7LWND
30	21262 43161	6	 * 	260.06	DCR|2VULN|2DUR|1TLV|3LIT|1DMG|1CDMG	19DUR|29VULN|3CDMG|4TLV|589LIT|6RCR|7RMIN|9BPWR|aDMG
31	24253 23253	5	   	259.79	DCR|2VULN|3DMG|2DUR|1TLV	18DUR|2TLV|378LWND|458DMG|6RCR|8BPWR|9aVULN
32	21422 53152	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|289VULN|4TLV|5LIT|6RCR|7LWND|aDMG
33	21422 53152	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|289VULN|4TLV|5LIT|6RCR|7LWND|aDMG
34	21426 12251	6	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	13DUR|259VULN|4TLV|6LIT|7RCR|8TBNT|aDMG
35	21165 21315	4	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	1aDUR|25aVULN|3RMIN|45TLV|5aBPWR|6RCR|7BEXP|8TBNT|9aCDMG
36	21165 22115	4	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	1aDUR|25aVULN|3RMIN|45TLV|5aBPWR|6RCR|7BBNT|8BEXP|9aCDMG
37	22455 21222	1	 * 	259.21	DCR|4VULN|3DUR|1DMG	158DUR|2DMG|3CGEN|459aVULN|5BPWR|6RCR|7BEXP
38	21123 24366	6	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT|1NUKE	17aDUR|267VULN|3RMIN|4NUKE|57LIT|7BPWR|8TLV|9RCR
39	33412 36316	9	   	259.04	DCR|3VULN|2DMG|2ASPD|1DUR|2LIT	1aLIT|2DUR|38aVULN|4FEWX|59ASPD|6RCR|7aDMG|aBPWR
40	11263 52114	7	 * 	259.04	DCR|4VULN|2DMG|3CDMG	1aFEWX|256aVULN|356CDMG|4RCVC|56aBPWR|7RCR|8aDMG|9RPLT
41	11263 52114	8	   	259.04	DCR|4VULN|2DMG|3CDMG	1aFEWX|256aVULN|356CDMG|4RCVC|56aBPWR|7RCR|8aDMG|9RPLT
42	21153 24363	6	   	258.99	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	17DUR|26VULN|3RMIN|47DMG|57LIT|7BPWR|8TLV|9RCR|aFEWX
43	21153 24361	6	   	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	17DUR|26VULN|3RMIN|47DMG|57LIT|7BPWR|8TLV|9RCR|aMBVNT
44	21316 54221	6	 * 	257.85	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aLIT
45	21316 55221	7	   	257.85	DCR|5VULN|1DMG|1DUR	1DUR|24567VULN|36ERES|6BPWR|8RCR|9DMG|aLIT
46	21311 54316	10	 * 	257.39	DCR|5VULN|3DUR	158DUR|2468aVULN|368ERES|68BPWR|7RPLT|9RCR
47	21316 54312	10	   	257.39	DCR|5VULN|3DUR	18aDUR|24568VULN|368ERES|68BPWR|7RPLT|9RCR
48	24254 22223	5	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	158DUR|2TLV|3LWND|45DMG|5BPWR|6RCR|7aVULN|9ERES
