0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12345 33232	10	 * 	295.66	DCR|5VULN|2DMG|2DUR	1aDUR|2RPLT|3ERES|4789aVULN|5aDMG|6RCR|aBPWR
2	13235 15322	9	 * 	284.14	DCR|3VULN|3DUR|2TLV|2CDMG|2LIT	157DUR|29CDMG|37LIT|4RPLT|679VULN|79BPWR|89TLV|aRCR
3	13322 22523	9	 * 	281.50	DCR|4VULN|3DUR|1TLV|1CDMG	156DUR|2CDMG|348aVULN|7RCR|9TLV
4	13322 24525	10	 * 	281.32	DCR|4VULN|3DUR|2CDMG|1AART	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aAART
5	12344 33232	10	 * 	279.23	DCR|5VULN|2DUR|2ASPD	1aDUR|2RPLT|3ERES|4789aVULN|5aASPD|6RCR|aBPWR
6	53632 33232	10	   	279.23	DCR|5VULN|2DUR|2ASPD	1aASPD|2ERES|3aDUR|4789aVULN|5RPLT|6RCR|aBPWR
7	13322 24526	10	 * 	277.70	DCR|4VULN|3DUR|3CDMG	156DUR|27aCDMG|3478VULN|7BPWR|9RCR
8	12345 32232	10	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|27RPLT|3ERES|489aVULN|5aDMG|6RCR|aBPWR
9	12345 34232	10	   	276.12	DCR|4VULN|2DMG|2DUR	1aDUR|2RPLT|3ERES|489aVULN|5aDMG|6RCR|7RCVC|aBPWR
10	12345 35232	10	   	276.02	DCR|4VULN|2DMG|2DUR	1aDUR|2RPLT|37ERES|489aVULN|5aDMG|6RCR|aBPWR
11	65212 43233	10	   	274.16	DCR|5VULN|2DUR|1TLV	1DUST|26DUR|34689VULN|5RPLT|6BPWR|7RCR|aTLV
12	11533 61533	1	   	273.13	DCR|5VULN|1TLV|1DUR|1CDMG	1DUR|25678VULN|3TBNT|4TLV|9CDMG|aRCR
13	13621 63153	3	   	272.79	DCR|3VULN|3DUR|3CDMG|2AART	19aDUR|29aCDMG|3LHND|48AART|5ZMB|6RCR|79aVULN|9aBPWR
14	33335 64122	10	   	272.29	DCR|4VULN|2DUR|1DMG|1CDMG	1aLWND|2CDMG|367aVULN|4CGEN|5DMG|8aDUR|9RCR|aBPWR
15	13335 64222	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|2CDMG|367aVULN|4CGEN|5DMG|8aDUST|9RCR|aBPWR
16	63332 23342	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUST|2CDMG|389aVULN|4DMG|5CGEN|6aDUR|7RCR|aBPWR
17	63332 64122	10	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUST|2CDMG|367aVULN|4DMG|5CGEN|8aDUR|9RCR|aBPWR
18	13325 43632	10	   	271.99	DCR|4VULN|2DUR|1DMG|1CDMG	1aDUR|2CDMG|349aVULN|5DUST|6DMG|7aERES|8RCR|aBPWR
19	14212 43314	7	 * 	271.96	DCR|4VULN|3DUR|1DMG	18aDUR|268FEWX|3468VULN|5RPLT|68BPWR|7RCR|9DMG
20	65212 43311	7	   	271.76	DCR|4VULN|3DUR|1DMG	18DUST|268DUR|3468VULN|5RPLT|68BPWR|7RCR|9DMG|aCGEN
21	65212 43312	7	   	271.76	DCR|4VULN|3DUR|1DMG	18DUST|268DUR|3468VULN|5RPLT|68BPWR|7RCR|9DMG|aZMB
22	65212 43313	7	   	271.76	DCR|4VULN|3DUR|1DMG	18DUST|268DUR|3468VULN|5RPLT|68BPWR|7RCR|9DMG|aRMIN
23	13368 28444	8	   	271.66	DCR|4VULN|3DUR|2CDMG	167DUR|27CDMG|3578VULN|4MBVNT|7BPWR|9LWND|aRCR
24	13322 24521	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aRPLT
25	13322 24522	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aCGEN
26	13322 24523	9	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aZMB
27	13322 24524	10	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aBELT
28	13322 24525	9	   	271.66	DCR|4VULN|3DUR|2CDMG	156DUR|27CDMG|3478VULN|7BPWR|9RCR|aFEWX
